number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 10:49:23.653526,2025-11-05 10:49:50.966768,0 days 00:00:27.313242,leakyrelu,64,384,0.0,0.0002,256,0.9,L2,postnorm,8,3,SGD,mean,learned,1e-07
1,0.21759048895761182,COMPLETE,2025-11-05 10:49:50.967825,2025-11-05 10:51:30.711020,0 days 00:01:39.743195,gelu,16,512,0.4,0.0005,384,0.5,minmax,prenorm,8,4,SGD,cls,learned,1e-06
2,0.21759048895761182,COMPLETE,2025-11-05 10:51:30.712979,2025-11-05 10:51:54.613406,0 days 00:00:23.900427,relu,96,512,0.4,0.0001,256,0.6000000000000001,minmax,prenorm,4,4,SGD,mean,learned,1e-05
3,0.22172173843359336,COMPLETE,2025-11-05 10:51:54.615451,2025-11-05 10:52:06.866161,0 days 00:00:12.250710,prelu,96,384,0.1,0.0001,128,0.1,L2,prenorm,4,1,SGD,cls,sinusoidal,1e-07
4,0.25512540515872917,COMPLETE,2025-11-05 10:52:06.866161,2025-11-05 10:52:28.277848,0 days 00:00:21.411687,gelu,96,384,0.4,0.0005,384,,L2,prenorm,8,3,RMSprop,max,sinusoidal,0.0
5,0.21759048895761182,COMPLETE,2025-11-05 10:52:28.279853,2025-11-05 10:54:18.025083,0 days 00:01:49.745230,gelu,16,512,0.30000000000000004,5e-05,128,,minmax,prenorm,16,4,RMSprop,mean,learned,1e-05
6,0.178030303030303,PRUNED,2025-11-05 10:54:18.026098,2025-11-05 10:54:41.688665,0 days 00:00:23.662567,leakyrelu,32,384,0.1,0.0005,768,0.9,minmax,postnorm,16,3,SGD,max,learned,1e-06
7,0.178030303030303,PRUNED,2025-11-05 10:54:41.690309,2025-11-05 10:55:12.118661,0 days 00:00:30.428352,hardswish,64,512,0.4,5e-05,768,,L2,postnorm,8,4,RMSprop,cls,sinusoidal,1e-06
8,0.178030303030303,PRUNED,2025-11-05 10:55:12.118661,2025-11-05 10:55:22.955350,0 days 00:00:10.836689,leakyrelu,64,256,0.30000000000000004,5e-05,128,0.9,L2,postnorm,4,1,SGD,max,learned,1e-05
9,0.178030303030303,PRUNED,2025-11-05 10:55:22.956359,2025-11-05 10:55:29.911736,0 days 00:00:06.955377,relu,96,384,0.4,0.0002,256,0.8,minmax,postnorm,8,3,SGD,max,learned,1e-07
10,0.08558558558558559,PRUNED,2025-11-05 10:55:29.912739,2025-11-05 10:55:36.810882,0 days 00:00:06.898143,elu,128,768,0.2,1e-05,384,,L2,prenorm,2,2,AdamW,max,sinusoidal,0.0
11,0.4041197137504919,COMPLETE,2025-11-05 10:55:36.811885,2025-11-05 10:56:01.347814,0 days 00:00:24.535929,prelu,96,384,0.1,0.0001,512,,L2,prenorm,4,1,Adam,cls,sinusoidal,0.0
12,0.3616117181510226,COMPLETE,2025-11-05 10:56:01.354774,2025-11-05 10:56:21.795289,0 days 00:00:20.440515,silu,96,384,0.1,0.001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
13,0.33115485472941614,COMPLETE,2025-11-05 10:56:21.795289,2025-11-05 10:56:43.470957,0 days 00:00:21.675668,silu,96,768,0.0,0.001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
14,0.21761658031088082,PRUNED,2025-11-05 10:56:43.471734,2025-11-05 10:56:53.461151,0 days 00:00:09.989417,prelu,32,256,0.1,0.001,512,,L2,prenorm,2,1,Adam,cls,sinusoidal,0.0
15,0.2596941126802978,COMPLETE,2025-11-05 10:56:53.461151,2025-11-05 10:57:11.293788,0 days 00:00:17.832637,mish,128,384,0.2,2e-05,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
16,0.30118480344545684,COMPLETE,2025-11-05 10:57:11.294791,2025-11-05 10:57:27.945431,0 days 00:00:16.650640,silu,96,384,0.1,0.0001,512,,L2,prenorm,4,1,Adam,cls,sinusoidal,0.0
17,0.178030303030303,PRUNED,2025-11-05 10:57:27.947431,2025-11-05 10:57:35.708338,0 days 00:00:07.760907,silu,96,384,0.0,0.001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
18,0.21875,PRUNED,2025-11-05 10:57:35.708338,2025-11-05 10:57:40.272533,0 days 00:00:04.564195,prelu,96,256,0.2,2e-05,512,,L2,prenorm,4,1,AdamW,cls,sinusoidal,0.0
19,0.21759048895761182,COMPLETE,2025-11-05 10:57:40.273537,2025-11-05 10:58:39.012012,0 days 00:00:58.738475,mish,16,768,0.1,1e-05,512,,L2,prenorm,16,2,Adam,cls,sinusoidal,0.0
20,0.21759048895761182,COMPLETE,2025-11-05 10:58:39.014018,2025-11-05 10:58:51.985859,0 days 00:00:12.971841,hardswish,128,384,0.2,0.001,512,,L2,prenorm,4,1,Adam,mean,sinusoidal,0.0
21,0.4152886027157389,COMPLETE,2025-11-05 10:58:51.987773,2025-11-05 10:59:30.681622,0 days 00:00:38.693849,silu,96,768,0.0,0.001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
22,0.4079979033808299,COMPLETE,2025-11-05 10:59:30.682827,2025-11-05 11:00:02.021254,0 days 00:00:31.338427,silu,96,768,0.0,0.001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
23,0.4038524822931886,COMPLETE,2025-11-05 11:00:02.023372,2025-11-05 11:00:33.446379,0 days 00:00:31.423007,silu,96,768,0.0,0.0001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
24,0.178030303030303,PRUNED,2025-11-05 11:00:33.448385,2025-11-05 11:00:43.333392,0 days 00:00:09.885007,elu,96,768,0.0,0.001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
25,0.0894854586129754,PRUNED,2025-11-05 11:00:43.334499,2025-11-05 11:01:04.889458,0 days 00:00:21.554959,prelu,32,768,0.0,0.001,768,,L2,prenorm,2,1,AdamW,cls,sinusoidal,0.0
26,0.21759048895761182,COMPLETE,2025-11-05 11:01:04.890464,2025-11-05 11:01:25.855599,0 days 00:00:20.965135,silu,96,768,0.0,0.0001,512,,minmax,postnorm,2,3,Adam,cls,sinusoidal,1e-05
27,0.178030303030303,PRUNED,2025-11-05 11:01:25.857602,2025-11-05 11:01:32.255491,0 days 00:00:06.397889,silu,96,768,0.1,0.001,512,,L2,prenorm,4,2,Adam,cls,sinusoidal,1e-06
28,0.178030303030303,PRUNED,2025-11-05 11:01:32.255491,2025-11-05 11:01:41.675285,0 days 00:00:09.419794,prelu,96,768,0.0,1e-05,512,,L2,prenorm,16,1,Adam,mean,sinusoidal,1e-07
29,0.21759048895761182,COMPLETE,2025-11-05 11:01:41.676285,2025-11-05 11:02:16.796223,0 days 00:00:35.119938,silu,64,768,0.0,0.0002,768,,L2,postnorm,2,3,Adam,cls,sinusoidal,1e-07
30,0.21759048895761182,COMPLETE,2025-11-05 11:02:16.798235,2025-11-05 11:03:22.083359,0 days 00:01:05.285124,mish,16,256,0.1,2e-05,256,,L2,prenorm,4,2,AdamW,mean,sinusoidal,0.0
31,0.178030303030303,PRUNED,2025-11-05 11:03:22.084374,2025-11-05 11:03:35.920943,0 days 00:00:13.836569,silu,96,768,0.0,0.0001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
32,0.3148909911931426,COMPLETE,2025-11-05 11:03:35.921943,2025-11-05 11:03:59.594076,0 days 00:00:23.672133,silu,96,768,0.0,0.0001,512,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
33,0.3913584677857072,COMPLETE,2025-11-05 11:03:59.596676,2025-11-05 11:04:31.726070,0 days 00:00:32.129394,relu,96,768,0.0,0.0001,384,,L2,prenorm,2,2,Adam,cls,sinusoidal,0.0
34,0.0894854586129754,PRUNED,2025-11-05 11:04:31.729359,2025-11-05 11:04:41.306898,0 days 00:00:09.577539,silu,96,768,0.0,0.0001,256,,minmax,prenorm,2,1,Adam,cls,learned,0.0
35,0.25305256350550726,COMPLETE,2025-11-05 11:04:41.306898,2025-11-05 11:05:13.115627,0 days 00:00:31.808729,prelu,96,512,0.1,0.0001,512,,L2,prenorm,8,3,RMSprop,cls,sinusoidal,1e-06
36,0.3656978745760962,COMPLETE,2025-11-05 11:05:13.117633,2025-11-05 11:05:34.286308,0 days 00:00:21.168675,gelu,96,768,0.0,0.0005,128,,L2,prenorm,4,2,Adam,cls,sinusoidal,0.0
37,0.178030303030303,PRUNED,2025-11-05 11:05:34.288412,2025-11-05 11:05:43.038382,0 days 00:00:08.749970,leakyrelu,32,512,0.1,0.0002,384,,minmax,prenorm,2,1,RMSprop,mean,learned,1e-05
38,0.3194176148777104,COMPLETE,2025-11-05 11:05:43.039382,2025-11-05 11:07:39.912799,0 days 00:01:56.873417,hardswish,16,768,0.1,0.0001,512,,L2,prenorm,16,3,Adam,cls,sinusoidal,1e-07
39,0.17702448210922786,PRUNED,2025-11-05 11:07:39.914882,2025-11-05 11:07:47.249017,0 days 00:00:07.334135,elu,64,768,0.0,0.001,128,0.0,minmax,postnorm,8,4,SGD,max,learned,0.0
