number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 11:11:03.552140,2025-11-05 11:13:02.277036,0 days 00:01:58.724896,elu,16,768,0.30000000000000004,2e-05,768,0.9,minmax,postnorm,2,4,SGD,cls,sinusoidal,1e-07
1,0.36171031332436115,COMPLETE,2025-11-05 11:13:02.279049,2025-11-05 11:13:27.902724,0 days 00:00:25.623675,gelu,96,384,0.4,0.0005,256,,L2,postnorm,2,1,AdamW,max,learned,1e-07
2,0.2579125581545153,COMPLETE,2025-11-05 11:13:27.905615,2025-11-05 11:14:14.593282,0 days 00:00:46.687667,gelu,64,768,0.2,1e-05,768,,L2,postnorm,8,2,Adam,max,sinusoidal,1e-06
3,0.42170684831307614,COMPLETE,2025-11-05 11:14:14.595282,2025-11-05 11:15:21.153981,0 days 00:01:06.558699,hardswish,16,384,0.0,0.0001,128,,L2,prenorm,16,1,AdamW,cls,sinusoidal,1e-06
4,0.21875,PRUNED,2025-11-05 11:15:21.157003,2025-11-05 11:15:56.522589,0 days 00:00:35.365586,relu,16,512,0.0,2e-05,256,,minmax,prenorm,4,4,RMSprop,cls,learned,1e-07
5,0.0894854586129754,PRUNED,2025-11-05 11:15:56.522589,2025-11-05 11:16:21.999307,0 days 00:00:25.476718,elu,64,384,0.2,5e-05,256,0.5,minmax,prenorm,16,3,SGD,mean,learned,0.0
6,0.21640488656195464,PRUNED,2025-11-05 11:16:22.000310,2025-11-05 11:16:33.126707,0 days 00:00:11.126397,prelu,64,512,0.0,0.0005,384,,minmax,postnorm,4,1,RMSprop,mean,sinusoidal,1e-05
7,0.21761658031088082,PRUNED,2025-11-05 11:16:33.127711,2025-11-05 11:16:41.717744,0 days 00:00:08.590033,prelu,96,512,0.1,1e-05,768,,minmax,postnorm,8,1,RMSprop,max,learned,1e-06
8,0.42499125375457686,COMPLETE,2025-11-05 11:16:41.718747,2025-11-05 11:17:29.063586,0 days 00:00:47.344839,hardswish,96,384,0.30000000000000004,0.001,384,,L2,prenorm,16,2,Adam,cls,sinusoidal,1e-06
9,0.178030303030303,PRUNED,2025-11-05 11:17:29.068206,2025-11-05 11:17:36.645560,0 days 00:00:07.577354,relu,96,256,0.4,1e-05,256,,L2,prenorm,2,3,AdamW,cls,sinusoidal,1e-05
10,0.319081745569401,COMPLETE,2025-11-05 11:17:36.645560,2025-11-05 11:18:34.829630,0 days 00:00:58.184070,hardswish,32,256,0.30000000000000004,0.001,384,,L2,prenorm,16,2,Adam,cls,sinusoidal,0.0
11,0.2753847640060146,COMPLETE,2025-11-05 11:18:34.830781,2025-11-05 11:19:01.555819,0 days 00:00:26.725038,hardswish,128,384,0.1,0.0001,128,,L2,prenorm,16,2,AdamW,cls,sinusoidal,1e-06
12,0.39428796603613075,COMPLETE,2025-11-05 11:19:01.562498,2025-11-05 11:20:08.633825,0 days 00:01:07.071327,hardswish,16,384,0.30000000000000004,0.0002,512,,L2,prenorm,16,1,Adam,cls,sinusoidal,1e-06
13,0.2918949426214373,COMPLETE,2025-11-05 11:20:08.635825,2025-11-05 11:21:00.982272,0 days 00:00:52.346447,leakyrelu,32,384,0.1,0.0001,128,,L2,prenorm,16,2,AdamW,cls,sinusoidal,1e-06
14,0.178030303030303,PRUNED,2025-11-05 11:21:00.984272,2025-11-05 11:21:28.942419,0 days 00:00:27.958147,mish,128,384,0.30000000000000004,0.001,384,,L2,prenorm,16,3,Adam,cls,sinusoidal,1e-06
15,0.41180869171091117,COMPLETE,2025-11-05 11:21:28.944239,2025-11-05 11:22:20.217963,0 days 00:00:51.273724,silu,16,384,0.0,0.001,128,,L2,prenorm,16,1,AdamW,mean,sinusoidal,1e-06
16,0.21640488656195464,PRUNED,2025-11-05 11:22:20.219972,2025-11-05 11:22:55.846098,0 days 00:00:35.626126,hardswish,96,384,0.2,0.0001,512,,L2,prenorm,16,2,Adam,cls,sinusoidal,1e-06
17,0.21759048895761182,COMPLETE,2025-11-05 11:22:55.847098,2025-11-05 11:23:34.302819,0 days 00:00:38.455721,hardswish,16,256,0.1,5e-05,384,0.0,L2,prenorm,4,1,SGD,cls,sinusoidal,1e-05
18,0.3748019933668851,COMPLETE,2025-11-05 11:23:34.303968,2025-11-05 11:23:56.742499,0 days 00:00:22.438531,silu,96,768,0.4,0.0002,128,,L2,prenorm,8,2,AdamW,max,learned,0.0
19,0.43380422255798173,COMPLETE,2025-11-05 11:23:56.743154,2025-11-05 11:25:10.298472,0 days 00:01:13.555318,mish,32,384,0.30000000000000004,0.001,384,,L2,prenorm,16,3,Adam,mean,sinusoidal,1e-06
20,0.4016048431414038,COMPLETE,2025-11-05 11:25:10.300476,2025-11-05 11:26:23.627763,0 days 00:01:13.327287,mish,32,384,0.30000000000000004,0.001,384,,L2,prenorm,16,3,Adam,mean,sinusoidal,1e-06
21,0.3609972914785749,PRUNED,2025-11-05 11:26:23.629786,2025-11-05 11:26:47.427552,0 days 00:00:23.797766,mish,32,384,0.2,0.001,384,,L2,prenorm,16,3,Adam,mean,sinusoidal,1e-06
22,0.2908276373192037,COMPLETE,2025-11-05 11:26:47.428555,2025-11-05 11:28:23.949732,0 days 00:01:36.521177,leakyrelu,32,384,0.30000000000000004,0.0001,384,,L2,prenorm,16,4,Adam,mean,sinusoidal,1e-06
23,0.21640488656195464,PRUNED,2025-11-05 11:28:23.951737,2025-11-05 11:28:47.276625,0 days 00:00:23.324888,mish,128,384,0.4,0.001,128,,L2,prenorm,16,3,Adam,mean,sinusoidal,1e-06
24,0.08558558558558559,PRUNED,2025-11-05 11:28:47.276625,2025-11-05 11:29:08.553009,0 days 00:00:21.276384,hardswish,32,384,0.30000000000000004,0.001,384,,L2,prenorm,16,2,Adam,cls,sinusoidal,1e-06
25,0.178030303030303,PRUNED,2025-11-05 11:29:08.554009,2025-11-05 11:29:26.951960,0 days 00:00:18.397951,hardswish,96,384,0.2,0.0001,512,,L2,prenorm,16,3,AdamW,mean,sinusoidal,1e-06
26,0.21875,PRUNED,2025-11-05 11:29:26.952959,2025-11-05 11:29:47.514598,0 days 00:00:20.561639,mish,16,768,0.2,0.001,128,0.0,L2,postnorm,8,2,SGD,cls,learned,0.0
27,0.21640488656195464,PRUNED,2025-11-05 11:29:47.515601,2025-11-05 11:30:03.586032,0 days 00:00:16.070431,hardswish,32,256,0.4,2e-05,384,,minmax,prenorm,2,1,RMSprop,cls,sinusoidal,1e-05
28,0.28585902446084815,PRUNED,2025-11-05 11:30:03.587302,2025-11-05 11:30:39.948864,0 days 00:00:36.361562,leakyrelu,16,512,0.30000000000000004,5e-05,384,,L2,prenorm,4,4,Adam,max,sinusoidal,1e-07
29,0.0894854586129754,PRUNED,2025-11-05 11:30:39.949864,2025-11-05 11:31:14.535681,0 days 00:00:34.585817,elu,96,768,0.1,0.0002,768,0.9,minmax,postnorm,2,4,SGD,mean,sinusoidal,1e-07
30,0.178030303030303,PRUNED,2025-11-05 11:31:14.536683,2025-11-05 11:31:59.542881,0 days 00:00:45.006198,relu,16,384,0.0,0.0005,128,,L2,prenorm,16,2,AdamW,cls,sinusoidal,1e-06
31,0.21875,PRUNED,2025-11-05 11:31:59.544882,2025-11-05 11:32:15.562879,0 days 00:00:16.017997,silu,16,384,0.0,0.001,128,,L2,prenorm,16,1,AdamW,mean,sinusoidal,1e-06
32,0.178030303030303,PRUNED,2025-11-05 11:32:15.563919,2025-11-05 11:32:50.500622,0 days 00:00:34.936703,silu,16,384,0.0,0.001,128,,L2,prenorm,16,1,AdamW,mean,sinusoidal,1e-06
33,0.4142423635048847,COMPLETE,2025-11-05 11:32:50.501626,2025-11-05 11:33:36.582823,0 days 00:00:46.081197,gelu,16,384,0.0,0.001,128,,L2,prenorm,16,1,AdamW,mean,sinusoidal,1e-06
34,0.21759048895761182,COMPLETE,2025-11-05 11:33:36.584944,2025-11-05 11:34:01.621749,0 days 00:00:25.036805,gelu,64,384,0.1,2e-05,768,,L2,postnorm,16,1,AdamW,mean,learned,1e-06
35,0.39920213418148354,COMPLETE,2025-11-05 11:34:01.622749,2025-11-05 11:34:44.158467,0 days 00:00:42.535718,gelu,16,384,0.0,0.001,256,,L2,prenorm,2,1,AdamW,mean,sinusoidal,1e-07
36,0.178030303030303,PRUNED,2025-11-05 11:34:44.160475,2025-11-05 11:34:54.270819,0 days 00:00:10.110344,gelu,64,512,0.2,0.0005,128,,minmax,prenorm,16,2,Adam,max,sinusoidal,1e-06
37,0.17523809523809522,PRUNED,2025-11-05 11:34:54.271821,2025-11-05 11:35:04.336442,0 days 00:00:10.064621,gelu,96,768,0.0,1e-05,384,,L2,postnorm,8,1,RMSprop,mean,learned,1e-06
38,0.24916083127487235,COMPLETE,2025-11-05 11:35:04.336442,2025-11-05 11:36:36.075756,0 days 00:01:31.739314,prelu,16,384,0.30000000000000004,0.0001,256,0.4,minmax,prenorm,4,3,SGD,max,sinusoidal,1e-05
39,0.21875,PRUNED,2025-11-05 11:36:36.077761,2025-11-05 11:36:53.546865,0 days 00:00:17.469104,elu,96,384,0.4,0.001,768,,L2,postnorm,16,1,AdamW,cls,learned,0.0
40,0.178030303030303,PRUNED,2025-11-05 11:36:53.547870,2025-11-05 11:37:15.945205,0 days 00:00:22.397335,gelu,128,512,0.2,2e-05,512,,L2,prenorm,16,2,RMSprop,cls,sinusoidal,1e-07
41,0.178030303030303,PRUNED,2025-11-05 11:37:15.946374,2025-11-05 11:37:43.370900,0 days 00:00:27.424526,silu,16,384,0.0,0.001,128,,L2,prenorm,16,1,AdamW,mean,sinusoidal,1e-06
42,0.3952634406757964,COMPLETE,2025-11-05 11:37:43.371903,2025-11-05 11:38:29.367433,0 days 00:00:45.995530,silu,16,384,0.0,0.001,128,,L2,prenorm,16,1,AdamW,mean,sinusoidal,1e-06
43,0.178030303030303,PRUNED,2025-11-05 11:38:29.369438,2025-11-05 11:38:44.756539,0 days 00:00:15.387101,relu,16,384,0.0,0.001,128,,L2,prenorm,16,1,AdamW,mean,sinusoidal,1e-06
44,0.178030303030303,PRUNED,2025-11-05 11:38:44.756539,2025-11-05 11:39:13.697838,0 days 00:00:28.941299,prelu,16,256,0.1,1e-05,128,,L2,prenorm,16,1,AdamW,mean,sinusoidal,1e-06
45,0.17702448210922786,PRUNED,2025-11-05 11:39:13.698186,2025-11-05 11:39:18.282998,0 days 00:00:04.584812,hardswish,64,384,0.0,0.001,128,,L2,prenorm,16,1,Adam,mean,sinusoidal,1e-06
46,0.21759048895761182,COMPLETE,2025-11-05 11:39:18.283999,2025-11-05 11:40:17.548377,0 days 00:00:59.264378,mish,16,384,0.1,5e-05,384,,minmax,prenorm,4,2,AdamW,cls,sinusoidal,1e-06
47,0.4393523470236582,COMPLETE,2025-11-05 11:40:17.550382,2025-11-05 11:41:04.410953,0 days 00:00:46.860571,hardswish,32,384,0.0,0.0001,256,,L2,prenorm,8,1,Adam,mean,sinusoidal,1e-06
48,0.25697376281204803,COMPLETE,2025-11-05 11:41:04.412959,2025-11-05 11:42:02.314372,0 days 00:00:57.901413,hardswish,32,384,0.30000000000000004,0.0001,256,,L2,prenorm,8,3,Adam,cls,sinusoidal,1e-05
49,0.3726356717229924,COMPLETE,2025-11-05 11:42:02.316392,2025-11-05 11:42:34.246104,0 days 00:00:31.929712,hardswish,32,256,0.1,0.0001,256,,L2,prenorm,8,1,Adam,max,sinusoidal,0.0
