number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 12:10:56.367065,2025-11-05 12:11:13.558774,0 days 00:00:17.191709,leakyrelu,128,768,0.0,0.001,384,0.0,L2,prenorm,4,1,SGD,mean,learned,1e-06
1,0.2676229893960678,COMPLETE,2025-11-05 12:11:13.561083,2025-11-05 12:11:56.003172,0 days 00:00:42.442089,relu,64,256,0.4,2e-05,256,,minmax,prenorm,4,4,AdamW,max,learned,1e-05
2,0.17702448210922786,PRUNED,2025-11-05 12:11:56.005259,2025-11-05 12:12:09.783980,0 days 00:00:13.778721,elu,32,256,0.0,0.001,512,0.5,minmax,postnorm,2,4,SGD,cls,learned,1e-06
3,0.21759048895761182,COMPLETE,2025-11-05 12:12:09.784980,2025-11-05 12:12:32.719033,0 days 00:00:22.934053,prelu,96,384,0.0,5e-05,384,,minmax,postnorm,4,2,AdamW,cls,learned,0.0
4,0.08558558558558559,PRUNED,2025-11-05 12:12:32.721098,2025-11-05 12:12:44.938354,0 days 00:00:12.217256,prelu,32,256,0.0,0.0002,128,,minmax,postnorm,2,1,RMSprop,max,learned,0.0
5,0.08558558558558559,PRUNED,2025-11-05 12:12:44.938354,2025-11-05 12:13:06.450615,0 days 00:00:21.512261,hardswish,16,384,0.0,2e-05,256,0.7000000000000001,L2,prenorm,2,2,SGD,cls,learned,1e-05
6,0.2842277555977691,COMPLETE,2025-11-05 12:13:06.451615,2025-11-05 12:14:11.079741,0 days 00:01:04.628126,leakyrelu,32,768,0.2,1e-05,512,,L2,postnorm,4,3,RMSprop,max,sinusoidal,1e-07
7,0.21759048895761182,COMPLETE,2025-11-05 12:14:11.081747,2025-11-05 12:14:52.641074,0 days 00:00:41.559327,gelu,16,384,0.2,0.0001,768,0.4,L2,postnorm,4,1,SGD,cls,sinusoidal,0.0
8,0.21759048895761182,COMPLETE,2025-11-05 12:14:52.643077,2025-11-05 12:15:33.119613,0 days 00:00:40.476536,hardswish,32,384,0.30000000000000004,0.001,512,,minmax,prenorm,2,2,RMSprop,max,sinusoidal,1e-07
9,0.178030303030303,PRUNED,2025-11-05 12:15:33.121928,2025-11-05 12:15:45.133784,0 days 00:00:12.011856,prelu,128,256,0.2,0.0005,256,0.5,L2,postnorm,2,1,SGD,cls,sinusoidal,1e-05
10,0.178030303030303,PRUNED,2025-11-05 12:15:45.135789,2025-11-05 12:16:11.472870,0 days 00:00:26.337081,mish,96,768,0.30000000000000004,1e-05,512,,L2,postnorm,8,3,Adam,mean,sinusoidal,1e-07
11,0.17702448210922786,PRUNED,2025-11-05 12:16:11.474894,2025-11-05 12:16:22.517804,0 days 00:00:11.042910,relu,64,512,0.4,2e-05,256,,minmax,prenorm,16,4,AdamW,max,sinusoidal,1e-05
12,0.24169973929799968,COMPLETE,2025-11-05 12:16:22.518811,2025-11-05 12:17:22.466313,0 days 00:00:59.947502,leakyrelu,64,768,0.4,1e-05,768,,L2,prenorm,4,3,AdamW,max,sinusoidal,1e-07
13,0.2770946946806418,COMPLETE,2025-11-05 12:17:22.468318,2025-11-05 12:18:07.562148,0 days 00:00:45.093830,silu,64,512,0.1,2e-05,128,,minmax,prenorm,4,4,RMSprop,max,learned,1e-07
14,0.3288313954552644,COMPLETE,2025-11-05 12:18:07.562148,2025-11-05 12:18:54.907699,0 days 00:00:47.345551,silu,64,512,0.1,0.0001,128,,minmax,prenorm,16,3,RMSprop,max,learned,1e-07
15,0.22090760082651398,COMPLETE,2025-11-05 12:18:54.909700,2025-11-05 12:19:50.942945,0 days 00:00:56.033245,silu,32,512,0.1,0.0001,128,,L2,postnorm,16,3,RMSprop,max,sinusoidal,1e-07
16,0.178030303030303,PRUNED,2025-11-05 12:19:50.942945,2025-11-05 12:20:10.341519,0 days 00:00:19.398574,leakyrelu,64,768,0.1,1e-05,512,,L2,prenorm,16,3,RMSprop,mean,learned,1e-07
17,0.23388665452726407,COMPLETE,2025-11-05 12:20:10.341519,2025-11-05 12:21:04.202882,0 days 00:00:53.861363,silu,32,512,0.30000000000000004,0.0001,128,,minmax,postnorm,8,3,Adam,max,sinusoidal,1e-07
18,0.178030303030303,PRUNED,2025-11-05 12:21:04.202882,2025-11-05 12:21:27.348209,0 days 00:00:23.145327,gelu,16,512,0.2,0.0005,128,,minmax,prenorm,16,2,RMSprop,max,sinusoidal,1e-07
19,0.31699430125519495,COMPLETE,2025-11-05 12:21:27.349212,2025-11-05 12:22:17.398928,0 days 00:00:50.049716,mish,96,768,0.1,5e-05,512,,L2,postnorm,16,3,RMSprop,max,learned,1e-06
20,0.21759048895761182,COMPLETE,2025-11-05 12:22:17.400646,2025-11-05 12:22:57.677135,0 days 00:00:40.276489,mish,96,768,0.1,5e-05,768,,L2,prenorm,16,2,RMSprop,mean,learned,1e-06
21,0.21761658031088082,PRUNED,2025-11-05 12:22:57.679302,2025-11-05 12:23:16.020640,0 days 00:00:18.341338,mish,96,768,0.2,5e-05,512,,L2,postnorm,16,3,RMSprop,max,learned,1e-06
22,0.21759048895761182,COMPLETE,2025-11-05 12:23:16.020640,2025-11-05 12:24:02.929690,0 days 00:00:46.909050,elu,96,768,0.1,0.0002,512,,L2,postnorm,16,3,RMSprop,max,learned,1e-06
23,0.178030303030303,PRUNED,2025-11-05 12:24:02.929690,2025-11-05 12:24:20.834703,0 days 00:00:17.905013,leakyrelu,128,768,0.2,1e-05,512,,L2,postnorm,16,3,RMSprop,max,learned,1e-06
24,0.3281014143545708,COMPLETE,2025-11-05 12:24:20.834703,2025-11-05 12:25:14.981375,0 days 00:00:54.146672,mish,96,512,0.1,5e-05,512,,L2,postnorm,8,4,Adam,max,learned,1e-07
25,0.3188803658170221,COMPLETE,2025-11-05 12:25:14.983380,2025-11-05 12:25:58.458722,0 days 00:00:43.475342,mish,96,512,0.1,5e-05,384,,L2,postnorm,8,4,Adam,max,learned,1e-07
26,0.08558558558558559,PRUNED,2025-11-05 12:25:58.458722,2025-11-05 12:26:12.755062,0 days 00:00:14.296340,mish,96,512,0.1,5e-05,384,,minmax,postnorm,8,4,Adam,max,learned,1e-07
27,0.3451374083046057,COMPLETE,2025-11-05 12:26:12.755062,2025-11-05 12:27:02.917576,0 days 00:00:50.162514,silu,96,512,0.1,0.0001,384,,L2,postnorm,8,4,Adam,max,learned,1e-07
28,0.28708977968052324,COMPLETE,2025-11-05 12:27:02.919578,2025-11-05 12:27:49.195709,0 days 00:00:46.276131,silu,64,512,0.1,0.0001,384,,minmax,prenorm,8,4,Adam,max,learned,1e-07
29,0.21759048895761182,COMPLETE,2025-11-05 12:27:49.197710,2025-11-05 12:28:28.192366,0 days 00:00:38.994656,silu,128,512,0.0,0.0001,384,,L2,prenorm,8,4,Adam,mean,learned,1e-07
30,0.21759048895761182,COMPLETE,2025-11-05 12:28:28.192366,2025-11-05 12:28:56.597983,0 days 00:00:28.405617,silu,96,512,0.0,0.0001,128,,L2,postnorm,8,4,Adam,mean,learned,1e-07
31,0.2713062050243097,COMPLETE,2025-11-05 12:28:56.597983,2025-11-05 12:29:41.302197,0 days 00:00:44.704214,mish,96,512,0.1,5e-05,384,,L2,postnorm,8,4,Adam,max,learned,1e-07
32,0.21761658031088082,PRUNED,2025-11-05 12:29:41.304311,2025-11-05 12:29:56.670520,0 days 00:00:15.366209,mish,96,512,0.1,5e-05,384,,L2,postnorm,8,4,Adam,max,learned,1e-07
33,0.3058715411104784,COMPLETE,2025-11-05 12:29:56.671520,2025-11-05 12:30:34.754718,0 days 00:00:38.083198,relu,96,512,0.1,0.0001,384,,L2,postnorm,8,4,Adam,max,learned,1e-07
34,0.178030303030303,PRUNED,2025-11-05 12:30:34.754718,2025-11-05 12:30:47.488896,0 days 00:00:12.734178,silu,96,512,0.0,5e-05,384,,L2,postnorm,8,4,Adam,max,learned,0.0
35,0.178030303030303,PRUNED,2025-11-05 12:30:47.488896,2025-11-05 12:31:02.443910,0 days 00:00:14.955014,elu,64,512,0.0,0.001,384,,minmax,postnorm,8,4,Adam,max,learned,1e-07
36,0.178030303030303,PRUNED,2025-11-05 12:31:02.443910,2025-11-05 12:31:28.516003,0 days 00:00:26.072093,hardswish,96,256,0.2,0.0002,384,,minmax,postnorm,8,4,Adam,cls,learned,1e-05
37,0.24799901514055364,COMPLETE,2025-11-05 12:31:28.518006,2025-11-05 12:31:58.333415,0 days 00:00:29.815409,silu,96,512,0.1,0.0001,128,,L2,prenorm,8,4,AdamW,max,learned,0.0
38,0.21759048895761182,COMPLETE,2025-11-05 12:31:58.335528,2025-11-05 12:33:35.536086,0 days 00:01:37.200558,gelu,16,512,0.0,0.0005,256,,L2,postnorm,8,4,Adam,cls,learned,1e-07
39,0.178030303030303,PRUNED,2025-11-05 12:33:35.536086,2025-11-05 12:33:57.629997,0 days 00:00:22.093911,prelu,64,384,0.1,5e-05,768,0.9,minmax,postnorm,2,4,SGD,max,learned,1e-07
