number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 03:09:35.825885,2025-11-05 03:09:53.656273,0 days 00:00:17.830388,leakyrelu,128,768,0.0,0.001,384,0.0,L2,prenorm,4,1,SGD,mean,learned,1e-06
1,0.2972378303137205,COMPLETE,2025-11-05 03:09:53.658275,2025-11-05 03:10:44.278068,0 days 00:00:50.619793,relu,64,256,0.4,2e-05,256,,minmax,prenorm,4,4,AdamW,max,learned,1e-05
2,0.24063341825054116,COMPLETE,2025-11-05 03:10:44.279068,2025-11-05 03:12:00.674903,0 days 00:01:16.395835,elu,32,256,0.0,0.001,512,0.5,minmax,postnorm,2,4,SGD,cls,learned,1e-06
3,0.21759048895761182,COMPLETE,2025-11-05 03:12:00.676405,2025-11-05 03:12:30.076791,0 days 00:00:29.400386,prelu,96,384,0.0,5e-05,384,,minmax,postnorm,4,2,AdamW,cls,learned,0.0
4,0.2913026788674457,COMPLETE,2025-11-05 03:12:30.078791,2025-11-05 03:13:05.587209,0 days 00:00:35.508418,prelu,32,256,0.0,0.0002,128,,minmax,postnorm,2,1,RMSprop,max,learned,0.0
5,0.178030303030303,PRUNED,2025-11-05 03:13:05.589210,2025-11-05 03:13:27.390528,0 days 00:00:21.801318,hardswish,16,384,0.0,2e-05,256,0.7000000000000001,L2,prenorm,2,2,SGD,cls,learned,1e-05
6,0.178030303030303,PRUNED,2025-11-05 03:13:27.391529,2025-11-05 03:13:53.199559,0 days 00:00:25.808030,leakyrelu,32,768,0.2,1e-05,512,,L2,postnorm,4,3,RMSprop,max,sinusoidal,1e-07
7,0.178030303030303,PRUNED,2025-11-05 03:13:53.200559,2025-11-05 03:14:10.712449,0 days 00:00:17.511890,gelu,16,384,0.2,0.0001,768,0.4,L2,postnorm,4,1,SGD,cls,sinusoidal,0.0
8,0.21759048895761182,COMPLETE,2025-11-05 03:14:10.713448,2025-11-05 03:14:55.066818,0 days 00:00:44.353370,hardswish,32,384,0.30000000000000004,0.001,512,,minmax,prenorm,2,2,RMSprop,max,sinusoidal,1e-07
9,0.21759048895761182,COMPLETE,2025-11-05 03:14:55.067819,2025-11-05 03:15:15.509082,0 days 00:00:20.441263,prelu,128,256,0.2,0.0005,256,0.5,L2,postnorm,2,1,SGD,cls,sinusoidal,1e-05
