number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 12:39:38.161711,2025-11-05 12:39:59.087559,0 days 00:00:20.925848,silu,64,768,0.0,5e-05,768,,minmax,prenorm,16,2,RMSprop,mean,sinusoidal,1e-06
1,0.21759048895761182,COMPLETE,2025-11-05 12:39:59.087559,2025-11-05 12:40:18.063014,0 days 00:00:18.975455,silu,64,384,0.1,1e-05,256,,minmax,postnorm,2,2,RMSprop,cls,learned,0.0
2,0.08558558558558559,PRUNED,2025-11-05 12:40:18.064017,2025-11-05 12:40:28.658070,0 days 00:00:10.594053,mish,64,768,0.30000000000000004,5e-05,128,,L2,prenorm,2,4,AdamW,cls,learned,1e-05
3,0.178030303030303,PRUNED,2025-11-05 12:40:28.659070,2025-11-05 12:40:56.491854,0 days 00:00:27.832784,elu,16,256,0.2,0.0002,384,0.5,L2,postnorm,16,3,SGD,max,sinusoidal,1e-07
4,0.08558558558558559,PRUNED,2025-11-05 12:40:56.491854,2025-11-05 12:41:28.886587,0 days 00:00:32.394733,leakyrelu,16,768,0.2,0.0005,384,,L2,prenorm,4,4,Adam,mean,learned,1e-06
5,0.21759048895761182,COMPLETE,2025-11-05 12:41:28.886587,2025-11-05 12:42:07.828649,0 days 00:00:38.942062,elu,16,512,0.4,2e-05,256,,L2,postnorm,8,1,AdamW,mean,learned,0.0
6,0.2422989666076518,COMPLETE,2025-11-05 12:42:07.828649,2025-11-05 12:42:29.927341,0 days 00:00:22.098692,mish,32,768,0.2,0.0002,256,0.4,minmax,prenorm,4,1,SGD,max,learned,1e-05
7,0.38216612544092204,COMPLETE,2025-11-05 12:42:29.929134,2025-11-05 12:45:22.349107,0 days 00:02:52.419973,leakyrelu,16,256,0.0,0.001,128,,L2,prenorm,8,4,AdamW,cls,learned,1e-07
8,0.21759048895761182,COMPLETE,2025-11-05 12:45:22.351635,2025-11-05 12:46:17.892188,0 days 00:00:55.540553,relu,16,768,0.0,2e-05,256,,minmax,postnorm,2,2,Adam,mean,learned,1e-06
9,0.21759048895761182,COMPLETE,2025-11-05 12:46:17.894189,2025-11-05 12:46:36.223458,0 days 00:00:18.329269,relu,96,256,0.0,0.001,512,,minmax,postnorm,2,3,AdamW,max,learned,1e-06
10,0.21759048895761182,COMPLETE,2025-11-05 12:46:36.225485,2025-11-05 12:46:57.590493,0 days 00:00:21.365008,gelu,128,256,0.1,0.001,128,,L2,prenorm,8,4,AdamW,cls,sinusoidal,1e-07
11,0.08558558558558559,PRUNED,2025-11-05 12:46:57.592506,2025-11-05 12:47:05.257500,0 days 00:00:07.664994,hardswish,32,384,0.4,0.0002,128,0.0,minmax,prenorm,4,1,SGD,max,learned,1e-05
12,0.21875,PRUNED,2025-11-05 12:47:05.258506,2025-11-05 12:47:39.617427,0 days 00:00:34.358921,mish,32,512,0.1,0.0001,768,0.9,minmax,prenorm,8,3,SGD,max,learned,1e-05
13,0.178030303030303,PRUNED,2025-11-05 12:47:39.619427,2025-11-05 12:47:47.593270,0 days 00:00:07.973843,prelu,32,256,0.30000000000000004,0.0002,512,0.30000000000000004,L2,prenorm,4,1,SGD,cls,learned,1e-07
14,0.178030303030303,PRUNED,2025-11-05 12:47:47.594271,2025-11-05 12:47:58.264914,0 days 00:00:10.670643,leakyrelu,96,768,0.30000000000000004,0.001,256,,minmax,prenorm,4,2,AdamW,max,sinusoidal,1e-07
15,0.08558558558558559,PRUNED,2025-11-05 12:47:58.265915,2025-11-05 12:48:04.710485,0 days 00:00:06.444570,mish,128,256,0.1,0.0001,128,0.5,L2,prenorm,8,3,SGD,cls,learned,1e-05
16,0.21759048895761182,COMPLETE,2025-11-05 12:48:04.711498,2025-11-05 12:48:57.720746,0 days 00:00:53.009248,leakyrelu,32,512,0.2,0.0005,128,,L2,prenorm,4,4,Adam,cls,learned,1e-07
17,0.24638797401948362,COMPLETE,2025-11-05 12:48:57.722765,2025-11-05 12:49:21.999136,0 days 00:00:24.276371,gelu,32,384,0.0,1e-05,256,,minmax,prenorm,8,1,RMSprop,max,learned,1e-05
18,0.178030303030303,PRUNED,2025-11-05 12:49:22.001670,2025-11-05 12:50:11.153209,0 days 00:00:49.151539,gelu,16,384,0.0,1e-05,512,,L2,prenorm,8,3,RMSprop,max,sinusoidal,0.0
19,0.08558558558558559,PRUNED,2025-11-05 12:50:11.154209,2025-11-05 12:50:16.384717,0 days 00:00:05.230508,gelu,96,384,0.0,1e-05,384,,minmax,prenorm,8,2,RMSprop,cls,learned,1e-05
20,0.178030303030303,PRUNED,2025-11-05 12:50:16.385727,2025-11-05 12:50:37.044461,0 days 00:00:20.658734,hardswish,128,384,0.1,0.001,768,,L2,prenorm,8,4,RMSprop,max,learned,1e-07
21,0.21875,PRUNED,2025-11-05 12:50:37.045469,2025-11-05 12:50:54.612467,0 days 00:00:17.566998,prelu,32,384,0.2,0.0002,256,,minmax,prenorm,8,1,AdamW,max,learned,1e-05
22,0.21759048895761182,COMPLETE,2025-11-05 12:50:54.613467,2025-11-05 12:51:16.195309,0 days 00:00:21.581842,mish,32,768,0.0,1e-05,256,0.9,minmax,prenorm,16,1,SGD,max,learned,1e-05
23,0.22319234080946368,COMPLETE,2025-11-05 12:51:16.196309,2025-11-05 12:51:40.926832,0 days 00:00:24.730523,gelu,32,256,0.1,1e-05,256,,minmax,prenorm,4,1,RMSprop,max,learned,1e-05
24,0.21640488656195464,PRUNED,2025-11-05 12:51:40.928832,2025-11-05 12:51:56.711998,0 days 00:00:15.783166,leakyrelu,32,256,0.30000000000000004,0.0002,256,,minmax,prenorm,8,1,RMSprop,max,learned,1e-05
