number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 02:16:52.388321,2025-11-05 02:18:33.666304,0 days 00:01:41.277983,elu,16,768,0.30000000000000004,2e-05,768,0.9,minmax,postnorm,2,4,SGD,cls,sinusoidal,1e-07
1,0.2667735303799639,COMPLETE,2025-11-05 02:18:33.668304,2025-11-05 02:18:45.083312,0 days 00:00:11.415008,gelu,96,384,0.4,0.0005,256,,L2,postnorm,2,1,AdamW,max,learned,1e-07
2,0.22288520556564687,COMPLETE,2025-11-05 02:18:45.084328,2025-11-05 02:19:10.855450,0 days 00:00:25.771122,gelu,64,768,0.2,1e-05,768,,L2,postnorm,8,2,Adam,max,sinusoidal,1e-06
3,0.21759048895761182,COMPLETE,2025-11-05 02:19:10.856458,2025-11-05 02:19:47.603851,0 days 00:00:36.747393,hardswish,16,384,0.0,0.0001,128,,L2,prenorm,16,1,AdamW,cls,sinusoidal,1e-06
4,0.21759048895761182,COMPLETE,2025-11-05 02:19:47.605852,2025-11-05 02:21:16.918848,0 days 00:01:29.312996,relu,16,512,0.0,2e-05,256,,minmax,prenorm,4,4,RMSprop,cls,learned,1e-07
5,0.21759048895761182,COMPLETE,2025-11-05 02:21:16.919848,2025-11-05 02:21:42.506551,0 days 00:00:25.586703,elu,64,384,0.2,5e-05,256,0.5,minmax,prenorm,16,3,SGD,mean,learned,0.0
6,0.178030303030303,PRUNED,2025-11-05 02:21:42.508974,2025-11-05 02:21:52.101317,0 days 00:00:09.592343,prelu,64,512,0.0,0.0005,384,,minmax,postnorm,4,1,RMSprop,mean,sinusoidal,1e-05
7,0.2533574759660476,COMPLETE,2025-11-05 02:21:52.102317,2025-11-05 02:22:05.221339,0 days 00:00:13.119022,prelu,96,512,0.1,1e-05,768,,minmax,postnorm,8,1,RMSprop,max,learned,1e-06
8,0.0894854586129754,PRUNED,2025-11-05 02:22:05.223342,2025-11-05 02:22:15.723529,0 days 00:00:10.500187,hardswish,96,384,0.30000000000000004,0.001,384,,L2,prenorm,16,2,Adam,cls,sinusoidal,1e-06
9,0.178030303030303,PRUNED,2025-11-05 02:22:15.724547,2025-11-05 02:22:27.702425,0 days 00:00:11.977878,relu,96,256,0.4,1e-05,256,,L2,prenorm,2,3,AdamW,cls,sinusoidal,1e-05
10,0.08558558558558559,PRUNED,2025-11-05 02:22:27.703426,2025-11-05 02:22:39.297014,0 days 00:00:11.593588,gelu,32,256,0.4,0.0005,512,,L2,postnorm,2,2,AdamW,max,learned,1e-07
11,0.17702448210922786,PRUNED,2025-11-05 02:22:39.298015,2025-11-05 02:22:42.161100,0 days 00:00:02.863085,prelu,128,512,0.1,0.0002,768,,minmax,postnorm,8,1,RMSprop,max,learned,0.0
12,0.40211780869885677,COMPLETE,2025-11-05 02:22:42.161100,2025-11-05 02:22:59.065323,0 days 00:00:16.904223,silu,96,384,0.1,0.0005,512,,minmax,postnorm,8,1,AdamW,max,learned,1e-06
13,0.21761658031088082,PRUNED,2025-11-05 02:22:59.067344,2025-11-05 02:23:03.685044,0 days 00:00:04.617700,silu,96,384,0.1,0.0005,512,,L2,postnorm,2,1,AdamW,max,learned,1e-07
14,0.21759048895761182,COMPLETE,2025-11-05 02:23:03.686062,2025-11-05 02:23:18.628865,0 days 00:00:14.942803,silu,96,384,0.30000000000000004,0.0005,512,,minmax,postnorm,8,2,AdamW,max,learned,1e-06
15,0.178030303030303,PRUNED,2025-11-05 02:23:18.630879,2025-11-05 02:23:26.599870,0 days 00:00:07.968991,leakyrelu,128,384,0.2,0.0005,128,,L2,postnorm,2,1,AdamW,max,learned,1e-07
16,0.21759048895761182,COMPLETE,2025-11-05 02:23:26.600870,2025-11-05 02:24:07.854198,0 days 00:00:41.253328,mish,32,384,0.4,0.0002,256,,L2,postnorm,8,3,AdamW,mean,learned,1e-05
