number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.2517854333395641,COMPLETE,2025-11-05 13:58:28.040108,2025-11-05 14:00:03.790521,0 days 00:01:35.750413,mish,16,256,0.30000000000000004,1e-05,512,,minmax,postnorm,16,3,AdamW,mean,learned,1e-06
1,0.21759048895761182,COMPLETE,2025-11-05 14:00:03.792029,2025-11-05 14:01:07.380620,0 days 00:01:03.588591,gelu,16,768,0.30000000000000004,0.0005,384,,L2,prenorm,4,2,AdamW,max,sinusoidal,1e-05
2,0.21759048895761182,COMPLETE,2025-11-05 14:01:07.382124,2025-11-05 14:01:49.682040,0 days 00:00:42.299916,silu,16,256,0.30000000000000004,0.0002,384,,L2,postnorm,4,1,Adam,cls,sinusoidal,1e-05
3,0.21759048895761182,COMPLETE,2025-11-05 14:01:49.684280,2025-11-05 14:02:28.684425,0 days 00:00:39.000145,gelu,32,512,0.1,5e-05,128,,L2,postnorm,8,2,Adam,mean,learned,1e-05
4,0.178030303030303,PRUNED,2025-11-05 14:02:28.686426,2025-11-05 14:02:41.169744,0 days 00:00:12.483318,mish,128,512,0.30000000000000004,1e-05,384,,L2,prenorm,4,1,RMSprop,mean,learned,1e-06
5,0.27872584071542,COMPLETE,2025-11-05 14:02:41.170744,2025-11-05 14:04:14.455003,0 days 00:01:33.284259,gelu,128,512,0.0,0.0001,768,,minmax,postnorm,16,4,Adam,max,sinusoidal,1e-05
6,0.21759048895761182,COMPLETE,2025-11-05 14:04:14.457004,2025-11-05 14:05:27.211623,0 days 00:01:12.754619,mish,64,512,0.0,0.0001,768,,L2,postnorm,16,3,AdamW,cls,sinusoidal,1e-06
7,0.3005700512072268,COMPLETE,2025-11-05 14:05:27.213624,2025-11-05 14:06:00.007581,0 days 00:00:32.793957,prelu,32,256,0.0,0.001,128,0.5,minmax,postnorm,4,1,SGD,max,sinusoidal,1e-06
8,0.21759048895761182,COMPLETE,2025-11-05 14:06:00.009581,2025-11-05 14:06:19.391393,0 days 00:00:19.381812,mish,96,768,0.4,0.0005,128,,L2,prenorm,4,2,Adam,mean,sinusoidal,1e-05
9,0.21759048895761182,COMPLETE,2025-11-05 14:06:19.393405,2025-11-05 14:07:09.290642,0 days 00:00:49.897237,gelu,32,256,0.1,0.0002,384,,L2,prenorm,4,3,RMSprop,max,learned,0.0
10,0.2840684210360986,COMPLETE,2025-11-05 14:07:09.292657,2025-11-05 14:07:39.908425,0 days 00:00:30.615768,prelu,32,384,0.1,0.001,256,0.5,minmax,postnorm,2,1,SGD,max,sinusoidal,1e-07
11,0.3365294027350115,COMPLETE,2025-11-05 14:07:39.909426,2025-11-05 14:08:21.199198,0 days 00:00:41.289772,prelu,32,384,0.1,0.001,256,0.5,minmax,postnorm,2,1,SGD,max,sinusoidal,1e-07
12,0.3373022946552358,COMPLETE,2025-11-05 14:08:21.202714,2025-11-05 14:08:49.392433,0 days 00:00:28.189719,prelu,32,384,0.0,0.001,256,0.5,minmax,postnorm,2,1,SGD,max,sinusoidal,1e-07
13,0.21761658031088082,PRUNED,2025-11-05 14:08:49.394471,2025-11-05 14:09:00.199682,0 days 00:00:10.805211,elu,32,384,0.1,0.001,256,0.6000000000000001,minmax,postnorm,2,1,SGD,max,sinusoidal,1e-07
14,0.178030303030303,PRUNED,2025-11-05 14:09:00.200683,2025-11-05 14:09:09.237515,0 days 00:00:09.036832,prelu,64,384,0.2,2e-05,256,0.1,minmax,postnorm,2,2,SGD,max,sinusoidal,1e-07
15,0.178030303030303,PRUNED,2025-11-05 14:09:09.238516,2025-11-05 14:09:19.454905,0 days 00:00:10.216389,leakyrelu,96,384,0.2,0.001,256,0.9,minmax,postnorm,2,4,SGD,max,sinusoidal,1e-07
16,0.21759048895761182,COMPLETE,2025-11-05 14:09:19.455905,2025-11-05 14:09:44.202199,0 days 00:00:24.746294,relu,32,384,0.0,0.001,256,0.2,minmax,postnorm,2,1,SGD,cls,sinusoidal,1e-07
17,0.178030303030303,PRUNED,2025-11-05 14:09:44.204200,2025-11-05 14:10:13.188280,0 days 00:00:28.984080,hardswish,32,384,0.1,5e-05,512,0.7000000000000001,minmax,postnorm,8,2,SGD,max,sinusoidal,0.0
18,0.21759048895761182,COMPLETE,2025-11-05 14:10:13.189280,2025-11-05 14:10:38.454816,0 days 00:00:25.265536,prelu,32,384,0.0,2e-05,256,0.30000000000000004,minmax,prenorm,2,1,SGD,max,learned,1e-07
19,0.178030303030303,PRUNED,2025-11-05 14:10:38.456816,2025-11-05 14:10:45.851091,0 days 00:00:07.394275,prelu,96,384,0.2,0.001,256,,minmax,postnorm,2,2,RMSprop,cls,sinusoidal,1e-07
20,0.178030303030303,PRUNED,2025-11-05 14:10:45.852109,2025-11-05 14:10:58.953421,0 days 00:00:13.101312,elu,64,768,0.2,0.001,256,0.30000000000000004,minmax,postnorm,2,1,SGD,max,sinusoidal,1e-07
21,0.2883557638037407,COMPLETE,2025-11-05 14:10:58.955455,2025-11-05 14:11:29.417509,0 days 00:00:30.462054,prelu,32,256,0.0,0.001,128,0.5,minmax,postnorm,8,1,SGD,max,sinusoidal,1e-06
22,0.304191168122814,COMPLETE,2025-11-05 14:11:29.418509,2025-11-05 14:12:00.718861,0 days 00:00:31.300352,prelu,32,256,0.0,0.001,128,0.7000000000000001,minmax,postnorm,4,1,SGD,max,sinusoidal,1e-06
23,0.2531766913571945,COMPLETE,2025-11-05 14:12:00.720869,2025-11-05 14:12:27.452238,0 days 00:00:26.731369,prelu,32,256,0.1,0.001,128,0.8,minmax,postnorm,2,1,SGD,max,sinusoidal,0.0
24,0.178030303030303,PRUNED,2025-11-05 14:12:27.454253,2025-11-05 14:12:43.782180,0 days 00:00:16.327927,relu,32,384,0.0,0.001,768,0.7000000000000001,minmax,postnorm,2,2,SGD,max,sinusoidal,1e-06
25,0.21761658031088082,PRUNED,2025-11-05 14:12:43.783186,2025-11-05 14:12:52.221394,0 days 00:00:08.438208,silu,128,384,0.1,0.001,512,0.4,minmax,postnorm,4,1,SGD,max,sinusoidal,1e-07
26,0.23207491211308318,COMPLETE,2025-11-05 14:12:52.222396,2025-11-05 14:13:29.616621,0 days 00:00:37.394225,hardswish,32,256,0.0,0.0002,128,0.7000000000000001,minmax,prenorm,8,2,SGD,max,learned,1e-07
27,0.34726459453694786,COMPLETE,2025-11-05 14:13:29.619622,2025-11-05 14:14:08.488322,0 days 00:00:38.868700,leakyrelu,32,768,0.1,1e-05,256,,minmax,postnorm,16,1,RMSprop,max,sinusoidal,1e-06
28,0.178030303030303,PRUNED,2025-11-05 14:14:08.491322,2025-11-05 14:14:28.265421,0 days 00:00:19.774099,leakyrelu,32,768,0.1,1e-05,256,,minmax,postnorm,16,3,RMSprop,cls,sinusoidal,0.0
29,0.21759048895761182,COMPLETE,2025-11-05 14:14:28.266421,2025-11-05 14:15:12.799806,0 days 00:00:44.533385,leakyrelu,16,768,0.2,1e-05,256,,minmax,postnorm,16,1,RMSprop,mean,learned,1e-06
30,0.178030303030303,PRUNED,2025-11-05 14:15:12.801309,2025-11-05 14:15:41.866881,0 days 00:00:29.065572,leakyrelu,64,768,0.1,1e-05,256,,minmax,postnorm,16,3,AdamW,mean,sinusoidal,1e-07
31,0.17702448210922786,PRUNED,2025-11-05 14:15:41.867886,2025-11-05 14:15:48.848800,0 days 00:00:06.980914,prelu,32,768,0.0,1e-05,512,,minmax,postnorm,16,1,RMSprop,max,sinusoidal,1e-06
32,0.4270028976734456,COMPLETE,2025-11-05 14:15:48.849801,2025-11-05 14:16:40.875341,0 days 00:00:52.025540,prelu,32,256,0.0,0.0005,256,,minmax,postnorm,16,1,AdamW,max,sinusoidal,1e-06
33,0.24382584102925478,COMPLETE,2025-11-05 14:16:40.878342,2025-11-05 14:17:24.769819,0 days 00:00:43.891477,leakyrelu,16,768,0.1,0.0005,256,,minmax,postnorm,16,1,AdamW,max,sinusoidal,1e-06
34,0.39530462855880244,COMPLETE,2025-11-05 14:17:24.772335,2025-11-05 14:18:29.499338,0 days 00:01:04.727003,silu,32,256,0.0,0.0005,256,,minmax,postnorm,16,2,AdamW,max,sinusoidal,1e-06
35,0.178030303030303,PRUNED,2025-11-05 14:18:29.501603,2025-11-05 14:19:08.629323,0 days 00:00:39.127720,silu,16,256,0.0,0.0005,256,,L2,prenorm,16,2,AdamW,max,sinusoidal,1e-06
36,0.33083035878121764,COMPLETE,2025-11-05 14:19:08.630324,2025-11-05 14:19:41.975606,0 days 00:00:33.345282,silu,128,256,0.0,0.0005,256,,minmax,postnorm,16,2,AdamW,max,learned,1e-06
