number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.24431496689997043,COMPLETE,2025-11-05 02:35:48.108449,2025-11-05 02:36:54.329449,0 days 00:01:06.221000,gelu,16,512,0.2,1e-05,512,,minmax,prenorm,2,2,RMSprop,mean,learned,1e-06
1,0.20479896111372795,COMPLETE,2025-11-05 02:36:54.331450,2025-11-05 02:37:41.335566,0 days 00:00:47.004116,leakyrelu,96,768,0.2,0.0005,512,0.8,minmax,prenorm,4,4,SGD,max,sinusoidal,1e-06
2,0.3086671999370412,COMPLETE,2025-11-05 02:37:41.336567,2025-11-05 02:38:37.231263,0 days 00:00:55.894696,silu,32,512,0.0,2e-05,512,,L2,postnorm,4,3,Adam,max,sinusoidal,1e-06
3,0.21759048895761182,COMPLETE,2025-11-05 02:38:37.233263,2025-11-05 02:39:04.492748,0 days 00:00:27.259485,elu,32,384,0.4,5e-05,512,0.2,minmax,postnorm,8,1,SGD,mean,learned,0.0
4,0.21759048895761182,COMPLETE,2025-11-05 02:39:04.494252,2025-11-05 02:40:01.041444,0 days 00:00:56.547192,mish,32,512,0.0,0.0005,384,,minmax,prenorm,16,3,Adam,mean,sinusoidal,1e-05
5,0.178030303030303,PRUNED,2025-11-05 02:40:01.044445,2025-11-05 02:40:11.373035,0 days 00:00:10.328590,elu,128,768,0.1,2e-05,128,,L2,prenorm,4,1,RMSprop,max,sinusoidal,0.0
6,0.21759048895761182,COMPLETE,2025-11-05 02:40:11.374034,2025-11-05 02:41:35.107773,0 days 00:01:23.733739,prelu,64,512,0.2,5e-05,768,,L2,prenorm,8,4,Adam,cls,learned,1e-05
7,0.178030303030303,PRUNED,2025-11-05 02:41:35.109772,2025-11-05 02:42:09.101076,0 days 00:00:33.991304,elu,16,256,0.4,0.0001,128,,L2,postnorm,4,4,RMSprop,max,learned,1e-05
8,0.21759048895761182,COMPLETE,2025-11-05 02:42:09.102083,2025-11-05 02:42:40.070624,0 days 00:00:30.968541,leakyrelu,128,768,0.0,5e-05,256,,minmax,postnorm,2,4,RMSprop,mean,learned,1e-06
9,0.27840968101070224,COMPLETE,2025-11-05 02:42:40.073628,2025-11-05 02:43:23.550078,0 days 00:00:43.476450,hardswish,128,768,0.1,2e-05,384,,L2,prenorm,2,4,AdamW,cls,learned,1e-05
10,0.178030303030303,PRUNED,2025-11-05 02:43:23.553079,2025-11-05 02:43:38.422874,0 days 00:00:14.869795,silu,32,384,0.30000000000000004,0.0002,256,,L2,postnorm,16,2,Adam,max,sinusoidal,1e-07
11,0.178030303030303,PRUNED,2025-11-05 02:43:38.425389,2025-11-05 02:44:00.192162,0 days 00:00:21.766773,hardswish,128,256,0.1,2e-05,384,,L2,postnorm,2,3,AdamW,cls,sinusoidal,1e-07
12,0.178030303030303,PRUNED,2025-11-05 02:44:00.193162,2025-11-05 02:44:14.019277,0 days 00:00:13.826115,silu,64,768,0.1,0.001,384,,L2,postnorm,4,3,AdamW,cls,learned,1e-06
13,0.21759048895761182,COMPLETE,2025-11-05 02:44:14.020296,2025-11-05 02:45:05.368446,0 days 00:00:51.348150,relu,96,512,0.0,2e-05,768,,L2,prenorm,2,3,AdamW,cls,sinusoidal,1e-05
14,0.08558558558558559,PRUNED,2025-11-05 02:45:05.370458,2025-11-05 02:45:14.883057,0 days 00:00:09.512599,hardswish,128,512,0.1,2e-05,384,,L2,prenorm,2,2,AdamW,max,learned,1e-06
15,0.21759048895761182,COMPLETE,2025-11-05 02:45:14.884562,2025-11-05 02:46:24.655583,0 days 00:01:09.771021,silu,32,768,0.0,2e-05,512,,L2,postnorm,4,4,Adam,cls,sinusoidal,1e-05
