number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dim_feedforward,params_dropout,params_lr,params_model_dim,params_momentum_sgd,params_norm,params_norm_type,params_num_heads,params_num_layers,params_optimizer,params_pooling,params_pos_encoding,params_weight_decay
0,0.21759048895761182,COMPLETE,2025-11-05 14:28:18.214892,2025-11-05 14:28:40.210552,0 days 00:00:21.995660,prelu,128,768,0.0,2e-05,128,,minmax,prenorm,8,1,Adam,cls,learned,0.0
1,0.235327789011347,COMPLETE,2025-11-05 14:28:40.213074,2025-11-05 14:29:44.116304,0 days 00:01:03.903230,leakyrelu,32,384,0.4,1e-05,512,0.7000000000000001,minmax,postnorm,8,2,SGD,max,sinusoidal,1e-05
2,0.32951200481504866,COMPLETE,2025-11-05 14:29:44.118305,2025-11-05 14:31:34.515718,0 days 00:01:50.397413,relu,16,384,0.30000000000000004,2e-05,384,,L2,prenorm,8,3,Adam,max,learned,1e-06
3,0.21875,PRUNED,2025-11-05 14:31:34.517758,2025-11-05 14:31:43.513484,0 days 00:00:08.995726,elu,64,512,0.1,1e-05,256,,L2,prenorm,4,1,Adam,max,sinusoidal,0.0
4,0.21759048895761182,COMPLETE,2025-11-05 14:31:43.514486,2025-11-05 14:32:19.246121,0 days 00:00:35.731635,silu,128,768,0.4,0.0002,128,,L2,postnorm,2,4,Adam,max,sinusoidal,1e-05
5,0.235327789011347,COMPLETE,2025-11-05 14:32:19.248168,2025-11-05 14:33:03.754726,0 days 00:00:44.506558,hardswish,128,256,0.1,5e-05,768,0.9,minmax,prenorm,16,1,SGD,cls,sinusoidal,1e-05
6,0.178030303030303,PRUNED,2025-11-05 14:33:03.756726,2025-11-05 14:33:22.222327,0 days 00:00:18.465601,gelu,96,512,0.2,0.0005,384,,minmax,postnorm,8,1,RMSprop,mean,learned,1e-06
7,0.21759048895761182,COMPLETE,2025-11-05 14:33:22.223341,2025-11-05 14:33:58.705896,0 days 00:00:36.482555,relu,32,256,0.2,0.0002,128,,minmax,prenorm,16,1,RMSprop,cls,learned,1e-06
8,0.21875,PRUNED,2025-11-05 14:33:58.707930,2025-11-05 14:34:10.037389,0 days 00:00:11.329459,gelu,32,384,0.1,2e-05,256,,minmax,prenorm,4,1,Adam,max,learned,1e-06
9,0.21759048895761182,COMPLETE,2025-11-05 14:34:10.038394,2025-11-05 14:35:26.556852,0 days 00:01:16.518458,relu,32,256,0.4,0.0005,512,,L2,prenorm,8,3,Adam,max,learned,1e-06
