number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-24 14:27:57.382958,2025-11-24 14:28:51.578114,0 days 00:00:54.195156,"[64, 96]",prelu,96,768,0.2,0.0001,0.9,L2,prenorm,16,2,SGD,max,sinusoidal,0.0
1,0.21758419036095988,COMPLETE,2025-11-24 14:28:51.581643,2025-11-24 14:31:00.196110,0 days 00:02:08.614467,"[384, 512]",mish,16,128,0.0,5e-05,0.7,L2,prenorm,2,2,SGD,mean,sinusoidal,0.0
2,0.21758419036095988,COMPLETE,2025-11-24 14:31:00.198134,2025-11-24 14:31:35.243550,0 days 00:00:35.045416,[128],gelu,64,256,0.3,2e-05,,minmax,prenorm,2,1,Adam,cls,sinusoidal,1e-07
3,0.18238993710691823,PRUNED,2025-11-24 14:31:35.246571,2025-11-24 14:32:03.679382,0 days 00:00:28.432811,"[256, 384]",gelu,96,256,0.0,0.0005,0.7,minmax,postnorm,4,2,SGD,mean,learned,1e-07
4,0.1761006289308176,PRUNED,2025-11-24 14:32:03.681521,2025-11-24 14:32:14.539199,0 days 00:00:10.857678,"[192, 128]",hardswish,128,256,0.4,2e-05,,minmax,prenorm,8,2,Adam,max,learned,1e-07
5,0.1761006289308176,PRUNED,2025-11-24 14:32:14.540213,2025-11-24 14:32:32.183307,0 days 00:00:17.643094,[64],mish,48,128,0.2,0.0001,0.8,L2,postnorm,4,1,SGD,cls,sinusoidal,1e-07
6,0.21758419036095988,COMPLETE,2025-11-24 14:32:32.185322,2025-11-24 14:34:48.420997,0 days 00:02:16.235675,"[128, 96]",prelu,16,384,0.3,2e-05,0.0,L2,prenorm,4,2,SGD,mean,sinusoidal,1e-06
7,0.21758419036095988,COMPLETE,2025-11-24 14:34:48.422030,2025-11-24 14:36:05.435435,0 days 00:01:17.013405,"[384, 384, 384]",elu,48,256,0.0,0.001,0.8,minmax,prenorm,4,3,SGD,mean,learned,1e-05
8,0.21758419036095988,COMPLETE,2025-11-24 14:36:05.437477,2025-11-24 14:38:34.441631,0 days 00:02:29.004154,"[256, 192, 128, 96]",silu,32,256,0.2,0.001,,L2,postnorm,16,4,AdamW,mean,sinusoidal,1e-06
9,0.2755706132934573,COMPLETE,2025-11-24 14:38:34.443768,2025-11-24 14:40:30.910335,0 days 00:01:56.466567,[640],silu,16,128,0.1,1e-05,,L2,prenorm,8,1,Adam,max,sinusoidal,1e-07
