number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-24 19:48:09.523402,2025-11-24 19:48:38.806774,0 days 00:00:29.283372,[384],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
1,0.21758419036095988,COMPLETE,2025-11-24 19:48:38.808775,2025-11-24 19:49:43.539864,0 days 00:01:04.731089,"[256, 256]",prelu,48,512,0.2,0.0001,0.0,minmax,postnorm,16,2,SGD,cls,learned,1e-05
2,0.21839080459770113,PRUNED,2025-11-24 19:49:43.542874,2025-11-24 19:50:09.233686,0 days 00:00:25.690812,"[640, 512]",silu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
3,0.21758419036095988,COMPLETE,2025-11-24 19:50:09.233686,2025-11-24 19:51:35.252615,0 days 00:01:26.018929,[640],mish,16,384,0.3,0.0005,,minmax,postnorm,16,1,Adam,mean,learned,1e-05
4,0.2512911162647087,COMPLETE,2025-11-24 19:51:35.264412,2025-11-24 19:53:07.631465,0 days 00:01:32.367053,"[640, 768]",leakyrelu,64,128,0.1,0.001,,minmax,postnorm,16,2,AdamW,mean,learned,0.0
5,0.21758419036095988,COMPLETE,2025-11-24 19:53:07.633655,2025-11-24 19:54:15.813819,0 days 00:01:08.180164,"[128, 96]",leakyrelu,48,128,0.2,2e-05,,L2,prenorm,16,2,Adam,mean,sinusoidal,1e-07
6,0.08888888888888889,PRUNED,2025-11-24 19:54:15.816204,2025-11-24 19:54:35.792941,0 days 00:00:19.976737,"[64, 64, 64]",gelu,96,512,0.4,0.0001,0.0,minmax,prenorm,2,3,SGD,mean,sinusoidal,1e-05
7,0.2250575445929348,COMPLETE,2025-11-24 19:54:35.794946,2025-11-24 19:56:28.586673,0 days 00:01:52.791727,"[256, 256, 256, 256]",gelu,32,768,0.0,1e-05,,minmax,postnorm,4,4,RMSprop,cls,sinusoidal,1e-06
8,0.21758419036095988,COMPLETE,2025-11-24 19:56:28.588679,2025-11-24 19:57:02.227490,0 days 00:00:33.638811,[64],leakyrelu,64,384,0.0,2e-05,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-05
9,0.419025594580411,COMPLETE,2025-11-24 19:57:02.229490,2025-11-24 19:58:29.790959,0 days 00:01:27.561469,"[640, 640]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
10,0.26912709931577855,PRUNED,2025-11-24 19:58:29.793960,2025-11-24 19:59:00.241372,0 days 00:00:30.447412,"[64, 96, 128, 192]",relu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
11,0.1761006289308176,PRUNED,2025-11-24 19:59:00.243397,2025-11-24 19:59:26.550635,0 days 00:00:26.307238,"[256, 384, 512]",relu,64,256,0.1,0.001,,L2,postnorm,4,3,AdamW,max,learned,0.0
12,0.21758419036095988,COMPLETE,2025-11-24 19:59:26.550635,2025-11-24 20:00:20.175120,0 days 00:00:53.624485,"[384, 512]",elu,64,256,0.1,0.001,,minmax,postnorm,8,2,AdamW,max,learned,0.0
13,0.1761006289308176,PRUNED,2025-11-24 20:00:20.175120,2025-11-24 20:00:54.582152,0 days 00:00:34.407032,"[128, 192, 256]",relu,16,128,0.1,0.001,,L2,postnorm,4,3,RMSprop,max,learned,0.0
14,0.08888888888888889,PRUNED,2025-11-24 20:00:54.582152,2025-11-24 20:01:11.993218,0 days 00:00:17.411066,"[768, 768]",leakyrelu,128,768,0.4,0.0001,,minmax,postnorm,16,2,RMSprop,cls,sinusoidal,1e-05
15,0.3723031351934164,COMPLETE,2025-11-24 20:01:11.994453,2025-11-24 20:02:53.522737,0 days 00:01:41.528284,"[192, 256, 384]",elu,96,256,0.0,5e-05,,L2,postnorm,4,3,AdamW,mean,learned,0.0
16,0.08888888888888889,PRUNED,2025-11-24 20:02:53.525746,2025-11-24 20:03:28.026150,0 days 00:00:34.500404,"[768, 768, 768]",elu,96,256,0.0,5e-05,0.7,L2,postnorm,4,3,SGD,max,learned,1e-07
17,0.18238993710691823,PRUNED,2025-11-24 20:03:28.027151,2025-11-24 20:04:25.802494,0 days 00:00:57.775343,"[512, 512, 512, 512]",elu,96,256,0.0,5e-05,,L2,postnorm,4,4,Adam,mean,sinusoidal,1e-06
18,0.37387316978788776,COMPLETE,2025-11-24 20:04:25.802947,2025-11-24 20:05:40.785033,0 days 00:01:14.982086,"[192, 256, 384]",hardswish,96,256,0.0,0.0002,,L2,prenorm,4,3,AdamW,max,learned,0.0
19,0.45711286044242955,COMPLETE,2025-11-24 20:05:40.788156,2025-11-24 20:08:11.993129,0 days 00:02:31.204973,"[512, 512, 512]",hardswish,48,256,0.0,0.0002,,L2,prenorm,4,3,RMSprop,max,sinusoidal,1e-05
20,0.21839080459770113,PRUNED,2025-11-24 20:08:11.997153,2025-11-24 20:08:23.345171,0 days 00:00:11.348018,[512],hardswish,48,256,0.0,0.0002,,L2,prenorm,2,1,RMSprop,max,sinusoidal,1e-05
21,0.4724062915740002,COMPLETE,2025-11-24 20:08:23.346175,2025-11-24 20:11:19.257935,0 days 00:02:55.911760,"[512, 512, 512]",hardswish,48,256,0.0,0.0002,,L2,prenorm,4,3,RMSprop,max,sinusoidal,1e-05
22,0.4541687865732877,COMPLETE,2025-11-24 20:11:19.260944,2025-11-24 20:13:36.902675,0 days 00:02:17.641731,"[512, 512, 512]",hardswish,48,256,0.0,0.0002,,L2,prenorm,4,3,RMSprop,max,sinusoidal,1e-05
23,0.4349712993204603,COMPLETE,2025-11-24 20:13:36.905683,2025-11-24 20:16:29.871930,0 days 00:02:52.966247,"[384, 384, 384, 384]",hardswish,48,256,0.0,0.0002,,L2,prenorm,4,4,RMSprop,max,sinusoidal,1e-05
24,0.36504208946518385,COMPLETE,2025-11-24 20:16:29.875998,2025-11-24 20:18:14.639458,0 days 00:01:44.763460,"[384, 384, 384]",hardswish,48,768,0.0,0.0002,,L2,prenorm,8,3,RMSprop,max,sinusoidal,1e-05
25,0.1761006289308176,PRUNED,2025-11-24 20:18:14.639458,2025-11-24 20:18:23.619379,0 days 00:00:08.979921,"[512, 512, 512]",hardswish,48,512,0.4,0.0002,,L2,prenorm,4,3,RMSprop,max,sinusoidal,1e-05
26,0.21839080459770113,PRUNED,2025-11-24 20:18:23.620384,2025-11-24 20:18:41.468559,0 days 00:00:17.848175,"[192, 192, 192, 192]",hardswish,48,256,0.3,0.0002,,L2,prenorm,4,4,RMSprop,max,sinusoidal,1e-05
27,0.18238993710691823,PRUNED,2025-11-24 20:18:41.470582,2025-11-24 20:19:40.228504,0 days 00:00:58.757922,"[128, 128, 128]",mish,48,256,0.0,0.0005,,L2,prenorm,4,3,RMSprop,cls,sinusoidal,1e-05
28,0.21758419036095988,COMPLETE,2025-11-24 20:19:40.229507,2025-11-24 20:21:00.359391,0 days 00:01:20.129884,"[640, 640, 640]",prelu,48,256,0.0,0.0002,,L2,prenorm,4,3,RMSprop,max,sinusoidal,1e-05
29,0.18238993710691823,PRUNED,2025-11-24 20:21:00.363303,2025-11-24 20:21:39.816088,0 days 00:00:39.452785,"[384, 384, 384, 384]",hardswish,128,384,0.3,1e-05,,L2,prenorm,4,4,RMSprop,max,sinusoidal,1e-06
30,0.4555275509900092,COMPLETE,2025-11-24 20:21:39.817098,2025-11-24 20:26:01.661625,0 days 00:04:21.844527,"[640, 640, 640]",silu,16,256,0.0,0.0002,,L2,prenorm,2,3,Adam,max,sinusoidal,1e-05
31,0.1761006289308176,PRUNED,2025-11-24 20:26:01.669775,2025-11-24 20:26:58.443568,0 days 00:00:56.773793,"[640, 640, 640]",silu,16,256,0.0,0.0002,,L2,prenorm,2,3,Adam,max,sinusoidal,1e-05
32,0.4427741197998877,COMPLETE,2025-11-24 20:26:58.445567,2025-11-24 20:30:45.985501,0 days 00:03:47.539934,"[512, 512, 512]",silu,16,256,0.0,0.0002,,L2,prenorm,2,3,Adam,max,sinusoidal,1e-05
33,0.1761006289308176,PRUNED,2025-11-24 20:30:45.992465,2025-11-24 20:31:24.154798,0 days 00:00:38.162333,"[640, 640, 640]",silu,16,512,0.2,0.0002,,L2,prenorm,2,3,Adam,max,sinusoidal,1e-05
34,0.18238993710691823,PRUNED,2025-11-24 20:31:24.155801,2025-11-24 20:32:15.235114,0 days 00:00:51.079313,"[768, 640, 512]",hardswish,48,256,0.0,0.0002,0.8,L2,prenorm,2,3,SGD,cls,sinusoidal,1e-05
35,0.21758419036095988,COMPLETE,2025-11-24 20:32:15.237119,2025-11-24 20:34:17.157862,0 days 00:02:01.920743,"[768, 768]",prelu,16,384,0.2,0.0005,,L2,prenorm,8,2,Adam,max,sinusoidal,1e-05
36,0.21839080459770113,PRUNED,2025-11-24 20:34:17.160863,2025-11-24 20:34:41.154557,0 days 00:00:23.993694,"[512, 512, 512, 512]",silu,32,256,0.3,2e-05,,L2,prenorm,4,4,Adam,max,sinusoidal,1e-07
37,0.08888888888888889,PRUNED,2025-11-24 20:34:41.156564,2025-11-24 20:34:55.258262,0 days 00:00:14.101698,"[512, 384, 256]",mish,128,128,0.0,0.0002,0.9,minmax,prenorm,16,3,SGD,max,sinusoidal,1e-06
38,0.21758419036095988,COMPLETE,2025-11-24 20:34:55.259265,2025-11-24 20:35:48.885422,0 days 00:00:53.626157,"[384, 384]",hardswish,48,768,0.4,1e-05,,L2,prenorm,2,2,RMSprop,cls,sinusoidal,1e-05
39,0.1761006289308176,PRUNED,2025-11-24 20:35:48.888391,2025-11-24 20:35:59.118072,0 days 00:00:10.229681,"[640, 640, 640]",gelu,48,512,0.2,0.0002,,minmax,prenorm,4,3,Adam,max,sinusoidal,1e-05
40,0.18238993710691823,PRUNED,2025-11-24 20:35:59.119292,2025-11-24 20:37:21.596660,0 days 00:01:22.477368,"[768, 640]",hardswish,16,256,0.0,0.0005,,L2,prenorm,16,2,RMSprop,max,sinusoidal,1e-05
41,0.21839080459770113,PRUNED,2025-11-24 20:37:21.597663,2025-11-24 20:38:01.802905,0 days 00:00:40.205242,"[512, 512, 512]",silu,16,256,0.0,0.0002,,L2,prenorm,2,3,Adam,max,sinusoidal,1e-05
42,0.1761006289308176,PRUNED,2025-11-24 20:38:01.803917,2025-11-24 20:38:20.711181,0 days 00:00:18.907264,"[512, 512, 512]",silu,16,256,0.0,0.0002,,L2,prenorm,2,3,Adam,max,sinusoidal,1e-05
