number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.2784036946095236,COMPLETE,2025-11-24 23:39:37.737514,2025-11-24 23:40:22.140649,0 days 00:00:44.403135,[384],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
1,0.21758419036095988,COMPLETE,2025-11-24 23:40:22.142656,2025-11-24 23:41:44.547482,0 days 00:01:22.404826,"[256, 256]",prelu,48,512,0.2,0.0001,0.0,minmax,postnorm,16,2,SGD,cls,learned,1e-05
2,0.3976274570229168,COMPLETE,2025-11-24 23:41:44.549482,2025-11-24 23:45:03.977642,0 days 00:03:19.428160,"[640, 512]",silu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
3,0.21758419036095988,COMPLETE,2025-11-24 23:45:03.984070,2025-11-24 23:46:42.370175,0 days 00:01:38.386105,[640],mish,16,384,0.3,0.0005,,minmax,postnorm,16,1,Adam,mean,learned,1e-05
4,0.08333333333333333,PRUNED,2025-11-24 23:46:42.373176,2025-11-24 23:47:51.826580,0 days 00:01:09.453404,"[640, 768]",leakyrelu,64,128,0.1,0.001,,minmax,postnorm,16,2,AdamW,mean,learned,0.0
5,0.18238993710691823,PRUNED,2025-11-24 23:47:51.826580,2025-11-24 23:48:43.319173,0 days 00:00:51.492593,"[128, 96]",leakyrelu,48,128,0.2,2e-05,,L2,prenorm,16,2,Adam,mean,sinusoidal,1e-07
6,0.21758419036095988,COMPLETE,2025-11-24 23:48:43.320831,2025-11-24 23:49:32.952520,0 days 00:00:49.631689,"[64, 64, 64]",gelu,96,512,0.4,0.0001,0.0,minmax,prenorm,2,3,SGD,mean,sinusoidal,1e-05
7,0.22804070809901997,COMPLETE,2025-11-24 23:49:32.955521,2025-11-24 23:51:30.171139,0 days 00:01:57.215618,"[256, 256, 256, 256]",gelu,32,768,0.0,1e-05,,minmax,postnorm,4,4,RMSprop,cls,sinusoidal,1e-06
8,0.08888888888888889,PRUNED,2025-11-24 23:51:30.173152,2025-11-24 23:51:44.731060,0 days 00:00:14.557908,[64],leakyrelu,64,384,0.0,2e-05,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-05
9,0.1761006289308176,PRUNED,2025-11-24 23:51:44.732064,2025-11-24 23:52:03.607856,0 days 00:00:18.875792,"[640, 640]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
10,0.21839080459770113,PRUNED,2025-11-24 23:52:03.608986,2025-11-24 23:52:33.055985,0 days 00:00:29.446999,"[192, 256, 384, 512]",silu,32,128,0.2,5e-05,,L2,prenorm,8,4,AdamW,cls,learned,0.0
11,0.08888888888888889,PRUNED,2025-11-24 23:52:33.056989,2025-11-24 23:52:49.294880,0 days 00:00:16.237891,[384],hardswish,128,384,0.3,1e-05,,L2,postnorm,4,1,AdamW,max,learned,1e-06
12,0.1761006289308176,PRUNED,2025-11-24 23:52:49.296886,2025-11-24 23:52:59.121108,0 days 00:00:09.824222,"[384, 256, 192]",silu,128,256,0.3,0.0002,,minmax,postnorm,8,3,AdamW,max,sinusoidal,0.0
13,0.33246152540337137,COMPLETE,2025-11-24 23:52:59.123114,2025-11-24 23:54:27.172689,0 days 00:01:28.049575,[768],elu,128,768,0.4,5e-05,,L2,postnorm,4,1,AdamW,max,learned,1e-06
14,0.254178407834481,COMPLETE,2025-11-24 23:54:27.175802,2025-11-24 23:58:50.813229,0 days 00:04:23.637427,"[768, 640, 512]",elu,16,768,0.4,5e-05,,L2,postnorm,16,3,AdamW,max,learned,1e-06
15,0.21758419036095988,COMPLETE,2025-11-24 23:58:50.815237,2025-11-24 23:59:48.891898,0 days 00:00:58.076661,[768],elu,96,768,0.4,5e-05,,L2,postnorm,4,1,AdamW,mean,learned,1e-07
16,0.2144927536231884,PRUNED,2025-11-24 23:59:48.893905,2025-11-25 00:00:43.139096,0 days 00:00:54.245191,"[512, 640]",elu,128,128,0.1,5e-05,,L2,postnorm,8,2,AdamW,max,learned,0.0
17,0.1761006289308176,PRUNED,2025-11-25 00:00:43.140099,2025-11-25 00:00:56.852934,0 days 00:00:13.712835,[768],silu,48,768,0.2,5e-05,0.8,L2,postnorm,2,1,SGD,mean,learned,0.0
18,0.1761006289308176,PRUNED,2025-11-25 00:00:56.854939,2025-11-25 00:01:07.230942,0 days 00:00:10.376003,"[640, 512]",relu,128,128,0.4,0.0002,,L2,prenorm,4,2,Adam,max,learned,1e-06
19,0.1761006289308176,PRUNED,2025-11-25 00:01:07.231944,2025-11-25 00:01:36.275410,0 days 00:00:29.043466,"[256, 384, 512]",mish,48,768,0.2,0.0005,,L2,postnorm,16,3,AdamW,cls,learned,1e-07
20,0.21758419036095988,COMPLETE,2025-11-25 00:01:36.276410,2025-11-25 00:02:44.357387,0 days 00:01:08.080977,[512],prelu,32,512,0.4,0.001,,L2,postnorm,16,1,AdamW,max,learned,0.0
21,0.1761006289308176,PRUNED,2025-11-25 00:02:44.359448,2025-11-25 00:03:02.662785,0 days 00:00:18.303337,[512],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
22,0.1761006289308176,PRUNED,2025-11-25 00:03:02.663785,2025-11-25 00:03:19.445971,0 days 00:00:16.782186,[384],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
23,0.1761006289308176,PRUNED,2025-11-25 00:03:19.446975,2025-11-25 00:03:36.474759,0 days 00:00:17.027784,"[640, 512]",elu,128,256,0.1,5e-05,,minmax,postnorm,4,2,AdamW,max,sinusoidal,1e-06
24,0.08888888888888889,PRUNED,2025-11-25 00:03:36.475816,2025-11-25 00:03:44.497501,0 days 00:00:08.021685,[256],hardswish,128,768,0.4,5e-05,,L2,postnorm,4,1,AdamW,max,learned,1e-06
25,0.21839080459770113,PRUNED,2025-11-25 00:03:44.498504,2025-11-25 00:04:41.040214,0 days 00:00:56.541710,"[768, 640]",silu,16,384,0.3,1e-05,,L2,postnorm,4,2,AdamW,mean,learned,1e-06
26,0.21758419036095988,COMPLETE,2025-11-25 00:04:41.041216,2025-11-25 00:05:16.371949,0 days 00:00:35.330733,[128],silu,64,128,0.2,5e-05,,minmax,prenorm,2,1,Adam,max,sinusoidal,1e-06
27,0.21839080459770113,PRUNED,2025-11-25 00:05:16.375215,2025-11-25 00:05:37.361984,0 days 00:00:20.986769,[512],hardswish,96,384,0.3,0.0002,0.7,L2,postnorm,8,1,SGD,max,learned,0.0
28,0.21758419036095988,COMPLETE,2025-11-25 00:05:37.370173,2025-11-25 00:06:37.562356,0 days 00:01:00.192183,"[64, 64]",elu,48,128,0.2,0.001,,minmax,postnorm,4,2,RMSprop,cls,sinusoidal,1e-07
29,0.21758419036095988,COMPLETE,2025-11-25 00:06:37.565170,2025-11-25 00:08:45.304486,0 days 00:02:07.739316,"[256, 384, 512]",prelu,48,512,0.4,0.0005,0.9,minmax,postnorm,16,3,SGD,mean,learned,1e-06
30,0.1761006289308176,PRUNED,2025-11-25 00:08:45.304486,2025-11-25 00:09:00.508327,0 days 00:00:15.203841,[768],gelu,128,768,0.2,2e-05,,L2,postnorm,16,1,AdamW,cls,learned,0.0
31,0.1761006289308176,PRUNED,2025-11-25 00:09:00.508327,2025-11-25 00:10:04.387399,0 days 00:01:03.879072,"[768, 640, 512]",elu,16,768,0.4,5e-05,,L2,postnorm,16,3,AdamW,max,learned,1e-06
32,0.1761006289308176,PRUNED,2025-11-25 00:10:04.388399,2025-11-25 00:11:06.811199,0 days 00:01:02.422800,"[768, 640, 512, 384]",elu,16,768,0.4,5e-05,,L2,postnorm,16,4,AdamW,max,learned,1e-06
33,0.18238993710691823,PRUNED,2025-11-25 00:11:06.812203,2025-11-25 00:13:16.193705,0 days 00:02:09.381502,"[640, 512, 384]",mish,16,768,0.4,5e-05,,L2,postnorm,16,3,AdamW,max,learned,1e-06
34,0.39118765311093434,COMPLETE,2025-11-25 00:13:16.194709,2025-11-25 00:17:56.705733,0 days 00:04:40.511024,"[768, 640]",elu,16,768,0.1,5e-05,,L2,postnorm,16,2,Adam,max,learned,1e-06
35,0.21758419036095988,COMPLETE,2025-11-25 00:17:56.708932,2025-11-25 00:20:41.525766,0 days 00:02:44.816834,"[640, 512]",elu,16,128,0.1,0.0001,,minmax,postnorm,16,2,Adam,mean,learned,1e-05
36,0.1761006289308176,PRUNED,2025-11-25 00:20:41.528789,2025-11-25 00:21:21.662909,0 days 00:00:40.134120,"[512, 384]",leakyrelu,64,512,0.1,1e-05,,L2,prenorm,16,2,Adam,mean,learned,1e-06
37,0.1761006289308176,PRUNED,2025-11-25 00:21:21.663912,2025-11-25 00:21:39.615370,0 days 00:00:17.951458,"[640, 512]",relu,48,384,0.1,0.0005,,minmax,postnorm,4,2,Adam,max,sinusoidal,1e-07
38,0.21758419036095988,COMPLETE,2025-11-25 00:21:39.616371,2025-11-25 00:22:20.639046,0 days 00:00:41.022675,"[128, 128]",prelu,96,256,0.0,0.001,,L2,postnorm,2,2,Adam,mean,sinusoidal,1e-05
39,0.1761006289308176,PRUNED,2025-11-25 00:22:20.642047,2025-11-25 00:22:40.562379,0 days 00:00:19.920332,[768],gelu,32,768,0.1,2e-05,,L2,prenorm,16,1,RMSprop,max,learned,0.0
40,0.18238993710691823,PRUNED,2025-11-25 00:22:40.563383,2025-11-25 00:23:23.935561,0 days 00:00:43.372178,"[640, 512]",silu,128,128,0.3,0.0001,,minmax,postnorm,4,2,Adam,cls,learned,1e-06
41,0.2490979574958175,COMPLETE,2025-11-25 00:23:23.936563,2025-11-25 00:27:48.378278,0 days 00:04:24.441715,"[768, 640, 512]",elu,16,768,0.4,5e-05,,L2,postnorm,16,3,AdamW,max,learned,1e-06
42,0.18238993710691823,PRUNED,2025-11-25 00:27:48.381588,2025-11-25 00:30:30.942578,0 days 00:02:42.560990,"[768, 640, 512]",elu,16,768,0.0,5e-05,,L2,postnorm,16,3,AdamW,max,learned,1e-06
43,0.1761006289308176,PRUNED,2025-11-25 00:30:30.942578,2025-11-25 00:32:01.322814,0 days 00:01:30.380236,"[640, 512, 384]",elu,16,768,0.2,5e-05,,L2,postnorm,16,3,AdamW,max,learned,1e-06
44,0.27636309451700836,COMPLETE,2025-11-25 00:32:01.323818,2025-11-25 00:38:24.221152,0 days 00:06:22.897334,"[768, 640, 512, 384]",leakyrelu,16,768,0.4,5e-05,0.7,L2,postnorm,16,4,SGD,max,learned,1e-06
45,0.18238993710691823,PRUNED,2025-11-25 00:38:24.224945,2025-11-25 00:40:31.026853,0 days 00:02:06.801908,"[768, 640, 512, 384]",leakyrelu,64,384,0.1,5e-05,0.7,L2,postnorm,8,4,SGD,max,sinusoidal,1e-05
46,0.21758419036095988,COMPLETE,2025-11-25 00:40:31.027859,2025-11-25 00:44:36.674845,0 days 00:04:05.646986,"[640, 640, 640, 640]",leakyrelu,48,768,0.3,1e-05,0.7,L2,postnorm,16,4,SGD,mean,learned,1e-06
47,0.292212631766439,COMPLETE,2025-11-25 00:44:36.677742,2025-11-25 00:47:25.750821,0 days 00:02:49.073079,"[640, 512]",leakyrelu,16,128,0.4,5e-05,0.8,L2,prenorm,2,2,SGD,max,learned,0.0
48,0.24180606189841414,COMPLETE,2025-11-25 00:47:25.750821,2025-11-25 00:48:05.168140,0 days 00:00:39.417319,"[64, 96]",hardswish,128,128,0.2,5e-05,0.8,L2,prenorm,2,2,SGD,max,sinusoidal,0.0
49,0.1761006289308176,PRUNED,2025-11-25 00:48:05.171154,2025-11-25 00:48:21.072273,0 days 00:00:15.901119,"[192, 128]",mish,32,128,0.0,0.0002,,minmax,prenorm,2,2,RMSprop,mean,learned,0.0
