model_dim,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,source_params
"[864, 720, 576]",12,3,1024,0.1,gelu,postnorm,sinusoidal,max,False,5e-05,1e-06,32,AdamW,0.0,,transformer_results_v2.csv
640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,transformer_results_v2.csv
512,8,4,1024,0.1,mish,postnorm,sinusoidal,mean,False,0.0001,1e-06,48,AdamW,0.0,,transformer_results_v2.csv
"[768, 512, 384]",8,3,768,0.2,mish,postnorm,sinusoidal,mean,False,5e-05,1e-06,64,Adam,0.0,L2,transformer_results_v2.csv
"[1024, 768, 512]",16,3,512,0.1,gelu,postnorm,learned,mean,False,3e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v2.csv
512,8,3,768,0.2,silu,prenorm,learned,cls,True,0.0002,0.0,32,AdamW,0.0,L2,transformer_results_v2.csv
320,8,5,768,0.1,mish,prenorm,learned,mean,False,6e-05,1e-06,48,Adam,0.0,L2,transformer_results_v2.csv
640,20,4,1280,0.1,gelu,prenorm,learned,mean,False,5e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v2.csv
512,16,3,1024,0.1,silu,postnorm,sinusoidal,max,False,2e-05,1e-05,32,AdamW,0.0,L2,transformer_results_v2.csv
"[768, 720, 600]",12,3,512,0.1,mish,prenorm,learned,mean,False,6e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v2.csv
"[384, 512, 640]",8,3,1024,0.2,silu,prenorm,learned,cls,True,6e-05,0.0,32,Adam,0.0,,transformer_results_v2.csv
"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,,transformer_results_v2.csv
256,4,3,512,0.2,gelu,prenorm,sinusoidal,mean,False,0.0003,0.0,64,AdamW,0.0,minmax,transformer_results_v2.csv
512,8,4,1024,0.1,mish,prenorm,learned,mean,False,5e-05,1e-06,48,AdamW,0.0,L2,transformer_results_v2.csv
"[1024, 1024]",32,2,1280,0.1,gelu,prenorm,learned,cls,True,3e-05,1e-06,24,AdamW,0.0,L2,transformer_results_v2.csv
1024,16,4,1280,0.3,gelu,prenorm,sinusoidal,max,False,0.0002,1e-06,16,AdamW,0.0,L2,transformer_results_v2.csv
"[512, 640, 768]",16,3,1024,0.3,gelu,postnorm,learned,cls,True,5e-05,1e-06,32,Adam,0.0,L2,transformer_results_v2.csv
"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,transformer_results_v2.csv
"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,0.0,,transformer_results_v2.csv
"[384, 512, 768, 1024]",16,4,1280,0.1,silu,prenorm,learned,cls,True,3e-05,2e-06,24,AdamW,0.0,L2,transformer_results_v2.csv
512,8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,transformer_results_v2.csv
"[384, 512, 512, 640]",8,4,896,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,32,RMSprop,0.0,L2,transformer_results_v2.csv
896,8,3,1152,0.1,silu,prenorm,learned,mean,False,5e-05,1e-06,32,Adam,0.0,L2,transformer_results_v2.csv
"[640, 640, 480, 320]",10,4,960,0.2,mish,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,AdamW,0.0,,transformer_results_v2.csv
"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,,transformer_results_v2.csv
640,8,3,768,0.1,mish,prenorm,learned,max,False,0.0001,1e-06,48,AdamW,0.0,L2,transformer_results_v2.csv
768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,transformer_results_v2.csv
"[1024, 768, 512]",32,3,768,0.1,silu,prenorm,learned,cls,True,5e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v2.csv
512,16,5,768,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,32,Adam,0.0,L2,transformer_results_v2.csv
512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,transformer_results_v2.csv
768,8,3,1024,0.1,mish,prenorm,learned,cls,True,5e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v2.csv
"[768, 640, 512]",8,3,1024,0.1,mish,postnorm,learned,cls,True,5e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v2.csv
"[384, 512, 768, 1024]",16,4,1280,0.2,silu,prenorm,learned,cls,True,5e-05,1e-06,32,AdamW,0.0,,transformer_results_v2.csv
384,8,4,512,0.2,silu,prenorm,sinusoidal,mean,False,0.0002,0.0,32,AdamW,0.0,minmax,transformer_results_v2.csv
"[1024, 768, 512, 384]",16,4,1152,0.2,gelu,postnorm,sinusoidal,mean,False,4e-05,1e-06,32,Adam,0.0,,transformer_results_v2.csv
"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,,transformer_results_v2.csv
