model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,source_params
"[64]",8,1,256,0.10,gelu,prenorm,learned,mean,False,0.001,1e-06,80,AdamW,,L2,EXPLORATION_NEW25
"[96, 128]",4,2,512,0.20,relu,postnorm,sinusoidal,max,False,0.0005,1e-05,64,Adam,,minmax,EXPLORATION_NEW25
"[160, 160, 160]",8,3,640,0.05,silu,prenorm,learned,mean,False,0.0002,0.0001,56,AdamW,,L2,EXPLORATION_NEW25
"[256, 384, 512, 640]",8,4,2048,0.20,gelu,postnorm,sinusoidal,cls,True,0.0001,1e-05,32,AdamW,,minmax,EXPLORATION_NEW25
"[512, 384, 256, 192, 128]",8,5,1024,0.30,relu,prenorm,learned,mean,False,0.0005,0,32,RMSprop,,L2,EXPLORATION_NEW25
"[1024, 1024, 1024, 1024, 1024, 1024]",16,6,4096,0.10,gelu,postnorm,learned,cls,True,5e-05,0.0001,16,AdamW,,L2,EXPLORATION_NEW25
"[704, 704]",16,2,1024,0.15,silu,prenorm,sinusoidal,max,False,0.00015,1e-06,40,AdamW,,,EXPLORATION_NEW25
"[128, 256, 512]",8,3,2048,0.25,gelu,postnorm,learned,cls,True,0.0003,0,48,Adam,,minmax,EXPLORATION_NEW25
"[192, 192, 192, 192]",6,4,768,0.10,relu,prenorm,sinusoidal,mean,False,0.002,0.0001,64,SGD,0.90,L2,EXPLORATION_NEW25
"[320]",8,1,1280,0.35,silu,postnorm,learned,max,False,0.0004,1e-06,56,AdamW,,minmax,EXPLORATION_NEW25
"[832, 640, 512, 384]",8,4,256,0.20,gelu,prenorm,sinusoidal,mean,False,8e-05,5e-05,24,AdamW,,L2,EXPLORATION_NEW25
"[256, 256]",4,2,512,0.00,relu,postnorm,sinusoidal,max,False,0.0007,1e-06,80,Adam,,,EXPLORATION_NEW25
"[128, 128, 256, 256, 512]",8,5,1024,0.15,gelu,prenorm,learned,mean,False,0.00025,1e-05,32,AdamW,,minmax,EXPLORATION_NEW25
"[448, 448, 448]",7,3,1024,0.10,relu,postnorm,sinusoidal,mean,False,0.00035,1e-06,48,RMSprop,,L2,EXPLORATION_NEW25
"[1024, 768, 640, 512]",16,4,2048,0.05,gelu,prenorm,learned,cls,True,7e-05,1e-05,16,AdamW,,minmax,EXPLORATION_NEW25
"[64, 128, 256, 512]",8,4,1024,0.30,silu,postnorm,sinusoidal,max,False,0.0002,1e-06,56,AdamW,,L2,EXPLORATION_NEW25
"[96, 192, 384, 768]",12,4,896,0.20,relu,prenorm,learned,cls,True,0.00012,0.0001,24,AdamW,,minmax,EXPLORATION_NEW25
"[640, 640, 640]",10,3,640,0.10,gelu,postnorm,sinusoidal,mean,False,0.00018,1e-05,32,Adam,,L2,EXPLORATION_NEW25
"[256, 320, 384]",8,3,512,0.40,relu,prenorm,learned,max,False,0.0003,0,40,RMSprop,,minmax,EXPLORATION_NEW25
"[160, 320, 640]",10,3,1024,0.25,gelu,postnorm,sinusoidal,mean,False,0.00015,1e-06,32,AdamW,,,EXPLORATION_NEW25
"[512]",16,1,2048,0.10,silu,prenorm,learned,cls,True,0.0004,1e-06,64,AdamW,,L2,EXPLORATION_NEW25
"[384, 512, 640, 768, 896]",8,5,2048,0.20,gelu,postnorm,sinusoidal,mean,False,9e-05,0.0001,16,AdamW,,minmax,EXPLORATION_NEW25
"[720, 720, 720, 720]",12,4,1024,0.15,relu,prenorm,learned,max,False,0.00022,5e-06,24,Adam,,L2,EXPLORATION_NEW25
"[128, 160, 192, 224, 256]",8,5,1024,0.20,silu,prenorm,learned,mean,False,0.0003,0,56,Adam,,L2,EXPLORATION_NEW25
