model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,source_params
"[512, 768, 768]",16,3,1024,0.1,gelu,prenorm,learned,cls,True,3e-05,1e-06,48,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[640, 768]",8,2,1024,0.15,silu,prenorm,learned,cls,True,4e-05,5e-06,64,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[768, 768, 512]",16,3,1152,0.1,gelu,prenorm,learned,mean,False,2e-05,1e-06,48,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[512, 512, 512, 768]",8,4,1536,0.15,gelu,prenorm,learned,mean,False,2e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[768, 512]",8,2,1024,0.05,gelu,prenorm,learned,cls,True,2e-05,1e-05,32,AdamW,0.0,L2,transformer_results_v4_concat.csv
[128],4,1,256,0.25,relu,postnorm,sinusoidal,mean,False,2e-04,0.0,128,Adam,0.0,minmax,transformer_results_v4_concat.csv
"[192, 192]",3,2,384,0.3,hardswish,prenorm,learned,max,False,1e-04,1e-06,96,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[256, 384, 256]",8,3,768,0.15,mish,postnorm,sinusoidal,max,False,7e-05,1e-06,64,AdamW,0.0,minmax,transformer_results_v4_concat.csv
"[320, 320, 640]",5,3,640,0.1,elu,prenorm,learned,mean,False,8e-05,1e-06,64,RMSprop,0.0,L2,transformer_results_v4_concat.csv
[384],6,1,768,0.0,silu,prenorm,sinusoidal,cls,True,6e-05,0.0,80,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[384, 768]",12,2,1536,0.15,gelu,prenorm,learned,max,False,3e-05,1e-06,48,AdamW,0.0,minmax,transformer_results_v4_concat.csv
"[512, 1024]",16,2,2048,0.2,prelu,postnorm,learned,mean,False,2e-05,1e-05,32,Adam,0.0,L2,transformer_results_v4_concat.csv
[1024],32,1,2048,0.1,silu,prenorm,learned,max,False,2e-05,1e-06,24,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[640, 640, 640, 640]",8,4,1024,0.3,relu,postnorm,learned,mean,False,1e-04,5e-05,32,SGD,0.9,L2,transformer_results_v4_concat.csv
"[256, 256, 512, 512]",4,4,512,0.05,leakyrelu,prenorm,sinusoidal,mean,False,1e-04,1e-06,96,AdamW,0.0,minmax,transformer_results_v4_concat.csv
"[768, 384]",24,2,768,0.1,gelu,prenorm,learned,cls,True,2e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v4_concat.csv
[320],5,1,640,0.15,mish,postnorm,learned,mean,False,9e-05,1e-06,128,Adam,0.0,minmax,transformer_results_v4_concat.csv
"[896, 896]",32,2,1152,0.1,gelu,prenorm,sinusoidal,max,False,2e-05,1e-06,24,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[256, 512, 768, 1024]",8,4,1536,0.1,silu,prenorm,learned,mean,False,3e-05,1e-06,32,AdamW,0.0,L2,transformer_results_v4_concat.csv
"[512, 256]",2,2,512,0.25,elu,postnorm,sinusoidal,mean,False,7e-05,1e-06,64,Adam,0.0,minmax,transformer_results_v4_concat.csv
