model_dim,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm
# === Grupo 1: Consolidar Rendimiento (Basado en v1 y v2 exitosos) ===
# Preset 1: Arquitectura media-ancha, probando diferentes poolings
512,8,4,768,0.2,silu,prenorm,learned,max,False,0.0002,1e-05,32,AdamW,,L2
512,8,4,768,0.2,silu,prenorm,learned,mean,False,0.0002,1e-05,32,AdamW,,L2
512,8,4,768,0.2,silu,prenorm,learned,cls,True,0.0002,1e-05,32,AdamW,,L2
# Preset 2: Arquitectura más ligera, buen balance, probando activaciones
384,6,3,512,0.15,mish,prenorm,sinusoidal,max,False,0.0001,1e-06,64,AdamW,,minmax
384,6,3,512,0.15,silu,prenorm,sinusoidal,mean,False,0.0001,1e-06,64,AdamW,,minmax
# Preset 3: Arquitectura robusta de v2, con pooling 'mean'
640,8,3,768,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,48,AdamW,,L2

# === Grupo 2: Configuraciones Exploratorias ===
# Preset 4: Modelo más profundo (6 capas)
384,6,6,512,0.25,gelu,prenorm,learned,max,False,0.0002,1e-05,32,AdamW,,L2
# Preset 5: Modelo con FFN más ancho (4x model_dim)
256,8,4,1024,0.2,silu,prenorm,sinusoidal,mean,False,0.0002,1e-05,32,AdamW,,minmax
# Preset 6: Regularización más agresiva
512,8,4,768,0.35,mish,prenorm,learned,cls,True,0.0001,1e-05,32,AdamW,,L2
# Preset 7: Explorando SGD con momento alto
384,6,4,512,0.2,relu,prenorm,sinusoidal,max,False,0.0005,0.0001,64,SGD,0.9,minmax
# Preset 8: Modelo grande y profundo
768,12,5,1024,0.3,silu,prenorm,learned,max,False,0.0001,1e-05,16,AdamW,,L2

# === Grupo 3: Configuraciones con Dimensiones Mayores (Exploratorio) ===
# Preset 9: FFN Muy Ancho (4x model_dim)
512,8,4,2048,0.25,silu,prenorm,learned,mean,False,0.0001,1e-05,32,AdamW,,L2
# Preset 10: Modelo Muy Profundo (8 capas)
384,6,8,768,0.3,gelu,prenorm,sinusoidal,max,False,0.0001,1e-05,32,AdamW,,minmax
# Preset 11: Modelo Muy Grande (dim=1024) con alta regularización
1024,16,4,1024,0.3,silu,prenorm,learned,cls,True,0.0001,1e-05,16,AdamW,,L2
