video_ID,split,embedding,seed
v47_p7_diag,train,baseline_CASIAB.csv,42
v65_p14_diag,train,baseline_CASIAB.csv,42
v69_p4_diag,train,baseline_CASIAB.csv,42
v26_p14_diag,train,baseline_CASIAB.csv,42
v52_p2_diag,train,baseline_CASIAB.csv,42
v20_p15_diag,train,baseline_CASIAB.csv,42
v36_p3_diag,train,baseline_CASIAB.csv,42
v26_p13_diag,train,baseline_CASIAB.csv,42
v21_p22_diag,train,baseline_CASIAB.csv,42
v29_p2_diag,train,baseline_CASIAB.csv,42
v31_p10_diag,train,baseline_CASIAB.csv,42
v64_p9_diag,train,baseline_CASIAB.csv,42
v26_p6_diag,train,baseline_CASIAB.csv,42
v8_p2_diag,train,baseline_CASIAB.csv,42
v40_p3_diag,train,baseline_CASIAB.csv,42
v9_p7_diag,train,baseline_CASIAB.csv,42
v65_p3_diag,train,baseline_CASIAB.csv,42
v67_p9_diag,train,baseline_CASIAB.csv,42
v53_p3_diag,train,baseline_CASIAB.csv,42
v8_p25_diag,train,baseline_CASIAB.csv,42
v66_p14_diag,train,baseline_CASIAB.csv,42
v1_p3_diag,train,baseline_CASIAB.csv,42
v65_p43_diag,train,baseline_CASIAB.csv,42
v20_p3_diag,train,baseline_CASIAB.csv,42
v67_p7_diag,train,baseline_CASIAB.csv,42
v19_p4_diag,train,baseline_CASIAB.csv,42
v65_p23_diag,train,baseline_CASIAB.csv,42
v66_p11_diag,train,baseline_CASIAB.csv,42
v39_p9_diag,train,baseline_CASIAB.csv,42
v61_p1_diag,train,baseline_CASIAB.csv,42
v1_p13_diag,train,baseline_CASIAB.csv,42
v58_p12_diag,train,baseline_CASIAB.csv,42
v65_p41_diag,train,baseline_CASIAB.csv,42
v67_p12_diag,train,baseline_CASIAB.csv,42
v4_p4_diag,train,baseline_CASIAB.csv,42
v69_p8_diag,train,baseline_CASIAB.csv,42
v30_p24_diag,train,baseline_CASIAB.csv,42
v36_p9_diag,train,baseline_CASIAB.csv,42
v8_p4_diag,train,baseline_CASIAB.csv,42
v11_p9_diag,train,baseline_CASIAB.csv,42
v68_p7_diag,train,baseline_CASIAB.csv,42
v64_p10_diag,train,baseline_CASIAB.csv,42
v1_p6_diag,train,baseline_CASIAB.csv,42
v26_p18_diag,train,baseline_CASIAB.csv,42
v65_p28_diag,train,baseline_CASIAB.csv,42
v14_p7_diag,train,baseline_CASIAB.csv,42
v45_p6_diag,train,baseline_CASIAB.csv,42
v30_p4_diag,train,baseline_CASIAB.csv,42
v20_p21_diag,train,baseline_CASIAB.csv,42
v6_p7_diag,train,baseline_CASIAB.csv,42
v42_p2_diag,train,baseline_CASIAB.csv,42
v45_p7_diag,train,baseline_CASIAB.csv,42
v14_p9_diag,train,baseline_CASIAB.csv,42
v65_p24_diag,train,baseline_CASIAB.csv,42
v29_p3_diag,train,baseline_CASIAB.csv,42
v62_p10_diag,train,baseline_CASIAB.csv,42
v13_p3_diag,train,baseline_CASIAB.csv,42
v65_p45_diag,train,baseline_CASIAB.csv,42
v51_p2_diag,train,baseline_CASIAB.csv,42
v3_p1_diag,train,baseline_CASIAB.csv,42
v31_p12_diag,train,baseline_CASIAB.csv,42
v11_p1_diag,train,baseline_CASIAB.csv,42
v8_p24_diag,train,baseline_CASIAB.csv,42
v66_p2_diag,train,baseline_CASIAB.csv,42
v5_p8_diag,train,baseline_CASIAB.csv,42
v66_p3_diag,train,baseline_CASIAB.csv,42
v66_p8_diag,train,baseline_CASIAB.csv,42
v27_p6_diag,train,baseline_CASIAB.csv,42
v58_p10_diag,train,baseline_CASIAB.csv,42
v34_p6_diag,train,baseline_CASIAB.csv,42
v42_p3_diag,train,baseline_CASIAB.csv,42
v15_p2_diag,train,baseline_CASIAB.csv,42
v8_p26_diag,train,baseline_CASIAB.csv,42
v20_p6_diag,train,baseline_CASIAB.csv,42
v66_p31_diag,train,baseline_CASIAB.csv,42
v23_p9_diag,train,baseline_CASIAB.csv,42
v1_p8_diag,train,baseline_CASIAB.csv,42
v1_p10_diag,train,baseline_CASIAB.csv,42
v43_p2_diag,train,baseline_CASIAB.csv,42
v21_p20_diag,train,baseline_CASIAB.csv,42
v2_p6_diag,train,baseline_CASIAB.csv,42
v30_p1_diag,train,baseline_CASIAB.csv,42
v21_p24_diag,train,baseline_CASIAB.csv,42
v21_p25_diag,train,baseline_CASIAB.csv,42
v66_p9_diag,train,baseline_CASIAB.csv,42
v22_p2_diag,train,baseline_CASIAB.csv,42
v1_p12_diag,train,baseline_CASIAB.csv,42
v18_p2_diag,train,baseline_CASIAB.csv,42
v64_p4_diag,train,baseline_CASIAB.csv,42
v4_p9_diag,train,baseline_CASIAB.csv,42
v67_p10_diag,train,baseline_CASIAB.csv,42
v10_p4_diag,train,baseline_CASIAB.csv,42
v66_p15_diag,train,baseline_CASIAB.csv,42
v31_p3_diag,train,baseline_CASIAB.csv,42
v61_p5_diag,train,baseline_CASIAB.csv,42
v65_p5_diag,train,baseline_CASIAB.csv,42
v17_p5_diag,train,baseline_CASIAB.csv,42
v4_p3_diag,train,baseline_CASIAB.csv,42
v46_p1_diag,train,baseline_CASIAB.csv,42
v64_p6_diag,train,baseline_CASIAB.csv,42
v13_p7_diag,train,baseline_CASIAB.csv,42
v34_p5_diag,train,baseline_CASIAB.csv,42
v29_p7_diag,train,baseline_CASIAB.csv,42
v11_p7_diag,train,baseline_CASIAB.csv,42
v68_p1_diag,train,baseline_CASIAB.csv,42
v39_p3_diag,train,baseline_CASIAB.csv,42
v65_p25_diag,train,baseline_CASIAB.csv,42
v16_p1_diag,train,baseline_CASIAB.csv,42
v30_p6_diag,train,baseline_CASIAB.csv,42
v65_p36_diag,train,baseline_CASIAB.csv,42
v47_p9_diag,train,baseline_CASIAB.csv,42
v8_p21_diag,train,baseline_CASIAB.csv,42
v28_p7_diag,train,baseline_CASIAB.csv,42
v21_p21_diag,train,baseline_CASIAB.csv,42
v51_p6_diag,train,baseline_CASIAB.csv,42
v67_p19_diag,train,baseline_CASIAB.csv,42
v65_p26_diag,train,baseline_CASIAB.csv,42
v29_p4_diag,train,baseline_CASIAB.csv,42
v65_p33_diag,train,baseline_CASIAB.csv,42
v31_p4_diag,train,baseline_CASIAB.csv,42
v40_p1_diag,train,baseline_CASIAB.csv,42
v64_p2_diag,train,baseline_CASIAB.csv,42
v63_p8_diag,train,baseline_CASIAB.csv,42
v61_p4_diag,train,baseline_CASIAB.csv,42
v20_p14_diag,train,baseline_CASIAB.csv,42
v11_p6_diag,train,baseline_CASIAB.csv,42
v29_p6_diag,train,baseline_CASIAB.csv,42
v15_p4_diag,train,baseline_CASIAB.csv,42
v42_p1_diag,train,baseline_CASIAB.csv,42
v66_p1_diag,train,baseline_CASIAB.csv,42
v23_p3_diag,train,baseline_CASIAB.csv,42
v28_p9_diag,train,baseline_CASIAB.csv,42
v58_p8_diag,train,baseline_CASIAB.csv,42
v8_p13_diag,train,baseline_CASIAB.csv,42
v66_p35_diag,train,baseline_CASIAB.csv,42
v20_p17_diag,train,baseline_CASIAB.csv,42
v67_p5_diag,train,baseline_CASIAB.csv,42
v69_p6_diag,train,baseline_CASIAB.csv,42
v26_p3_diag,train,baseline_CASIAB.csv,42
v31_p8_diag,train,baseline_CASIAB.csv,42
v28_p8_diag,train,baseline_CASIAB.csv,42
v11_p5_diag,train,baseline_CASIAB.csv,42
v30_p19_diag,train,baseline_CASIAB.csv,42
v24_p8_diag,train,baseline_CASIAB.csv,42
v36_p5_diag,train,baseline_CASIAB.csv,42
v7_p1_diag,train,baseline_CASIAB.csv,42
v21_p18_diag,train,baseline_CASIAB.csv,42
v54_p10_diag,train,baseline_CASIAB.csv,42
v11_p8_diag,train,baseline_CASIAB.csv,42
v53_p1_diag,train,baseline_CASIAB.csv,42
v65_p12_diag,train,baseline_CASIAB.csv,42
v8_p19_diag,train,baseline_CASIAB.csv,42
v21_p23_diag,train,baseline_CASIAB.csv,42
v67_p17_diag,train,baseline_CASIAB.csv,42
v4_p10_diag,train,baseline_CASIAB.csv,42
v66_p32_diag,train,baseline_CASIAB.csv,42
v20_p19_diag,train,baseline_CASIAB.csv,42
v69_p3_diag,train,baseline_CASIAB.csv,42
v39_p4_diag,train,baseline_CASIAB.csv,42
v58_p11_diag,train,baseline_CASIAB.csv,42
v23_p2_diag,train,baseline_CASIAB.csv,42
v35_p1_diag,train,baseline_CASIAB.csv,42
v66_p45_diag,train,baseline_CASIAB.csv,42
v1_p1_diag,train,baseline_CASIAB.csv,42
v53_p11_diag,train,baseline_CASIAB.csv,42
v61_p6_diag,train,baseline_CASIAB.csv,42
v65_p20_diag,train,baseline_CASIAB.csv,42
v64_p7_diag,train,baseline_CASIAB.csv,42
v54_p1_diag,train,baseline_CASIAB.csv,42
v40_p5_diag,train,baseline_CASIAB.csv,42
v54_p5_diag,train,baseline_CASIAB.csv,42
v53_p5_diag,train,baseline_CASIAB.csv,42
v39_p8_diag,train,baseline_CASIAB.csv,42
v58_p4_diag,train,baseline_CASIAB.csv,42
v8_p1_diag,train,baseline_CASIAB.csv,42
v13_p2_diag,train,baseline_CASIAB.csv,42
v21_p15_diag,train,baseline_CASIAB.csv,42
v65_p6_diag,train,baseline_CASIAB.csv,42
v68_p11_diag,train,baseline_CASIAB.csv,42
v31_p5_diag,train,baseline_CASIAB.csv,42
v1_p4_diag,train,baseline_CASIAB.csv,42
v33_p1_diag,train,baseline_CASIAB.csv,42
v13_p4_diag,train,baseline_CASIAB.csv,42
v65_p7_diag,train,baseline_CASIAB.csv,42
v66_p29_diag,train,baseline_CASIAB.csv,42
v65_p38_diag,train,baseline_CASIAB.csv,42
v4_p8_diag,train,baseline_CASIAB.csv,42
v64_p8_diag,train,baseline_CASIAB.csv,42
v12_p3_diag,train,baseline_CASIAB.csv,42
v5_p9_diag,train,baseline_CASIAB.csv,42
v20_p1_diag,train,baseline_CASIAB.csv,42
v4_p7_diag,train,baseline_CASIAB.csv,42
v5_p1_diag,train,baseline_CASIAB.csv,42
v1_p7_diag,train,baseline_CASIAB.csv,42
v47_p4_diag,train,baseline_CASIAB.csv,42
v20_p9_diag,train,baseline_CASIAB.csv,42
v1_p2_diag,train,baseline_CASIAB.csv,42
v51_p1_diag,train,baseline_CASIAB.csv,42
v26_p8_diag,train,baseline_CASIAB.csv,42
v65_p4_diag,train,baseline_CASIAB.csv,42
v65_p10_diag,train,baseline_CASIAB.csv,42
v54_p9_diag,train,baseline_CASIAB.csv,42
v68_p9_diag,train,baseline_CASIAB.csv,42
v29_p8_diag,train,baseline_CASIAB.csv,42
v8_p11_diag,train,baseline_CASIAB.csv,42
v51_p7_diag,train,baseline_CASIAB.csv,42
v26_p10_diag,train,baseline_CASIAB.csv,42
v20_p11_diag,train,baseline_CASIAB.csv,42
v30_p20_diag,train,baseline_CASIAB.csv,42
