id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
1,20251130_180927,baseline_CASIAB.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.04003,3.77394,0.45455,0.33611,"[0.54167, 0.0, 0.46667]",0.52273,0.49048,"[0.5, 0.4, 0.57143]",250,0.44506,1.77676,365,COMPLETED,122.649
2,20251130_180927,baseline_OUMVLP.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.05264,2.60985,0.56818,0.51884,"[0.60465, 0.36364, 0.58824]",0.61364,0.63478,"[0.61111, 0.71429, 0.57895]",396,0.15179,1.90296,462,COMPLETED,163.604
3,20251130_180927,gaitgl.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,128,0.05827,3.69787,0.40909,0.29667,"[0.51163, 0.0, 0.37838]",0.40909,0.38889,"[0.5, 0.33333, 0.33333]",125,0.73153,1.28518,232,COMPLETED,85.83
4,20251130_180927,gaitgl_GREW.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.04734,3.21507,0.56818,0.41124,"[0.65306, 0.0, 0.58065]",0.56818,0.47671,"[0.68421, 0.18182, 0.5641]",203,0.15883,2.47801,244,COMPLETED,88.349
5,20251130_180927,gaitgl_GREW_BNNeck.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.04703,4.03823,0.38636,0.36679,"[0.44444, 0.33333, 0.32258]",0.5,0.4754,"[0.55319, 0.42857, 0.44444]",237,0.29796,2.5686,278,COMPLETED,101.803
6,20251130_180927,gaitgl_OUMVLP.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,1.00578,1.01382,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",175,1.00578,1.01382,175,STOPPED,62.517
7,20251130_180927,gaitpart_GREW.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.06211,3.02641,0.38636,0.35185,"[0.5, 0.22222, 0.33333]",0.61364,0.56645,"[0.66667, 0.44444, 0.58824]",642,0.18377,2.61105,741,COMPLETED,259.753
8,20251130_180927,gaitpart_OUMVLP.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,1.00634,1.01324,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",194,1.00634,1.01324,194,STOPPED,65.432
9,20251130_180927,gaitset.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.05567,3.88441,0.40909,0.31498,"[0.47826, 0.0, 0.46667]",0.52273,0.48718,"[0.6, 0.46154, 0.4]",276,0.19963,3.40878,284,COMPLETED,101.143
10,20251130_180927,gaitset_GREW.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.05087,3.06359,0.54545,0.50334,"[0.55814, 0.36364, 0.58824]",0.63636,0.63789,"[0.68085, 0.71429, 0.51852]",334,0.20762,1.85369,392,COMPLETED,138.664
11,20251130_180927,gaitset_OUMVLP.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,1.00623,1.01377,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",151,1.00623,1.01377,151,STOPPED,59.031
12,20251130_180927,gln_phase1.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.07075,5.43311,0.36364,0.27436,"[0.47826, 0.0, 0.34483]",0.5,0.42424,"[0.54545, 0.18182, 0.54545]",208,0.31759,2.56278,264,COMPLETED,111.737
13,20251130_180927,gln_phase2.csv,baseline_CASIAB.csv,Transformer,42,"[768, 640]",4,2,256,0.1,silu,postnorm,learned,mean,False,5e-05,1e-06,16,AdamW,0.0,L2,256,0.06175,4.04851,0.40909,0.35014,"[0.51163, 0.125, 0.41379]",0.5,0.43182,"[0.54545, 0.25, 0.5]",276,0.26737,2.67958,304,COMPLETED,127.826

