id,timestamp,target_embedding,source_params,model,seed,input_dim,model_dim,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec
170,20251106_212804,baseline_CASIAB.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,0.4298,0.56818,700,0.4772,0.50694,623,0.47349,STOPPED,146.68
171,20251106_212804,baseline_OUMVLP.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,0.58093,0.47727,733,0.34512,0.49327,713,0.41093,STOPPED,153.757
172,20251106_212804,gaitgl.csv,Preset_9,Transformer,42,128,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,0.06113,0.43182,499,0.37341,0.49926,386,0.47011,COMPLETED,141.734
173,20251106_212804,gaitgl_GREW.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,0.09534,0.52273,315,0.37179,0.56392,276,0.18615,COMPLETED,91.989
174,20251106_212804,gaitgl_GREW_BNNeck.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,0.02028,0.38636,493,0.36923,0.43374,471,0.32294,COMPLETED,144.671
175,20251106_212804,gaitgl_OUMVLP.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,1.00619,0.47727,108,0.21538,0.21538,108,1.00619,STOPPED,31.706
176,20251106_212804,gaitpart_GREW.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,1.00858,0.47727,264,0.21538,0.21538,264,1.00858,STOPPED,52.695
177,20251106_212804,gaitpart_OUMVLP.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,1.00805,0.47727,259,0.21538,0.21538,259,1.00805,STOPPED,51.979
178,20251106_212804,gaitset.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,0.36514,0.31818,548,0.24202,0.38422,376,0.43266,STOPPED,187.252
179,20251106_212804,gaitset_GREW.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,1.00807,0.47727,183,0.21538,0.21538,183,1.00807,STOPPED,63.644
180,20251106_212804,gaitset_OUMVLP.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,1.02593,0.47727,222,0.21538,0.21538,222,1.02593,STOPPED,77.207
181,20251106_212804,gln_phase1.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,1.01893,0.47727,111,0.21538,0.21538,111,1.01893,STOPPED,53.415
182,20251106_212804,gln_phase2.csv,Preset_9,Transformer,42,256,512,8,4,1024,0.15,hardswish,prenorm,learned,cls,True,0.0002,1e-05,48,AdamW,0.0,L2,0.07358,0.40909,726,0.35141,0.46506,632,0.23165,COMPLETED,348.995

183,20251108_113826,baseline_CASIAB.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.09951,0.61364,421,0.50978,0.56616,372,0.24472,COMPLETED,95.108
184,20251108_113826,baseline_OUMVLP.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.04524,0.47727,404,0.43948,0.51909,315,0.45145,COMPLETED,105.519
185,20251108_113826,gaitgl.csv,Preset_3,Transformer,42,128,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.06018,0.47727,140,0.39211,0.39421,123,0.35706,COMPLETED,61.069
186,20251108_113826,gaitgl_GREW.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.05548,0.27273,133,0.21872,0.33389,110,0.45172,COMPLETED,59.109
187,20251108_113826,gaitgl_GREW_BNNeck.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.09998,0.40909,349,0.33337,0.45906,324,0.22521,COMPLETED,154.629
188,20251108_113826,gaitgl_OUMVLP.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.09893,0.34091,414,0.31607,0.39145,243,0.49227,COMPLETED,183.69
189,20251108_113826,gaitpart_GREW.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.04919,0.43182,515,0.38475,0.52859,482,0.19213,COMPLETED,93.385
190,20251108_113826,gaitpart_OUMVLP.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,1.0218,0.47727,132,0.21538,0.21538,132,1.0218,STOPPED,23.947
191,20251108_113826,gaitset.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.05664,0.36364,290,0.36165,0.47981,273,0.28951,COMPLETED,126.6
192,20251108_113826,gaitset_GREW.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.06355,0.40909,365,0.35189,0.51481,262,0.33457,COMPLETED,160.067
193,20251108_113826,gaitset_OUMVLP.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,1.00996,0.47727,137,0.21538,0.21538,137,1.00996,STOPPED,59.969
194,20251108_113826,gln_phase1.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.05143,0.40909,371,0.37883,0.48526,314,0.21867,COMPLETED,240.122
195,20251108_113826,gln_phase2.csv,Preset_3,Transformer,42,256,768,12,2,512,0.1,mish,prenorm,sinusoidal,mean,False,0.0001,1e-06,32,AdamW,0.0,L2,0.05235,0.38636,269,0.35054,0.45582,177,0.43531,COMPLETED,173.945

196,20251108_113826,baseline_CASIAB.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,0.06874,0.5,607,0.36488,0.50152,544,0.35017,COMPLETED,158.157
197,20251108_113826,baseline_OUMVLP.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,1.00205,0.47727,150,0.21538,0.21538,150,1.00205,STOPPED,39.118
198,20251108_113826,gaitgl.csv,Preset_6,Transformer,42,128,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,0.07128,0.40909,372,0.3538,0.40171,346,0.18476,COMPLETED,174.109
199,20251108_113826,gaitgl_GREW.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,0.06001,0.5,454,0.35556,0.57298,369,0.43623,COMPLETED,216.66
200,20251108_113826,gaitgl_GREW_BNNeck.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,1.00284,0.47727,127,0.21538,0.21538,127,1.00284,STOPPED,60.766
201,20251108_113826,gaitgl_OUMVLP.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,1.00431,0.47727,158,0.21538,0.21538,158,1.00431,STOPPED,75.419
202,20251108_113826,gaitpart_GREW.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,1.00548,0.47727,187,0.21538,0.21538,187,1.00548,STOPPED,31.072
203,20251108_113826,gaitpart_OUMVLP.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,1.00423,0.47727,151,0.21538,0.21538,151,1.00423,STOPPED,25.064
204,20251108_113826,gaitset.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,0.04399,0.43182,524,0.36869,0.47939,449,0.20931,COMPLETED,245.41
205,20251108_113826,gaitset_GREW.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,0.07254,0.52273,772,0.48373,0.66937,666,0.37857,COMPLETED,359.931
206,20251108_113826,gaitset_OUMVLP.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,1.00723,0.47727,114,0.21538,0.21538,114,1.00723,STOPPED,53.441
207,20251108_113826,gln_phase1.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,0.05749,0.43182,582,0.31975,0.46116,572,0.30712,COMPLETED,419.789
208,20251108_113826,gln_phase2.csv,Preset_6,Transformer,42,256,640,8,3,512,0.1,mish,prenorm,learned,mean,False,0.0001,1e-06,64,Adam,0.0,L2,0.05477,0.43182,481,0.32655,0.42271,469,0.11456,COMPLETED,347.336

209,20251108_223934,baseline_CASIAB.csv,Preset_1,Transformer,42,256,640,8,3,768,0.1,mish,prenorm,learned,max,False,0.0001,1e-06,48,AdamW,0.0,L2,0.05463,0.45455,645,0.39145,0.47479,628,0.19232,COMPLETED,123.441
210,20251108_223934,baseline_OUMVLP.csv,Preset_1,Transformer,42,256,640,8,3,768,0.1,mish,prenorm,learned,max,False,0.0001,1e-06,48,AdamW,0.0,L2,1.0152,0.47727,224,0.21538,0.21538,224,1.0152,STOPPED,46.774
