id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251221_020302,baseline_31steps_concat.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13967,2.6565,0.43182,0.33016,"[0.47619, 0.0, 0.51429]",290,0.18447,2.81241,0.47727,0.46644,"[0.44444, 0.42857, 0.52632]",273,COMPLETED,60.911
2,20251221_020302,gaitgl_64steps_concat.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12621,1.52963,0.59091,0.43844,"[0.64865, 0.0, 0.66667]",41,0.19035,1.42847,0.63636,0.46465,"[0.72727, 0.0, 0.66667]",24,COMPLETED,11.826
3,20251221_020302,gaitpart_16steps_concat.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11368,2.41278,0.47727,0.42619,"[0.65, 0.2, 0.42857]",338,0.69759,1.20438,0.63636,0.57392,"[0.70588, 0.44444, 0.57143]",139,COMPLETED,65.928
4,20251221_020302,gaitset_62steps_concat.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11233,2.47824,0.45455,0.34396,"[0.56522, 0.0, 0.46667]",273,0.6839,1.47663,0.5,0.47997,"[0.58537, 0.45455, 0.4]",92,COMPLETED,74.69
5,20251221_020302,gln_93steps_concat.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13774,2.42471,0.40909,0.29513,"[0.52174, 0.0, 0.36364]",253,0.49513,1.74587,0.54545,0.4627,"[0.6087, 0.25, 0.52941]",129,COMPLETED,87.057

6,20251221_020302,baseline_31steps_concat.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12117,2.5357,0.45455,0.39076,"[0.47619, 0.18182, 0.51429]",767,0.6437,1.30265,0.54545,0.51195,"[0.61538, 0.375, 0.54545]",277,COMPLETED,106.913
7,20251221_020302,gaitgl_64steps_concat.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10336,2.72213,0.40909,0.27941,"[0.58824, 0.0, 0.25]",828,0.74505,1.22889,0.52273,0.43434,"[0.63636, 0.16667, 0.5]",225,COMPLETED,206.82
8,20251221_020302,gaitpart_16steps_concat.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10732,1.10567,0.15909,0.0915,"[0.0, 0.27451, 0.0]",122,1.10732,1.10567,0.15909,0.0915,"[0.0, 0.27451, 0.0]",122,STOPPED,15.224
9,20251221_020302,gaitset_62steps_concat.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.74328,1.79159,0.34091,0.28837,"[0.46512, 0.0, 0.4]",584,0.62939,1.70459,0.40909,0.39909,"[0.23077, 0.48, 0.48649]",485,STOPPED,135.712
10,20251221_020302,gln_93steps_concat.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.68019,2.53001,0.36364,0.31813,"[0.42105, 0.13333, 0.4]",738,0.55115,2.08374,0.45455,0.4269,"[0.42105, 0.33333, 0.52632]",464,STOPPED,242.892

11,20251221_020302,baseline_31steps_concat.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11907,2.52758,0.45455,0.33939,"[0.53333, 0.0, 0.48485]",237,0.32,3.11908,0.45455,0.41837,"[0.53659, 0.2, 0.51852]",182,COMPLETED,51.801
12,20251221_020302,gaitgl_64steps_concat.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11023,1.73814,0.5,0.42407,"[0.55556, 0.16667, 0.55]",84,0.26875,1.86823,0.52273,0.44162,"[0.57895, 0.18182, 0.5641]",57,COMPLETED,23.473
13,20251221_020302,gaitpart_16steps_concat.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11363,2.4198,0.52273,0.43945,"[0.61905, 0.15385, 0.54545]",453,0.48217,1.633,0.65909,0.59385,"[0.76, 0.46154, 0.56]",300,COMPLETED,93.67
14,20251221_020302,gaitset_62steps_concat.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.122,2.76107,0.43182,0.33761,"[0.51282, 0.0, 0.5]",238,0.5757,2.05625,0.45455,0.44953,"[0.5, 0.43478, 0.41379]",97,COMPLETED,66.76
15,20251221_020302,gln_93steps_concat.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13837,2.7571,0.43182,0.30561,"[0.36364, 0.0, 0.55319]",244,0.46645,1.60557,0.56818,0.51209,"[0.6, 0.30769, 0.62857]",104,COMPLETED,87.458

16,20251221_020302,baseline_31steps_concat.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12403,1.94595,0.40909,0.38054,"[0.34286, 0.21053, 0.58824]",152,0.13979,1.69478,0.5,0.45591,"[0.51282, 0.26667, 0.58824]",140,COMPLETED,45.179
17,20251221_020302,gaitgl_64steps_concat.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11149,1.12425,0.47727,0.34498,"[0.58333, 0.0, 0.45161]",29,0.18751,1.0573,0.5,0.47271,"[0.59459, 0.35294, 0.47059]",21,COMPLETED,10.253
18,20251221_020302,gaitpart_16steps_concat.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12593,1.47384,0.52273,0.44444,"[0.71111, 0.22222, 0.4]",269,0.29201,1.186,0.61364,0.56053,"[0.65, 0.4, 0.63158]",186,COMPLETED,76.239
19,20251221_020302,gaitset_62steps_concat.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12441,1.45531,0.5,0.3856,"[0.58537, 0.0, 0.57143]",183,0.18817,1.50404,0.5,0.4556,"[0.54054, 0.28571, 0.54054]",166,COMPLETED,62.961
20,20251221_020302,gln_93steps_concat.csv,Preset_4,Transformer,42,"[640, 480, 320]",8,3,960,0.15,mish,postnorm,sinusoidal,max,False,6e-05,1e-06,32,Adam,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13099,1.27572,0.5,0.41579,"[0.59574, 0.2, 0.45161]",140,0.12939,1.27724,0.56818,0.47487,"[0.63636, 0.2, 0.58824]",139,COMPLETED,56.129

21,20251221_020302,baseline_31steps_concat.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11712,2.73547,0.43182,0.37179,"[0.46154, 0.15385, 0.5]",439,0.21747,2.28742,0.54545,0.48803,"[0.61224, 0.33333, 0.51852]",337,COMPLETED,93.47
22,20251221_020302,gaitgl_64steps_concat.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1122,1.92656,0.45455,0.32381,"[0.57143, 0.0, 0.4]",130,0.1212,1.99844,0.59091,0.53535,"[0.60606, 0.36364, 0.63636]",118,COMPLETED,38.692
23,20251221_020302,gaitpart_16steps_concat.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11775,2.23088,0.5,0.37943,"[0.6383, 0.0, 0.5]",676,0.20378,1.79715,0.56818,0.50719,"[0.66667, 0.26667, 0.58824]",467,COMPLETED,134.786
24,20251221_020302,gaitset_62steps_concat.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12663,3.23766,0.31818,0.26578,"[0.41026, 0.0, 0.3871]",385,0.7298,1.50522,0.38636,0.38031,"[0.47059, 0.28571, 0.38462]",75,COMPLETED,110.42
25,20251221_020302,gln_93steps_concat.csv,Preset_5,Transformer,42,"[256, 384, 512, 640]",8,4,768,0.15,silu,postnorm,learned,mean,False,5e-05,1e-06,64,AdamW,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10645,2.52998,0.45455,0.37834,"[0.55319, 0.18182, 0.4]",497,0.74656,1.14105,0.54545,0.53166,"[0.57895, 0.47059, 0.54545]",79,COMPLETED,196.495

26,20251221_020302,baseline_31steps_concat.csv,Preset_6,Transformer,42,"[512, 512, 384]",8,3,768,0.1,mish,postnorm,sinusoidal,cls,True,2e-05,1e-06,32,Adam,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12528,2.7377,0.43182,0.32353,"[0.5, 0.0, 0.47059]",383,0.6296,1.8391,0.47727,0.40741,"[0.51282, 0.15385, 0.55556]",154,COMPLETED,110.471
27,20251221_020302,gaitgl_64steps_concat.csv,Preset_6,Transformer,42,"[512, 512, 384]",8,3,768,0.1,mish,postnorm,sinusoidal,cls,True,2e-05,1e-06,32,Adam,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12683,1.72826,0.52273,0.43056,"[0.625, 0.16667, 0.5]",66,0.13747,2.14906,0.52273,0.47179,"[0.51429, 0.28571, 0.61538]",51,COMPLETED,22.398
28,20251221_020302,gaitpart_16steps_concat.csv,Preset_6,Transformer,42,"[512, 512, 384]",8,3,768,0.1,mish,postnorm,sinusoidal,cls,True,2e-05,1e-06,32,Adam,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12785,1.90447,0.52273,0.4,"[0.66667, 0.0, 0.53333]",550,0.67387,0.99217,0.63636,0.62775,"[0.66667, 0.57143, 0.64516]",170,COMPLETED,151.542
29,20251221_020302,gaitset_62steps_concat.csv,Preset_6,Transformer,42,"[512, 512, 384]",8,3,768,0.1,mish,postnorm,sinusoidal,cls,True,2e-05,1e-06,32,Adam,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1217,1.94865,0.54545,0.40631,"[0.6383, 0.0, 0.58065]",380,0.2031,2.71475,0.52273,0.50381,"[0.45161, 0.44444, 0.61538]",318,COMPLETED,140.093
30,20251221_020302,gln_93steps_concat.csv,Preset_6,Transformer,42,"[512, 512, 384]",8,3,768,0.1,mish,postnorm,sinusoidal,cls,True,2e-05,1e-06,32,Adam,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13738,2.07679,0.5,0.3633,"[0.6383, 0.0, 0.45161]",423,0.30014,1.87471,0.54545,0.45745,"[0.65, 0.18182, 0.54054]",211,COMPLETED,184.735

31,20251221_020302,baseline_31steps_concat.csv,Preset_7,Transformer,42,"[512, 768, 1024, 768]",32,4,1536,0.1,gelu,prenorm,learned,mean,False,0.0003,1e-05,32,SGD,0.9,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.56056,1.57266,0.40909,0.38221,"[0.42857, 0.23529, 0.48276]",1995,0.59919,1.61439,0.5,0.48779,"[0.52381, 0.42105, 0.51852]",1984,STOPPED,980.635
32,20251221_020302,gaitgl_64steps_concat.csv,Preset_7,Transformer,42,"[512, 768, 1024, 768]",32,4,1536,0.1,gelu,prenorm,learned,mean,False,0.0003,1e-05,32,SGD,0.9,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13889,1.91213,0.47727,0.3945,"[0.63636, 0.13333, 0.41379]",938,0.21681,1.66418,0.52273,0.44518,"[0.62857, 0.14286, 0.5641]",634,COMPLETED,763.569
33,20251221_020302,gaitpart_16steps_concat.csv,Preset_7,Transformer,42,"[512, 768, 1024, 768]",32,4,1536,0.1,gelu,prenorm,learned,mean,False,0.0003,1e-05,32,SGD,0.9,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.77625,1.16377,0.52273,0.47098,"[0.51429, 0.25, 0.64865]",1921,0.74222,1.12201,0.59091,0.52799,"[0.63158, 0.26667, 0.68571]",1856,STOPPED,793.5
34,20251221_020302,gaitset_62steps_concat.csv,Preset_7,Transformer,42,"[512, 768, 1024, 768]",32,4,1536,0.1,gelu,prenorm,learned,mean,False,0.0003,1e-05,32,SGD,0.9,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.46542,2.02148,0.38636,0.31476,"[0.47368, 0.0, 0.47059]",2736,0.73058,1.41086,0.45455,0.43438,"[0.51613, 0.27273, 0.51429]",1544,STOPPED,2122.516
35,20251221_020302,gln_93steps_concat.csv,Preset_7,Transformer,42,"[512, 768, 1024, 768]",32,4,1536,0.1,gelu,prenorm,learned,mean,False,0.0003,1e-05,32,SGD,0.9,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.68498,1.13728,0.52273,0.44314,"[0.57778, 0.22222, 0.52941]",1834,0.63203,1.13899,0.56818,0.56213,"[0.58537, 0.54545, 0.55556]",1734,STOPPED,2254.074

36,20251221_020302,baseline_31steps_concat.csv,Preset_8,Transformer,42,"[512, 512, 512]",8,3,1152,0.0,silu,prenorm,learned,cls,True,0.0005,1e-06,40,Adam,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1271,2.46389,0.45455,0.39056,"[0.48889, 0.16667, 0.51613]",204,0.25723,2.55561,0.47727,0.45651,"[0.47368, 0.33333, 0.5625]",88,COMPLETED,50.462
37,20251221_020302,gaitgl_64steps_concat.csv,Preset_8,Transformer,42,"[512, 512, 512]",8,3,1152,0.0,silu,prenorm,learned,cls,True,0.0005,1e-06,40,Adam,0.0,nan,768,64,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13332,2.85364,0.36364,0.34141,"[0.42424, 0.2, 0.4]",40,0.19665,2.14595,0.47727,0.43424,"[0.53659, 0.25, 0.51613]",25,COMPLETED,14.119
38,20251221_020302,gaitpart_16steps_concat.csv,Preset_8,Transformer,42,"[512, 512, 512]",8,3,1152,0.0,silu,prenorm,learned,cls,True,0.0005,1e-06,40,Adam,0.0,nan,512,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10986,2.23517,0.47727,0.46334,"[0.52632, 0.38095, 0.48276]",376,0.63015,1.12745,0.61364,0.60923,"[0.61111, 0.57143, 0.64516]",87,COMPLETED,85.977
39,20251221_020302,gaitset_62steps_concat.csv,Preset_8,Transformer,42,"[512, 512, 512]",8,3,1152,0.0,silu,prenorm,learned,cls,True,0.0005,1e-06,40,Adam,0.0,nan,768,62,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10219,2.63319,0.43182,0.3837,"[0.57778, 0.33333, 0.24]",263,0.13891,2.17665,0.54545,0.46032,"[0.66667, 0.14286, 0.57143]",206,COMPLETED,88.826
40,20251221_020302,gln_93steps_concat.csv,Preset_8,Transformer,42,"[512, 512, 512]",8,3,1152,0.0,silu,prenorm,learned,cls,True,0.0005,1e-06,40,Adam,0.0,nan,512,93,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13703,2.32319,0.47727,0.43651,"[0.52381, 0.28571, 0.5]",100,0.13195,2.28401,0.5,0.45899,"[0.52381, 0.30769, 0.54545]",97,COMPLETED,42.209

41,20251221_020302,baseline_31steps_concat.csv,Preset_9,Transformer,42,"[256, 512]",8,2,512,0.0,silu,prenorm,sinusoidal,mean,False,2e-05,1e-06,64,AdamW,0.0,nan,512,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12519,2.37773,0.45455,0.34673,"[0.59574, 0.0, 0.44444]",421,0.14779,2.64535,0.47727,0.44064,"[0.47368, 0.30769, 0.54054]",326,COMPLETED,56.816
