id,timestamp,target_embedding,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251224_220532,GREW_concat.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13049,2.06045,0.43182,0.37033,"[0.5, 0.15385, 0.45714]",77,0.19981,2.40487,0.5,0.48718,"[0.53333, 0.46154, 0.46667]",50,COMPLETED,17.356
2,20251224_220532,GREW_mean.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12492,1.87611,0.54545,0.46667,"[0.55, 0.25, 0.6]",130,0.18951,1.58462,0.52273,0.48841,"[0.56522, 0.4, 0.5]",83,COMPLETED,25.289
3,20251224_220532,OUMVLP_concat.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12785,2.58741,0.47727,0.40855,"[0.51282, 0.2, 0.51282]",226,0.6438,1.63529,0.45455,0.44414,"[0.43243, 0.4, 0.5]",86,COMPLETED,46.354
4,20251224_220532,OUMVLP_mean.csv,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13219,2.26881,0.5,0.42045,"[0.63636, 0.125, 0.5]",624,0.45961,1.55845,0.52273,0.50616,"[0.5641, 0.42105, 0.53333]",315,COMPLETED,117.083
5,20251224_220532,GREW_concat.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1486,2.64399,0.43182,0.31487,"[0.56, 0.0, 0.38462]",735,0.41822,2.03154,0.43182,0.41737,"[0.52632, 0.38095, 0.34483]",463,COMPLETED,100.064
6,20251224_220532,GREW_mean.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14959,3.0574,0.36364,0.27791,"[0.48889, 0.0, 0.34483]",756,0.60293,2.36234,0.40909,0.4113,"[0.48276, 0.42857, 0.32258]",311,COMPLETED,96.209
7,20251224_220532,OUMVLP_concat.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,1024,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.11321,1.12706,0.15909,0.0915,"[0.0, 0.27451, 0.0]",194,1.11321,1.12706,0.15909,0.0915,"[0.0, 0.27451, 0.0]",194,STOPPED,30.232
8,20251224_220532,OUMVLP_mean.csv,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10704,1.09315,0.47727,0.21538,"[0.64615, 0.0, 0.0]",296,1.10704,1.09315,0.47727,0.21538,"[0.64615, 0.0, 0.0]",296,STOPPED,36.118
9,20251224_220532,GREW_concat.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,768,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10508,1.9937,0.5,0.41417,"[0.65116, 0.15385, 0.4375]",106,0.17943,1.93676,0.54545,0.44982,"[0.66667, 0.16667, 0.51613]",95,COMPLETED,22.673
10,20251224_220532,GREW_mean.csv,Preset_3,Transformer,42,"[320, 480, 640]",8,3,960,0.15,gelu,prenorm,learned,mean,False,7e-05,1e-06,48,AdamW,0.0,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11759,3.00256,0.27273,0.17409,"[0.43137, 0.0, 0.09091]",188,0.13442,2.46581,0.47727,0.43557,"[0.57143, 0.23529, 0.5]",179,COMPLETED,39.086
