id,timestamp,target_embedding,top_variant,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260112_025313,baseline_CASIAB_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,22,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14086,2.89196,0.36364,0.27638,"[0.47619, 0.0, 0.35294]",307,0.3168,2.88899,0.43182,0.37083,"[0.55, 0.125, 0.4375]",209,COMPLETED,123.299
2,20260112_025313,baseline_OUMVLP_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,22,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10684,2.53467,0.45455,0.38889,"[0.52381, 0.14286, 0.5]",368,0.66554,1.39499,0.59091,0.57666,"[0.63415, 0.53333, 0.5625]",155,COMPLETED,148.377
3,20260112_025313,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10609,1.08707,0.47727,0.21538,"[0.64615, 0.0, 0.0]",283,1.10609,1.08707,0.47727,0.21538,"[0.64615, 0.0, 0.0]",283,STOPPED,134.683
4,20260112_025313,gaitgl_GREW_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12019,2.0959,0.40909,0.28898,"[0.5098, 0.0, 0.35714]",31,0.1455,2.21184,0.45455,0.39123,"[0.47368, 0.2, 0.5]",25,COMPLETED,14.842
5,20260112_025313,gaitgl_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,128,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11293,1.82896,0.40909,0.30675,"[0.4878, 0.0, 0.43243]",35,0.29996,1.54194,0.5,0.46327,"[0.58824, 0.44444, 0.35714]",21,COMPLETED,16.437
6,20260112_025313,gaitgl_OUMVLP_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12643,2.01486,0.52273,0.36768,"[0.64151, 0.0, 0.46154]",101,0.12866,1.75414,0.54545,0.40489,"[0.65217, 0.0, 0.5625]",99,COMPLETED,48.127
7,20260112_025313,gaitpart_GREW_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,12,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12108,2.76764,0.45455,0.41692,"[0.48649, 0.25, 0.51429]",695,0.13384,2.2084,0.54545,0.48084,"[0.6383, 0.28571, 0.51852]",692,COMPLETED,266.722
8,20260112_025313,gaitpart_OUMVLP_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,12,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11419,2.62386,0.47727,0.42407,"[0.57778, 0.25, 0.44444]",622,0.14453,1.46939,0.68182,0.60997,"[0.74419, 0.4, 0.68571]",598,COMPLETED,239.232
9,20260112_025313,gaitset_GREW_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10798,1.11184,0.15909,0.0915,"[0.0, 0.27451, 0.0]",163,1.10798,1.11184,0.15909,0.0915,"[0.0, 0.27451, 0.0]",163,STOPPED,79.776
10,20260112_025313,gaitset_LOW70.csv,70%,Preset_8,Transformer,42,"[512, 640, 768, 640]",16,4,1280,0.1,silu,postnorm,sinusoidal,cls,True,5e-05,1e-06,32,Adam,,nan,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11554,2.6866,0.38636,0.28148,"[0.57778, 0.0, 0.26667]",306,0.74384,1.2386,0.59091,0.52875,"[0.65, 0.30769, 0.62857]",161,COMPLETED,150.03
