id,timestamp,target_embedding,top_variant,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
430,20251228_200950,baseline_CASIAB_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,10,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13345,1.99117,0.54545,0.48611,"[0.625, 0.33333, 0.5]",771,0.13825,2.08624,0.56818,0.52139,"[0.65306, 0.44444, 0.46667]",569,COMPLETED,147.287
431,20251228_200950,baseline_OUMVLP_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,10,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13587,2.43926,0.5,0.41852,"[0.62222, 0.13333, 0.5]",600,0.19385,1.92441,0.61364,0.57222,"[0.65, 0.4, 0.66667]",460,COMPLETED,103.364
434,20251228_200950,gaitgl_GREW_BNNeck_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,20,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14959,2.51293,0.47727,0.42554,"[0.59091, 0.28571, 0.4]",704,0.14674,2.13083,0.54545,0.42778,"[0.66667, 0.2, 0.41667]",664,COMPLETED,126.908
433,20251228_200950,gaitgl_GREW_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,20,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13547,1.67064,0.47727,0.43381,"[0.55, 0.23529, 0.51613]",28,0.21946,1.60557,0.59091,0.49239,"[0.65217, 0.2, 0.625]",16,COMPLETED,5.017
435,20251228_200950,gaitgl_OUMVLP_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,20,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14395,1.89611,0.56818,0.47001,"[0.64151, 0.25, 0.51852]",141,0.14395,1.89611,0.56818,0.47001,"[0.64151, 0.25, 0.51852]",141,COMPLETED,25.597
432,20251228_200950,gaitgl_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,128,20,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14584,1.63941,0.59091,0.42735,"[0.61538, 0.0, 0.66667]",45,0.17946,1.8494,0.5,0.46804,"[0.64865, 0.27273, 0.48276]",32,COMPLETED,7.844
436,20251228_200950,gaitpart_GREW_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,5,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.27704,2.57255,0.45455,0.44444,"[0.42424, 0.36364, 0.54545]",912,0.37632,1.75125,0.54545,0.5,"[0.59091, 0.36364, 0.54545]",697,STOPPED,159.353
437,20251228_200950,gaitpart_OUMVLP_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,5,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13715,1.88762,0.56818,0.47774,"[0.60465, 0.2, 0.62857]",1055,0.15303,1.57935,0.68182,0.6492,"[0.71795, 0.54545, 0.68421]",960,STOPPED,184.242
439,20251228_200950,gaitset_GREW_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,19,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12921,2.59596,0.40909,0.2656,"[0.56604, 0.0, 0.23077]",506,0.18863,2.74626,0.5,0.43894,"[0.63636, 0.26667, 0.41379]",374,COMPLETED,90.937
440,20251228_200950,gaitset_OUMVLP_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,19,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14214,3.42668,0.34091,0.31366,"[0.26667, 0.23529, 0.43902]",603,0.19187,2.48983,0.52273,0.43809,"[0.6087, 0.15385, 0.55172]",449,COMPLETED,108.893
438,20251228_200950,gaitset_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,19,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14346,1.9872,0.54545,0.48777,"[0.63415, 0.26667, 0.5625]",528,0.22916,2.41565,0.5,0.48884,"[0.5, 0.42105, 0.54545]",374,COMPLETED,94.864
441,20251228_200950,gln_phase1_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,28,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13231,2.84173,0.40909,0.33256,"[0.51282, 0.0, 0.48485]",338,0.15885,2.35215,0.52273,0.44635,"[0.59459, 0.13333, 0.61111]",296,COMPLETED,62.719
442,20251228_200950,gln_phase2_TOP30.csv,30%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,,256,28,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12728,2.47273,0.40909,0.29952,"[0.33333, 0.0, 0.56522]",413,0.61774,1.35926,0.52273,0.49972,"[0.47059, 0.42857, 0.6]",126,COMPLETED,76.165
391,20251228_200950,baseline_CASIAB_TOP30.csv,30%,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,10,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14018,3.25896,0.29545,0.23175,"[0.42857, 0.0, 0.26667]",1064,0.3102,1.88192,0.47727,0.40794,"[0.52381, 0.2, 0.5]",743,COMPLETED,112.871
392,20251228_200950,baseline_OUMVLP_TOP30.csv,30%,Preset_2,Transformer,42,"[256, 384, 512]",16,3,768,0.1,gelu,prenorm,learned,cls,True,0.0001,1e-06,80,AdamW,0.0,L2,256,10,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14987,2.20729,0.43182,0.43095,"[0.46512, 0.47059, 0.35714]",1501,0.67364,1.09263,0.59091,0.597,"[0.58537, 0.625, 0.58065]",557,COMPLETED,169.095
