id,timestamp,target_embedding,top_variant,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260102_122024,baseline_CASIAB_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,22,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11895,2.75585,0.40909,0.31612,"[0.53659, 0.0, 0.41176]",571,0.64828,1.7531,0.43182,0.39826,"[0.3871, 0.30769, 0.5]",189,COMPLETED,103.394
2,20260102_122024,baseline_OUMVLP_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,22,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1212,2.14811,0.52273,0.45,"[0.6, 0.125, 0.625]",521,0.43871,1.85383,0.61364,0.59646,"[0.65, 0.53333, 0.60606]",424,COMPLETED,91.883
3,20260102_122024,gaitgl_GREW_BNNeck_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13647,3.3742,0.38636,0.3742,"[0.42424, 0.26087, 0.4375]",664,0.32006,2.17221,0.45455,0.42307,"[0.51163, 0.33333, 0.42424]",407,COMPLETED,131.342
4,20260102_122024,gaitgl_GREW_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1251,1.65398,0.47727,0.40133,"[0.61905, 0.13333, 0.45161]",27,0.1251,1.65398,0.47727,0.40133,"[0.61905, 0.13333, 0.45161]",27,COMPLETED,5.766
5,20260102_122024,gaitgl_OUMVLP_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12052,2.39903,0.5,0.37113,"[0.63158, 0.18182, 0.3]",139,0.7089,1.26201,0.56818,0.42062,"[0.57895, 0.0, 0.68293]",33,COMPLETED,28.167
6,20260102_122024,gaitgl_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,128,45,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12495,1.97841,0.45455,0.41746,"[0.5, 0.28571, 0.46667]",43,0.59969,1.43393,0.52273,0.49528,"[0.59574, 0.46154, 0.42857]",15,COMPLETED,8.418
7,20260102_122024,gaitpart_GREW_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,12,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11986,2.78913,0.43182,0.4018,"[0.46154, 0.21053, 0.53333]",782,0.58569,1.45435,0.59091,0.5268,"[0.66667, 0.26667, 0.64706]",267,COMPLETED,137.738
8,20260102_122024,gaitpart_OUMVLP_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,12,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.20738,2.4199,0.45455,0.41877,"[0.47059, 0.28571, 0.5]",844,0.74095,1.10276,0.61364,0.59749,"[0.63415, 0.53333, 0.625]",200,STOPPED,148.658
9,20260102_122024,gaitset_GREW_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12139,3.0263,0.36364,0.2735,"[0.41026, 0.0, 0.41026]",500,0.42855,2.22317,0.52273,0.49637,"[0.57778, 0.42857, 0.48276]",284,COMPLETED,99.662
10,20260102_122024,gaitset_OUMVLP_TOP70.csv,70%,Preset_1,Transformer,42,"[512, 512, 512]",8,3,1024,0.1,mish,prenorm,learned,cls,True,7e-05,5e-06,48,AdamW,0.0,nan,256,44,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11624,2.77926,0.40909,0.29485,"[0.6087, 0.0, 0.27586]",677,0.58353,3.21905,0.38636,0.37935,"[0.45714, 0.2963, 0.38462]",342,COMPLETED,136.203
