id,timestamp,target_embedding,top_variant,source_params,model,seed,model_dims,num_heads,num_layers,dim_feedforward,dropout,activation,norm_type,pos_encoding,pooling,use_cls_token,lr,weight_decay,batch_size,optimizer,momentum_sgd,norm,input_dim,max_seq_len,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260112_025313,baseline_CASIAB_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12749,3.29557,0.36364,0.36121,"[0.36364, 0.32, 0.4]",597,0.70504,1.48746,0.47727,0.40233,"[0.59091, 0.13333, 0.48276]",222,COMPLETED,180.261
2,20260112_025313,baseline_OUMVLP_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,16,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13898,2.08231,0.47727,0.46618,"[0.51282, 0.42857, 0.45714]",494,0.4268,1.82503,0.63636,0.58748,"[0.71698, 0.54545, 0.5]",392,COMPLETED,145.657
3,20260112_025313,gaitgl_GREW_BNNeck_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14594,2.15165,0.43182,0.36977,"[0.5, 0.22222, 0.3871]",740,0.21459,2.05922,0.47727,0.48148,"[0.44444, 0.5, 0.5]",638,COMPLETED,233.002
4,20260112_025313,gaitgl_GREW_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10651,1.19409,0.47727,0.40996,"[0.4878, 0.15385, 0.58824]",21,0.27879,1.07037,0.56818,0.51806,"[0.54054, 0.36364, 0.65]",12,COMPLETED,6.577
5,20260112_025313,gaitgl_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,128,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11584,1.98767,0.36364,0.27009,"[0.41026, 0.0, 0.4]",34,0.52772,1.21421,0.47727,0.44444,"[0.5, 0.33333, 0.5]",11,COMPLETED,10.406
6,20260112_025313,gaitgl_OUMVLP_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,32,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12788,1.96749,0.38636,0.33757,"[0.4878, 0.11111, 0.41379]",102,0.43274,1.34555,0.47727,0.40643,"[0.57895, 0.15385, 0.48649]",50,COMPLETED,31.608
7,20260112_025313,gaitpart_GREW_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,8,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14155,1.68474,0.63636,0.53027,"[0.72727, 0.15385, 0.70968]",842,0.17256,1.97629,0.61364,0.54971,"[0.68421, 0.33333, 0.63158]",694,COMPLETED,249.272
8,20260112_025313,gaitpart_OUMVLP_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,8,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13236,2.7714,0.38636,0.28061,"[0.48889, 0.0, 0.35294]",743,0.15173,2.48728,0.5,0.42886,"[0.54054, 0.22222, 0.52381]",697,COMPLETED,218.847
9,20260112_025313,gaitset_GREW_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14475,1.89909,0.47727,0.35106,"[0.55319, 0.0, 0.5]",578,0.69075,1.33103,0.47727,0.45152,"[0.45161, 0.35294, 0.55]",255,COMPLETED,183.514
10,20260112_025313,gaitset_LOW50.csv,50%,Preset_14,Transformer,42,"[768, 768, 512]",16,3,1152,0.15,silu,postnorm,learned,max,False,5e-05,1e-05,32,AdamW,,nan,256,31,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14207,2.79701,0.27273,0.24728,"[0.27778, 0.11111, 0.35294]",560,0.26407,2.50368,0.38636,0.38103,"[0.37838, 0.35294, 0.41176]",445,COMPLETED,177.164
