id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
14,baseline_CASIAB.csv,0.39312,0.50318,0.11006,0.500 / 0.222 / 0.457,0.596 / 0.500 / 0.414,0.096 / 0.278 / -0.043
15,baseline_OUMVLP.csv,0.49161,0.57778,0.08617,0.605 / 0.308 / 0.562,0.615 / 0.400 / 0.718,0.011 / 0.092 / 0.155
16,gaitgl.csv,0.44147,0.39916,-0.04231,0.571 / 0.190 / 0.562,0.474 / 0.267 / 0.457,-0.098 / 0.076 / -0.105
17,gaitgl_GREW.csv,0.4299,0.47898,0.04908,0.571 / 0.267 / 0.452,0.558 / 0.333 / 0.545,-0.013 / 0.067 / 0.094
18,gaitgl_GREW_BNNeck.csv,0.51736,0.59153,0.07417,0.638 / 0.500 / 0.414,0.619 / 0.600 / 0.556,-0.019 / 0.100 / 0.142
19,gaitgl_OUMVLP.csv,0.32883,0.4091,0.08027,0.500 / 0.000 / 0.486,0.522 / 0.154 / 0.552,0.022 / 0.154 / 0.065
20,gaitpart_GREW.csv,0.54051,0.50146,-0.03905,0.680 / 0.462 / 0.480,0.667 / 0.421 / 0.417,-0.013 / -0.040 / -0.063
21,gaitpart_OUMVLP.csv,0.55556,0.52719,-0.02837,0.636 / 0.364 / 0.667,0.550 / 0.400 / 0.632,-0.086 / 0.036 / -0.035
22,gaitset.csv,0.47436,0.49413,0.01977,0.537 / 0.400 / 0.486,0.514 / 0.435 / 0.533,-0.022 / 0.035 / 0.047
23,gaitset_GREW.csv,0.4292,0.47428,0.04508,0.702 / 0.222 / 0.364,0.605 / 0.333 / 0.485,-0.097 / 0.111 / 0.121
24,gaitset_OUMVLP.csv,0.4245,0.55202,0.12752,0.556 / 0.154 / 0.564,0.650 / 0.400 / 0.606,0.094 / 0.246 / 0.042
25,gln_phase1.csv,0.72339,0.69641,-0.02698,0.750 / 0.714 / 0.706,0.737 / 0.667 / 0.686,-0.013 / -0.048 / -0.020
26,gln_phase2.csv,0.49063,0.58017,0.08954,0.627 / 0.400 / 0.444,0.622 / 0.667 / 0.452,-0.005 / 0.267 / 0.007
27,baseline_CASIAB.csv,0.40909,0.54949,0.1404,0.500 / 0.364 / 0.364,0.615 / 0.471 / 0.562,0.115 / 0.107 / 0.199
28,baseline_OUMVLP.csv,0.50386,0.48608,-0.01778,0.652 / 0.308 / 0.552,0.500 / 0.364 / 0.595,-0.152 / 0.056 / 0.043
29,gaitgl.csv,0.40006,0.48717,0.08711,0.462 / 0.375 / 0.364,0.591 / 0.400 / 0.471,0.129 / 0.025 / 0.107
30,gaitgl_GREW.csv,0.51444,0.49664,-0.0178,0.595 / 0.333 / 0.615,0.619 / 0.222 / 0.649,0.024 / -0.111 / 0.033
31,gaitgl_GREW_BNNeck.csv,0.53095,0.57766,0.04671,0.550 / 0.400 / 0.643,0.700 / 0.462 / 0.571,0.150 / 0.062 / -0.071
32,gaitgl_OUMVLP.csv,0.39738,0.5202,0.12282,0.541 / 0.200 / 0.452,0.591 / 0.364 / 0.606,0.050 / 0.164 / 0.154
33,gaitpart_GREW.csv,0.48576,0.54058,0.05482,0.596 / 0.400 / 0.462,0.651 / 0.471 / 0.500,0.055 / 0.071 / 0.038
34,gaitpart_OUMVLP.csv,0.50702,0.50803,0.00101,0.452 / 0.444 / 0.625,0.541 / 0.421 / 0.562,0.089 / -0.023 / -0.062
35,gaitset.csv,0.51245,0.44444,-0.06801,0.605 / 0.308 / 0.625,0.500 / 0.333 / 0.500,-0.105 / 0.026 / -0.125
36,gaitset_GREW.csv,0.47865,0.45071,-0.02794,0.630 / 0.545 / 0.261,0.553 / 0.429 / 0.370,-0.076 / -0.117 / 0.109
37,gaitset_OUMVLP.csv,0.45316,0.48675,0.03359,0.556 / 0.333 / 0.471,0.429 / 0.385 / 0.647,-0.127 / 0.051 / 0.176
38,gln_phase1.csv,0.60616,0.62246,0.0163,0.600 / 0.571 / 0.647,0.667 / 0.556 / 0.645,0.067 / -0.016 / -0.002
39,gln_phase2.csv,0.45023,0.53606,0.08583,0.564 / 0.250 / 0.537,0.634 / 0.429 / 0.545,0.070 / 0.179 / 0.009
40,baseline_CASIAB.csv,0.43651,0.49376,0.05725,0.524 / 0.286 / 0.500,0.585 / 0.308 / 0.588,0.062 / 0.022 / 0.088
41,baseline_OUMVLP.csv,0.54899,0.5798,0.03081,0.667 / 0.429 / 0.552,0.600 / 0.533 / 0.606,-0.067 / 0.105 / 0.054
42,gaitgl.csv,0.49785,0.49333,-0.00452,0.605 / 0.222 / 0.667,0.667 / 0.333 / 0.480,0.062 / 0.111 / -0.187
43,gaitgl_GREW.csv,0.54575,0.57071,0.02496,0.711 / 0.364 / 0.562,0.667 / 0.500 / 0.545,-0.044 / 0.136 / -0.017
44,gaitgl_GREW_BNNeck.csv,0.21538,0.53361,0.31823,0.646 / 0.000 / 0.000,0.571 / 0.500 / 0.529,-0.075 / 0.500 / 0.529
45,gaitgl_OUMVLP.csv,0.56053,0.50936,-0.05117,0.650 / 0.400 / 0.632,0.681 / 0.222 / 0.625,0.031 / -0.178 / -0.007
46,gaitpart_GREW.csv,0.65625,0.4866,-0.16965,0.773 / 0.615 / 0.581,0.541 / 0.348 / 0.571,-0.232 / -0.268 / -0.009
47,gaitpart_OUMVLP.csv,0.21538,0.6343,0.41892,0.646 / 0.000 / 0.000,0.773 / 0.444 / 0.686,0.127 / 0.444 / 0.686
48,gaitset.csv,0.42564,0.3631,-0.06254,0.615 / 0.200 / 0.462,0.571 / 0.143 / 0.375,-0.044 / -0.057 / -0.087
49,gaitset_GREW.csv,0.42174,0.50999,0.08825,0.565 / 0.200 / 0.500,0.632 / 0.353 / 0.545,0.066 / 0.153 / 0.045
50,gaitset_OUMVLP.csv,0.21538,0.45617,0.24079,0.646 / 0.000 / 0.000,0.357 / 0.375 / 0.636,-0.289 / 0.375 / 0.636
51,gln_phase1.csv,0.21538,0.37729,0.16191,0.646 / 0.000 / 0.000,0.513 / 0.190 / 0.429,-0.133 / 0.190 / 0.429
52,gln_phase2.csv,0.21538,0.53021,0.31483,0.646 / 0.000 / 0.000,0.596 / 0.533 / 0.462,-0.050 / 0.533 / 0.462
53,baseline_CASIAB.csv,0.48673,0.54457,0.05784,0.636 / 0.308 / 0.516,0.667 / 0.429 / 0.538,0.030 / 0.121 / 0.022
54,baseline_OUMVLP.csv,0.61551,0.58502,-0.03049,0.682 / 0.400 / 0.765,0.727 / 0.444 / 0.583,0.045 / 0.044 / -0.181
55,gaitgl.csv,0.49293,0.48564,-0.00729,0.533 / 0.400 / 0.545,0.625 / 0.462 / 0.370,0.092 / 0.062 / -0.175
