target_embedding,mean_f1_v1_v2,max_f1_v1_v2,std_f1_v1_v2,mean_f1_v3,max_f1_v3,std_f1_v3,mean_diff,max_diff
gaitgl_GREW_BNNeck.csv,0.42267,0.57673,0.09745,0.45694,0.59153,0.0968,0.03427,0.0148
baseline_CASIAB.csv,0.46375,0.59717,0.07114,0.49187,0.61396,0.10422,0.02812,0.01679
gaitset_OUMVLP.csv,0.42892,0.58712,0.13395,0.45671,0.57896,0.12515,0.02779,-0.00816
gaitgl_GREW.csv,0.46162,0.65471,0.06071,0.48431,0.63333,0.08605,0.02269,-0.02138
gaitset_GREW.csv,0.40555,0.5536,0.08353,0.42258,0.52632,0.09366,0.01704,-0.02728
gln_phase2.csv,0.4733,0.60503,0.10366,0.48806,0.61111,0.09305,0.01476,0.00608
gaitgl.csv,0.46167,0.62281,0.07873,0.4708,0.56214,0.08454,0.00913,-0.06067
gaitgl_OUMVLP.csv,0.44738,0.58457,0.08074,0.44823,0.57125,0.09319,0.00086,-0.01332
gaitpart_GREW.csv,0.50666,0.65625,0.10225,0.5068,0.58796,0.06656,0.00014,-0.06829
baseline_OUMVLP.csv,0.53017,0.63471,0.07128,0.52454,0.63131,0.06868,-0.00562,-0.0034
gaitpart_OUMVLP.csv,0.50073,0.67844,0.16921,0.48136,0.69197,0.1575,-0.01938,0.01353
gaitset.csv,0.45754,0.56896,0.07058,0.41774,0.53195,0.08552,-0.0398,-0.03701
gln_phase1.csv,0.58437,0.73091,0.10878,0.53022,0.73425,0.17836,-0.05415,0.00334
