id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
1,baseline_CASIAB.csv,0.55722,0.43333,-0.12389,0.694 / 0.444 / 0.533,0.600 / 0.200 / 0.500,-0.094 / -0.244 / -0.033
2,baseline_OUMVLP.csv,0.49238,0.57867,0.08629,0.537 / 0.400 / 0.541,0.541 / 0.545 / 0.650,0.004 / 0.145 / 0.109
3,gaitgl.csv,0.43338,0.46089,0.02751,0.526 / 0.250 / 0.524,0.634 / 0.222 / 0.526,0.108 / -0.028 / 0.003
4,gaitgl_GREW.csv,0.50256,0.38866,-0.1139,0.692 / 0.200 / 0.615,0.513 / 0.167 / 0.486,-0.179 / -0.033 / -0.129
5,gaitgl_GREW_BNNeck.csv,0.47328,0.36176,-0.11152,0.652 / 0.222 / 0.545,0.419 / 0.267 / 0.400,-0.234 / 0.044 / -0.145
6,gaitgl_OUMVLP.csv,0.21538,0.4955,0.28012,0.646 / 0.000 / 0.000,0.500 / 0.435 / 0.552,-0.146 / 0.435 / 0.552
7,gaitpart_GREW.csv,0.50899,0.53323,0.02424,0.667 / 0.235 / 0.625,0.619 / 0.400 / 0.581,-0.048 / 0.165 / -0.044
8,gaitpart_OUMVLP.csv,0.64327,0.55758,-0.08569,0.632 / 0.667 / 0.632,0.667 / 0.400 / 0.606,0.035 / -0.267 / -0.026
9,gaitset.csv,0.43761,0.41039,-0.02722,0.642 / 0.308 / 0.364,0.545 / 0.286 / 0.400,-0.096 / -0.022 / 0.036
10,gaitset_GREW.csv,0.49739,0.44473,-0.05266,0.704 / 0.250 / 0.538,0.541 / 0.222 / 0.571,-0.163 / -0.028 / 0.033
11,gaitset_OUMVLP.csv,0.58776,0.49746,-0.0903,0.652 / 0.667 / 0.444,0.634 / 0.444 / 0.414,-0.018 / -0.222 / -0.031
12,gln_phase1.csv,0.62595,0.51944,-0.10651,0.682 / 0.615 / 0.581,0.625 / 0.400 / 0.533,-0.057 / -0.215 / -0.047
13,gln_phase2.csv,0.54298,0.52992,-0.01306,0.650 / 0.400 / 0.579,0.682 / 0.222 / 0.686,0.032 / -0.178 / 0.107
27,baseline_CASIAB.csv,0.42886,0.4213,-0.00756,0.524 / 0.222 / 0.541,0.389 / 0.375 / 0.500,-0.135 / 0.153 / -0.041
28,baseline_OUMVLP.csv,0.62633,0.52579,-0.10054,0.722 / 0.400 / 0.757,0.571 / 0.381 / 0.625,-0.151 / -0.019 / -0.132
29,gaitgl.csv,0.42083,0.46744,0.04661,0.450 / 0.375 / 0.438,0.651 / 0.429 / 0.323,0.201 / 0.054 / -0.115
30,gaitgl_GREW.csv,0.46193,0.46883,0.0069,0.636 / 0.267 / 0.483,0.605 / 0.286 / 0.516,-0.032 / 0.019 / 0.033
31,gaitgl_GREW_BNNeck.csv,0.40926,0.45842,0.04916,0.533 / 0.250 / 0.444,0.364 / 0.500 / 0.512,-0.170 / 0.250 / 0.067
32,gaitgl_OUMVLP.csv,0.55904,0.56759,0.00855,0.537 / 0.600 / 0.541,0.457 / 0.667 / 0.579,-0.079 / 0.067 / 0.038
33,gaitpart_GREW.csv,0.52145,0.51343,-0.00802,0.698 / 0.267 / 0.600,0.564 / 0.476 / 0.500,-0.134 / 0.210 / -0.100
34,gaitpart_OUMVLP.csv,0.5278,0.54798,0.02018,0.698 / 0.200 / 0.686,0.650 / 0.267 / 0.727,-0.048 / 0.067 / 0.042
35,gaitset.csv,0.3402,0.41285,0.07265,0.409 / 0.267 / 0.345,0.537 / 0.235 / 0.467,0.128 / -0.031 / 0.122
36,gaitset_GREW.csv,0.48447,0.45813,-0.02634,0.739 / 0.143 / 0.571,0.698 / 0.125 / 0.552,-0.041 / -0.018 / -0.020
37,gaitset_OUMVLP.csv,0.5403,0.50624,-0.03406,0.571 / 0.533 / 0.516,0.457 / 0.545 / 0.516,-0.114 / 0.012 / 0.000
38,gln_phase1.csv,0.47953,0.47485,-0.00468,0.579 / 0.333 / 0.526,0.579 / 0.375 / 0.471,0.000 / 0.042 / -0.056
39,gln_phase2.csv,0.453,0.44406,-0.00894,0.681 / 0.333 / 0.345,0.558 / 0.462 / 0.312,-0.123 / 0.128 / -0.032
