target_embedding,mean_f1_v1_v2,max_f1_v1_v2,std_f1_v1_v2,mean_f1_v3,max_f1_v3,std_f1_v3,mean_diff,max_diff
gaitset.csv,0.44429,0.53361,0.04847,0.48101,0.57887,0.05222,0.03671,0.04526
gaitgl_OUMVLP.csv,0.4928,0.62295,0.10603,0.52872,0.63665,0.07757,0.03592,0.0137
gaitset_OUMVLP.csv,0.47826,0.62719,0.08439,0.49276,0.62194,0.0485,0.0145,-0.00525
gaitgl_GREW_BNNeck.csv,0.4591,0.54545,0.06262,0.47165,0.62722,0.06565,0.01256,0.08177
gaitset_GREW.csv,0.50224,0.62184,0.05003,0.51462,0.61218,0.03943,0.01238,-0.00966
baseline_CASIAB.csv,0.50936,0.642,0.04742,0.51864,0.62303,0.04405,0.00928,-0.01897
baseline_OUMVLP.csv,0.574,0.6967,0.06702,0.58257,0.69444,0.06715,0.00857,-0.00226
gaitgl_GREW.csv,0.42916,0.50273,0.03712,0.43325,0.51745,0.03939,0.0041,0.01472
gln_phase1.csv,0.57625,0.69197,0.0474,0.57934,0.69272,0.05749,0.00309,0.00075
gaitpart_GREW.csv,0.53429,0.63906,0.05038,0.537,0.66134,0.04904,0.00271,0.02228
gaitgl.csv,0.48343,0.63925,0.06586,0.48246,0.58655,0.05669,-0.00098,-0.0527
gaitpart_OUMVLP.csv,0.55654,0.66545,0.07423,0.5404,0.63256,0.04283,-0.01614,-0.03289
gln_phase2.csv,0.50437,0.64386,0.05002,0.48766,0.6147,0.04446,-0.01671,-0.02916
