id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
183,baseline_CASIAB.csv,0.53801,0.53322,-0.00479,0.636 / 0.462 / 0.516,0.585 / 0.500 / 0.514,-0.051 / 0.038 / -0.002
184,baseline_OUMVLP.csv,0.6102,0.53608,-0.07412,0.708 / 0.364 / 0.759,0.650 / 0.364 / 0.595,-0.058 / 0.000 / -0.164
185,gaitgl.csv,0.45004,0.40822,-0.04182,0.652 / 0.182 / 0.516,0.605 / 0.300 / 0.320,-0.048 / 0.118 / -0.196
186,gaitgl_GREW.csv,0.42837,0.46117,0.0328,0.537 / 0.222 / 0.526,0.605 / 0.154 / 0.625,0.068 / -0.068 / 0.099
187,gaitgl_GREW_BNNeck.csv,0.21538,0.50696,0.29158,0.646 / 0.000 / 0.000,0.485 / 0.333 / 0.703,-0.161 / 0.333 / 0.703
188,gaitgl_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
189,gaitpart_GREW.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
190,gaitpart_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
191,gaitset.csv,0.49977,0.51156,0.01179,0.513 / 0.500 / 0.486,0.564 / 0.471 / 0.500,0.051 / -0.029 / 0.014
192,gaitset_GREW.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
193,gaitset_OUMVLP.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
194,gln_phase1.csv,0.381,0.43009,0.04909,0.565 / 0.133 / 0.444,0.345 / 0.400 / 0.545,-0.220 / 0.267 / 0.101
195,gln_phase2.csv,0.41604,0.4286,0.01256,0.462 / 0.250 / 0.537,0.471 / 0.250 / 0.565,0.009 / 0.000 / 0.029
222,baseline_CASIAB.csv,0.49615,0.60636,0.11021,0.609 / 0.364 / 0.516,0.711 / 0.545 / 0.562,0.102 / 0.182 / 0.046
223,baseline_OUMVLP.csv,0.61456,0.52632,-0.08824,0.651 / 0.545 / 0.647,0.579 / 0.400 / 0.600,-0.072 / -0.145 / -0.047
224,gaitgl.csv,0.39802,0.43274,0.03472,0.512 / 0.250 / 0.432,0.578 / 0.333 / 0.387,0.066 / 0.083 / -0.045
225,gaitgl_GREW.csv,0.41035,0.4853,0.07495,0.625 / 0.000 / 0.606,0.541 / 0.364 / 0.552,-0.084 / 0.364 / -0.054
226,gaitgl_GREW_BNNeck.csv,0.44035,0.47109,0.03074,0.421 / 0.400 / 0.500,0.462 / 0.400 / 0.552,0.040 / 0.000 / 0.052
227,gaitgl_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
228,gaitpart_GREW.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
229,gaitpart_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
230,gaitset.csv,0.52983,0.48969,-0.04014,0.605 / 0.500 / 0.485,0.591 / 0.533 / 0.345,-0.014 / 0.033 / -0.140
231,gaitset_GREW.csv,0.21538,0.53448,0.3191,0.646 / 0.000 / 0.000,0.611 / 0.476 / 0.516,-0.035 / 0.476 / 0.516
232,gaitset_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
233,gln_phase1.csv,0.41667,0.39748,-0.01919,0.500 / 0.250 / 0.500,0.500 / 0.235 / 0.457,0.000 / -0.015 / -0.043
234,gln_phase2.csv,0.45425,0.45574,0.00149,0.500 / 0.333 / 0.529,0.514 / 0.353 / 0.500,0.014 / 0.020 / -0.029
235,baseline_CASIAB.csv,0.51194,0.47963,-0.03231,0.653 / 0.400 / 0.483,0.605 / 0.364 / 0.471,-0.048 / -0.036 / -0.012
236,baseline_OUMVLP.csv,0.61674,0.47174,-0.145,0.619 / 0.545 / 0.686,0.578 / 0.286 / 0.552,-0.041 / -0.260 / -0.134
237,gaitgl.csv,0.55926,0.51608,-0.04318,0.667 / 0.400 / 0.611,0.667 / 0.250 / 0.632,0.000 / -0.150 / 0.020
238,gaitgl_GREW.csv,0.47792,0.50188,0.02396,0.638 / 0.250 / 0.545,0.516 / 0.308 / 0.682,-0.122 / 0.058 / 0.136
239,gaitgl_GREW_BNNeck.csv,0.48079,0.48043,-0.00036,0.577 / 0.545 / 0.320,0.545 / 0.333 / 0.562,-0.031 / -0.212 / 0.242
240,gaitgl_OUMVLP.csv,0.21538,0.61195,0.39657,0.646 / 0.000 / 0.000,0.682 / 0.533 / 0.621,0.036 / 0.533 / 0.621
241,gaitpart_GREW.csv,0.21538,0.50826,0.29288,0.646 / 0.000 / 0.000,0.571 / 0.471 / 0.483,-0.075 / 0.471 / 0.483
242,gaitpart_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
243,gaitset.csv,0.60101,0.49278,-0.10823,0.636 / 0.667 / 0.500,0.625 / 0.533 / 0.320,-0.011 / -0.133 / -0.180
244,gaitset_GREW.csv,0.61594,0.47721,-0.13873,0.585 / 0.615 / 0.647,0.611 / 0.308 / 0.513,0.026 / -0.308 / -0.134
245,gaitset_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
246,gln_phase1.csv,0.44746,0.49495,0.04749,0.640 / 0.286 / 0.417,0.452 / 0.429 / 0.605,-0.188 / 0.143 / 0.188
247,gln_phase2.csv,0.48526,0.43382,-0.05144,0.537 / 0.364 / 0.556,0.667 / 0.200 / 0.435,0.130 / -0.164 / -0.121
261,baseline_CASIAB.csv,0.50223,0.53333,0.0311,0.579 / 0.364 / 0.564,0.667 / 0.400 / 0.533,0.088 / 0.036 / -0.031
262,baseline_OUMVLP.csv,0.6102,0.49174,-0.11846,0.708 / 0.364 / 0.759,0.485 / 0.375 / 0.615,-0.223 / 0.011 / -0.143
263,gaitgl.csv,0.34776,0.35668,0.00892,0.619 / 0.333 / 0.091,0.667 / 0.286 / 0.118,0.048 / -0.048 / 0.027
264,gaitgl_GREW.csv,0.42613,0.53019,0.10406,0.564 / 0.286 / 0.429,0.632 / 0.353 / 0.606,0.067 / 0.067 / 0.177
265,gaitgl_GREW_BNNeck.csv,0.47183,0.42476,-0.04707,0.578 / 0.421 / 0.417,0.511 / 0.364 / 0.400,-0.067 / -0.057 / -0.017
266,gaitgl_OUMVLP.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
267,gaitpart_GREW.csv,0.21538,0.21875,0.00337,0.646 / 0.000 / 0.000,0.656 / 0.000 / 0.000,0.010 / 0.000 / 0.000
268,gaitpart_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
269,gaitset.csv,0.48148,0.46422,-0.01726,0.500 / 0.500 / 0.444,0.564 / 0.429 / 0.400,0.064 / -0.071 / -0.044
270,gaitset_GREW.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
271,gaitset_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
272,gln_phase1.csv,0.4241,0.43294,0.00884,0.565 / 0.222 / 0.485,0.400 / 0.375 / 0.524,-0.165 / 0.153 / 0.039
273,gln_phase2.csv,0.44735,0.4,-0.04735,0.578 / 0.250 / 0.514,0.500 / 0.200 / 0.500,-0.078 / -0.050 / -0.014
313,baseline_CASIAB.csv,0.43735,0.48327,0.04592,0.513 / 0.375 / 0.424,0.457 / 0.429 / 0.564,-0.056 / 0.054 / 0.140
314,baseline_OUMVLP.csv,0.53434,0.49159,-0.04275,0.632 / 0.400 / 0.571,0.579 / 0.333 / 0.562,-0.053 / -0.067 / -0.009
315,gaitgl.csv,0.38462,0.47229,0.08767,0.513 / 0.308 / 0.333,0.571 / 0.300 / 0.545,0.059 / -0.008 / 0.212
316,gaitgl_GREW.csv,0.60423,0.43737,-0.16686,0.686 / 0.556 / 0.571,0.545 / 0.267 / 0.500,-0.140 / -0.289 / -0.071
317,gaitgl_GREW_BNNeck.csv,0.42732,0.44889,0.02157,0.545 / 0.222 / 0.514,0.533 / 0.333 / 0.480,-0.012 / 0.111 / -0.034
318,gaitgl_OUMVLP.csv,0.42096,0.55346,0.1325,0.486 / 0.348 / 0.429,0.651 / 0.429 / 0.581,0.165 / 0.081 / 0.152
319,gaitpart_GREW.csv,0.51778,0.51073,-0.00705,0.556 / 0.364 / 0.634,0.636 / 0.333 / 0.562,0.081 / -0.030 / -0.072
320,gaitpart_OUMVLP.csv,0.66685,0.61356,-0.05329,0.698 / 0.615 / 0.688,0.667 / 0.545 / 0.629,-0.031 / -0.070 / -0.059
321,gaitset.csv,0.49608,0.49309,-0.00299,0.588 / 0.500 / 0.400,0.609 / 0.471 / 0.400,0.020 / -0.029 / 0.000
322,gaitset_GREW.csv,0.58655,0.53235,-0.0542,0.681 / 0.545 / 0.533,0.533 / 0.417 / 0.647,-0.148 / -0.129 / 0.114
323,gaitset_OUMVLP.csv,0.54123,0.4262,-0.11503,0.585 / 0.556 / 0.483,0.513 / 0.333 / 0.432,-0.073 / -0.222 / -0.050
324,gln_phase1.csv,0.52707,0.57335,0.04628,0.556 / 0.462 / 0.564,0.605 / 0.615 / 0.500,0.049 / 0.154 / -0.064
325,gln_phase2.csv,0.50918,0.49716,-0.01202,0.537 / 0.462 / 0.529,0.558 / 0.400 / 0.533,0.022 / -0.062 / 0.004
391,baseline_CASIAB.csv,0.21538,0.43832,0.22294,0.646 / 0.000 / 0.000,0.651 / 0.250 / 0.414,0.005 / 0.250 / 0.414
392,baseline_OUMVLP.csv,0.67769,0.53468,-0.14301,0.723 / 0.600 / 0.710,0.541 / 0.444 / 0.619,-0.183 / -0.156 / -0.091
393,gaitgl.csv,0.50855,0.44612,-0.06243,0.500 / 0.462 / 0.564,0.516 / 0.333 / 0.489,0.016 / -0.128 / -0.075
394,gaitgl_GREW.csv,0.21538,0.45285,0.23747,0.646 / 0.000 / 0.000,0.625 / 0.182 / 0.552,-0.021 / 0.182 / 0.552
395,gaitgl_GREW_BNNeck.csv,0.41785,0.45282,0.03497,0.389 / 0.286 / 0.579,0.571 / 0.235 / 0.552,0.183 / -0.050 / -0.027
396,gaitgl_OUMVLP.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
397,gaitpart_GREW.csv,0.21538,0.21538,0.0,0.646 / 0.000 / 0.000,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.000
398,gaitpart_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
399,gaitset.csv,0.50543,0.46904,-0.03639,0.533 / 0.545 / 0.438,0.571 / 0.353 / 0.483,0.038 / -0.193 / 0.045
400,gaitset_GREW.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
401,gaitset_OUMVLP.csv,0.21538,0.17778,-0.0376,0.646 / 0.000 / 0.000,0.000 / 0.000 / 0.533,-0.646 / 0.000 / 0.533
402,gln_phase1.csv,0.21538,0.43285,0.21747,0.646 / 0.000 / 0.000,0.400 / 0.333 / 0.565,-0.246 / 0.333 / 0.565
403,gln_phase2.csv,0.48207,0.47059,-0.01148,0.438 / 0.400 / 0.609,0.412 / 0.333 / 0.667,-0.026 / -0.067 / 0.058
404,baseline_CASIAB.csv,0.41401,0.52701,0.113,0.609 / 0.167 / 0.467,0.579 / 0.462 / 0.541,-0.030 / 0.295 / 0.074
405,baseline_OUMVLP.csv,0.46834,0.45974,-0.0086,0.667 / 0.222 / 0.516,0.636 / 0.143 / 0.600,-0.030 / -0.079 / 0.084
406,gaitgl.csv,0.35979,0.39436,0.03457,0.622 / 0.000 / 0.457,0.622 / 0.300 / 0.261,0.000 / 0.300 / -0.196
407,gaitgl_GREW.csv,0.44314,0.51111,0.06797,0.578 / 0.222 / 0.529,0.667 / 0.200 / 0.667,0.089 / -0.022 / 0.137
408,gaitgl_GREW_BNNeck.csv,0.21538,0.0915,-0.12388,0.646 / 0.000 / 0.000,0.000 / 0.275 / 0.000,-0.646 / 0.275 / 0.000
409,gaitgl_OUMVLP.csv,0.44132,0.44425,0.00293,0.596 / 0.267 / 0.462,0.622 / 0.211 / 0.500,0.026 / -0.056 / 0.038
410,gaitpart_GREW.csv,0.21538,0.51769,0.30231,0.646 / 0.000 / 0.000,0.653 / 0.400 / 0.500,0.007 / 0.400 / 0.500
411,gaitpart_OUMVLP.csv,0.62792,0.64758,0.01966,0.756 / 0.462 / 0.667,0.756 / 0.429 / 0.759,0.000 / -0.033 / 0.092
412,gaitset.csv,0.53383,0.41595,-0.11788,0.585 / 0.500 / 0.516,0.622 / 0.143 / 0.483,0.037 / -0.357 / -0.033
413,gaitset_GREW.csv,0.21538,0.55971,0.34433,0.646 / 0.000 / 0.000,0.625 / 0.462 / 0.593,-0.021 / 0.462 / 0.593
414,gaitset_OUMVLP.csv,0.49325,0.52954,0.03629,0.571 / 0.375 / 0.533,0.684 / 0.375 / 0.529,0.113 / 0.000 / -0.004
415,gln_phase1.csv,0.51544,0.41722,-0.09822,0.727 / 0.286 / 0.533,0.541 / 0.267 / 0.444,-0.187 / -0.019 / -0.089
416,gln_phase2.csv,0.47487,0.54035,0.06548,0.636 / 0.200 / 0.588,0.638 / 0.500 / 0.483,0.002 / 0.300 / -0.105
430,baseline_CASIAB.csv,0.50216,0.44874,-0.05342,0.571 / 0.364 / 0.571,0.595 / 0.300 / 0.452,0.023 / -0.064 / -0.120
431,baseline_OUMVLP.csv,0.5,0.50386,0.00386,0.600 / 0.250 / 0.650,0.652 / 0.308 / 0.552,0.052 / 0.058 / -0.098
432,gaitgl.csv,0.43631,0.62299,0.18668,0.345 / 0.400 / 0.564,0.526 / 0.727 / 0.615,0.181 / 0.327 / 0.051
433,gaitgl_GREW.csv,0.4664,0.5417,0.0753,0.571 / 0.250 / 0.578,0.711 / 0.333 / 0.581,0.140 / 0.083 / 0.003
434,gaitgl_GREW_BNNeck.csv,0.43388,0.44317,0.00929,0.465 / 0.462 / 0.375,0.537 / 0.182 / 0.611,0.071 / -0.280 / 0.236
435,gaitgl_OUMVLP.csv,0.44211,0.49116,0.04905,0.600 / 0.200 / 0.526,0.667 / 0.182 / 0.625,0.067 / -0.018 / 0.099
436,gaitpart_GREW.csv,0.47362,0.55534,0.08172,0.541 / 0.286 / 0.595,0.571 / 0.500 / 0.595,0.031 / 0.214 / 0.000
