target_embedding,mean_f1_v1_v2,max_f1_v1_v2,std_f1_v1_v2,mean_f1_v3,max_f1_v3,std_f1_v3,mean_diff,max_diff
gaitset_OUMVLP.csv,0.4365,0.64802,0.14972,0.50452,0.61218,0.10002,0.06802,-0.03584
gaitgl_OUMVLP.csv,0.43211,0.57666,0.08438,0.477,0.63529,0.06321,0.04489,0.05863
gaitgl_GREW_BNNeck.csv,0.41877,0.56131,0.10468,0.46365,0.55185,0.08721,0.04488,-0.00946
gaitgl_GREW.csv,0.44823,0.562,0.05957,0.49088,0.63261,0.06556,0.04266,0.07061
gaitset_GREW.csv,0.4409,0.54434,0.05428,0.47381,0.60712,0.054,0.03291,0.06278
gln_phase2.csv,0.51877,0.65758,0.08996,0.55155,0.75025,0.09795,0.03278,0.09267
baseline_CASIAB.csv,0.46768,0.62014,0.058,0.49551,0.57355,0.04903,0.02783,-0.04659
gaitset.csv,0.43221,0.5192,0.05586,0.45218,0.55751,0.06076,0.01997,0.03831
gaitpart_GREW.csv,0.51409,0.62412,0.0549,0.53171,0.66472,0.06293,0.01762,0.0406
gaitgl.csv,0.42913,0.51264,0.05076,0.44504,0.57127,0.05324,0.01591,0.05863
baseline_OUMVLP.csv,0.51186,0.62303,0.0492,0.52396,0.65909,0.04604,0.0121,0.03606
gaitpart_OUMVLP.csv,0.53718,0.67417,0.1399,0.54873,0.66563,0.06984,0.01155,-0.00854
gln_phase1.csv,0.52627,0.71622,0.09127,0.53035,0.66966,0.09581,0.00407,-0.04656
