number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.3535365896862204,2025-06-13 05:40:04.749820,2025-06-13 05:42:20.565014,0 days 00:02:15.815194,32,True,0.5,64,0.0001,L2,2,COMPLETE
1,0.2705763685462522,2025-06-13 05:42:20.566015,2025-06-13 05:43:32.661102,0 days 00:01:12.095087,64,True,0.2,128,1e-05,minmax,1,COMPLETE
2,0.4032200256622941,2025-06-13 05:43:32.661102,2025-06-13 05:45:19.613425,0 days 00:01:46.952323,32,False,0.2,128,0.0001,minmax,2,COMPLETE
3,0.37364291153254686,2025-06-13 05:45:19.614426,2025-06-13 05:47:05.163261,0 days 00:01:45.548835,32,False,0.0,128,0.0001,L2,2,COMPLETE
4,0.4032074317821837,2025-06-13 05:47:05.164261,2025-06-13 05:48:25.913447,0 days 00:01:20.749186,128,True,0.2,128,0.001,minmax,2,COMPLETE
5,0.297547237633495,2025-06-13 05:48:25.914448,2025-06-13 05:53:24.092047,0 days 00:04:58.177599,64,False,0.1,512,0.001,minmax,3,COMPLETE
6,0.3761744731380134,2025-06-13 05:53:24.093047,2025-06-13 05:55:15.192640,0 days 00:01:51.099593,128,True,0.4,128,0.001,minmax,3,COMPLETE
7,0.22913091778287656,2025-06-13 05:55:15.194640,2025-06-13 06:03:08.434477,0 days 00:07:53.239837,64,True,0.5,512,1e-05,L2,2,COMPLETE
8,0.26256608352012367,2025-06-13 06:03:08.435478,2025-06-13 06:04:33.870804,0 days 00:01:25.435326,128,True,0.4,256,1e-05,L2,1,COMPLETE
9,0.25611026027199885,2025-06-13 06:04:33.871805,2025-06-13 06:05:36.206402,0 days 00:01:02.334597,128,False,0.3,128,1e-05,minmax,3,COMPLETE
10,0.3943535198846298,2025-06-13 06:05:36.207402,2025-06-13 06:06:54.280272,0 days 00:01:18.072870,32,False,0.2,64,0.0001,minmax,1,COMPLETE
11,0.42500566488450275,2025-06-13 06:06:54.281272,2025-06-13 06:08:41.365994,0 days 00:01:47.084722,32,False,0.2,128,0.001,minmax,2,COMPLETE
12,0.41559455982167604,2025-06-13 06:08:41.367995,2025-06-13 06:11:05.676303,0 days 00:02:24.308308,32,False,0.2,256,0.001,minmax,2,COMPLETE
13,0.4026130415301914,2025-06-13 06:11:05.677303,2025-06-13 06:13:29.562628,0 days 00:02:23.885325,32,False,0.2,256,0.001,minmax,2,COMPLETE
14,0.30293515864139775,2025-06-13 06:13:29.563629,2025-06-13 06:16:26.279049,0 days 00:02:56.715420,32,False,0.3,256,0.001,minmax,3,COMPLETE
15,0.42772332559325166,2025-06-13 06:16:26.280050,2025-06-13 06:18:00.397866,0 days 00:01:34.117816,32,False,0.0,256,0.001,minmax,1,COMPLETE
16,0.4184160085685805,2025-06-13 06:18:00.398867,2025-06-13 06:19:34.921741,0 days 00:01:34.522874,32,False,0.0,256,0.001,minmax,1,COMPLETE
17,0.40606699473449337,2025-06-13 06:19:34.922741,2025-06-13 06:22:10.240804,0 days 00:02:35.318063,32,False,0.0,512,0.001,minmax,1,COMPLETE
18,0.429900554256135,2025-06-13 06:22:10.241804,2025-06-13 06:23:27.315424,0 days 00:01:17.073620,32,False,0.1,64,0.001,L2,1,COMPLETE
19,0.4363144955518933,2025-06-13 06:23:27.316424,2025-06-13 06:24:22.702804,0 days 00:00:55.386380,64,False,0.1,64,0.001,L2,1,COMPLETE
