number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.19972347913524385,2025-06-13 07:08:47.763584,2025-06-13 07:09:01.394677,0 days 00:00:13.631093,64,False,0.5,64,1e-05,L2,3,COMPLETE
1,0.3491367456073339,2025-06-13 07:09:01.395678,2025-06-13 07:09:10.237565,0 days 00:00:08.841887,128,False,0.5,256,0.001,minmax,1,COMPLETE
2,0.47015873015873016,2025-06-13 07:09:10.238565,2025-06-13 07:09:24.437038,0 days 00:00:14.198473,32,False,0.0,256,0.001,L2,1,COMPLETE
3,0.24592760180995477,2025-06-13 07:09:24.438038,2025-06-13 07:09:49.820058,0 days 00:00:25.382020,32,False,0.4,256,1e-05,L2,3,COMPLETE
4,0.4112409812409812,2025-06-13 07:09:49.821058,2025-06-13 07:10:14.354447,0 days 00:00:24.533389,32,False,0.0,256,0.001,L2,3,COMPLETE
5,0.3135845635845636,2025-06-13 07:10:14.355446,2025-06-13 07:10:27.394532,0 days 00:00:13.039086,128,True,0.3,256,1e-05,L2,1,COMPLETE
6,0.23529411764705882,2025-06-13 07:10:27.395531,2025-06-13 07:10:40.262265,0 days 00:00:12.866734,64,False,0.1,64,0.001,minmax,3,COMPLETE
7,0.24816059757236228,2025-06-13 07:10:40.263264,2025-06-13 07:10:51.964314,0 days 00:00:11.701050,128,False,0.4,128,1e-05,L2,2,COMPLETE
8,0.41379953379953377,2025-06-13 07:10:51.965314,2025-06-13 07:11:03.573034,0 days 00:00:11.607720,64,False,0.0,128,0.001,L2,2,COMPLETE
9,0.23529411764705882,2025-06-13 07:11:03.573034,2025-06-13 07:11:22.952290,0 days 00:00:19.379256,128,True,0.2,128,0.0001,L2,3,COMPLETE
10,0.387012987012987,2025-06-13 07:11:22.953291,2025-06-13 07:11:51.428866,0 days 00:00:28.475575,32,True,0.0,512,0.0001,minmax,1,COMPLETE
11,0.4157009657009657,2025-06-13 07:11:51.429867,2025-06-13 07:12:02.619573,0 days 00:00:11.189706,64,False,0.0,128,0.001,L2,2,COMPLETE
12,0.4017327117327117,2025-06-13 07:12:02.619573,2025-06-13 07:12:36.578147,0 days 00:00:33.958574,32,False,0.0,512,0.001,L2,2,COMPLETE
13,0.39525252525252524,2025-06-13 07:12:36.579147,2025-06-13 07:12:45.682560,0 days 00:00:09.103413,64,False,0.0,128,0.001,L2,1,COMPLETE
14,0.424057424057424,2025-06-13 07:12:45.682560,2025-06-13 07:13:07.084904,0 days 00:00:21.402344,64,True,0.2,256,0.001,minmax,2,COMPLETE
15,0.4425518925518925,2025-06-13 07:13:07.085905,2025-06-13 07:13:25.521139,0 days 00:00:18.435234,32,True,0.2,256,0.001,minmax,1,COMPLETE
16,0.3552214452214452,2025-06-13 07:13:25.522140,2025-06-13 07:13:43.821388,0 days 00:00:18.299248,32,True,0.2,256,0.0001,minmax,1,COMPLETE
17,0.39973063973063977,2025-06-13 07:13:43.822388,2025-06-13 07:14:02.717568,0 days 00:00:18.895180,32,True,0.1,256,0.001,minmax,1,COMPLETE
18,0.410972730972731,2025-06-13 07:14:02.717568,2025-06-13 07:14:20.885855,0 days 00:00:18.168287,32,True,0.3,256,0.001,minmax,1,COMPLETE
19,0.3826998491704374,2025-06-13 07:14:20.886855,2025-06-13 07:14:48.616215,0 days 00:00:27.729360,32,True,0.2,512,0.0001,minmax,1,COMPLETE
