number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.25147773086633335,2025-06-13 07:41:27.401030,2025-06-13 07:42:06.386360,0 days 00:00:38.985330,64,True,0.2,64,0.0001,L2,1,COMPLETE
1,0.38738272505224186,2025-06-13 07:42:06.386360,2025-06-13 07:43:32.244826,0 days 00:01:25.858466,128,False,0.2,512,0.0001,minmax,3,COMPLETE
2,0.4735063099268519,2025-06-13 07:43:32.245825,2025-06-13 07:45:05.193778,0 days 00:01:32.947953,32,True,0.1,512,0.001,L2,1,COMPLETE
3,0.2361004728709974,2025-06-13 07:45:05.194778,2025-06-13 07:45:31.426709,0 days 00:00:26.231931,128,False,0.5,256,1e-05,L2,1,COMPLETE
4,0.30643901761930353,2025-06-13 07:45:31.427709,2025-06-13 07:46:31.174137,0 days 00:00:59.746428,32,True,0.1,64,1e-05,L2,1,COMPLETE
5,0.2765808470770065,2025-06-13 07:46:31.175138,2025-06-13 07:46:57.636668,0 days 00:00:26.461530,128,True,0.1,64,1e-05,minmax,1,COMPLETE
6,0.3932472674256865,2025-06-13 07:46:57.637669,2025-06-13 07:47:32.743642,0 days 00:00:35.105973,64,False,0.5,128,0.0001,minmax,1,COMPLETE
7,0.23396743811556756,2025-06-13 07:47:32.744643,2025-06-13 07:48:11.934065,0 days 00:00:39.189422,64,True,0.2,64,1e-05,L2,1,COMPLETE
8,0.2643563589648255,2025-06-13 07:48:11.935066,2025-06-13 07:48:44.157234,0 days 00:00:32.222168,128,False,0.1,512,1e-05,L2,1,COMPLETE
9,0.3634452460403735,2025-06-13 07:48:44.158235,2025-06-13 07:50:20.091463,0 days 00:01:35.933228,64,False,0.1,512,0.0001,minmax,3,COMPLETE
10,0.46128116157051197,2025-06-13 07:50:20.092464,2025-06-13 07:51:58.163316,0 days 00:01:38.070852,32,True,0.0,256,0.001,L2,2,COMPLETE
11,0.47244105325310637,2025-06-13 07:51:58.164317,2025-06-13 07:53:35.879066,0 days 00:01:37.714749,32,True,0.0,256,0.001,L2,2,COMPLETE
12,0.47074768190858657,2025-06-13 07:53:35.880066,2025-06-13 07:55:13.329167,0 days 00:01:37.449101,32,True,0.0,256,0.001,L2,2,COMPLETE
13,0.42599790511571445,2025-06-13 07:55:13.330167,2025-06-13 07:56:34.142422,0 days 00:01:20.812255,32,True,0.4,128,0.001,L2,2,COMPLETE
14,0.4782682279110495,2025-06-13 07:56:34.143422,2025-06-13 07:58:11.590131,0 days 00:01:37.446709,32,True,0.0,256,0.001,L2,2,COMPLETE
15,0.4786558915743946,2025-06-13 07:58:11.591131,2025-06-13 08:03:04.028044,0 days 00:04:52.436913,32,True,0.3,512,0.001,L2,3,COMPLETE
16,0.4573301731994534,2025-06-13 08:03:04.029045,2025-06-13 08:05:17.860496,0 days 00:02:13.831451,32,True,0.3,256,0.001,L2,3,COMPLETE
17,0.46312939528829433,2025-06-13 08:05:17.861497,2025-06-13 08:10:10.796453,0 days 00:04:52.934956,32,True,0.3,512,0.001,L2,3,COMPLETE
18,0.3049164656996134,2025-06-13 08:10:10.797452,2025-06-13 08:11:28.657427,0 days 00:01:17.859975,32,True,0.3,128,0.001,minmax,2,COMPLETE
19,0.46204754645498197,2025-06-13 08:11:28.658427,2025-06-13 08:13:41.820430,0 days 00:02:13.162003,32,True,0.4,256,0.001,L2,3,COMPLETE
