number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.21800309118336952,2025-06-13 09:46:56.596837,2025-06-13 09:50:00.736002,0 days 00:03:04.139165,32,False,0.1,256,1e-05,L2,3,COMPLETE
1,0.40303376297254045,2025-06-13 09:50:00.737003,2025-06-13 09:52:34.366831,0 days 00:02:33.629828,32,True,0.2,128,0.0001,L2,2,COMPLETE
2,0.25708740140253,2025-06-13 09:52:34.367832,2025-06-13 09:55:03.992003,0 days 00:02:29.624171,32,True,0.4,128,0.001,minmax,2,COMPLETE
3,0.45764745559946574,2025-06-13 09:55:03.993014,2025-06-13 09:57:16.872445,0 days 00:02:12.879431,32,True,0.2,256,0.001,L2,1,COMPLETE
4,0.31416671045267086,2025-06-13 09:57:16.873446,2025-06-13 10:00:22.683081,0 days 00:03:05.809635,64,True,0.4,256,0.0001,L2,2,COMPLETE
5,0.252577688068364,2025-06-13 10:00:22.684081,2025-06-13 10:04:33.265549,0 days 00:04:10.581468,128,False,0.3,512,0.0001,minmax,3,COMPLETE
6,0.29096183792681246,2025-06-13 10:04:33.266549,2025-06-13 10:05:36.160025,0 days 00:01:02.893476,64,True,0.2,64,1e-05,minmax,1,COMPLETE
7,0.4269589909392958,2025-06-13 10:05:36.161025,2025-06-13 10:07:08.612487,0 days 00:01:32.451462,32,False,0.2,256,0.001,minmax,1,COMPLETE
8,0.21736632484892876,2025-06-13 10:07:08.613487,2025-06-13 10:08:28.421977,0 days 00:01:19.808490,64,False,0.2,64,1e-05,minmax,3,COMPLETE
9,0.4023850757178765,2025-06-13 10:08:28.422977,2025-06-13 10:09:09.454978,0 days 00:00:41.032001,128,False,0.1,64,0.001,L2,1,COMPLETE
10,0.48030555560494764,2025-06-13 10:09:09.455979,2025-06-13 10:13:02.750396,0 days 00:03:53.294417,32,True,0.0,512,0.001,L2,1,COMPLETE
11,0.48688170631363575,2025-06-13 10:13:02.751396,2025-06-13 10:16:56.446833,0 days 00:03:53.695437,32,True,0.0,512,0.001,L2,1,COMPLETE
12,0.47942411687975317,2025-06-13 10:16:56.447834,2025-06-13 10:20:50.128056,0 days 00:03:53.680222,32,True,0.0,512,0.001,L2,1,COMPLETE
13,0.4767151612528284,2025-06-13 10:20:50.129056,2025-06-13 10:24:43.642231,0 days 00:03:53.513175,32,True,0.0,512,0.001,L2,1,COMPLETE
14,0.45932698041407666,2025-06-13 10:24:43.643232,2025-06-13 10:33:37.342690,0 days 00:08:53.699458,32,True,0.5,512,0.001,L2,2,COMPLETE
15,0.46441946681647844,2025-06-13 10:33:37.343691,2025-06-13 10:36:19.546295,0 days 00:02:42.202604,128,True,0.0,512,0.001,L2,1,COMPLETE
16,0.477698001706844,2025-06-13 10:36:19.547297,2025-06-13 10:43:29.370781,0 days 00:07:09.823484,32,True,0.0,512,0.001,L2,2,COMPLETE
17,0.48089867281969667,2025-06-13 10:43:29.370781,2025-06-13 10:46:38.327375,0 days 00:03:08.956594,32,True,0.0,512,0.001,L2,1,COMPLETE
18,0.25206742401674836,2025-06-13 10:46:38.327375,2025-06-13 10:49:02.840632,0 days 00:02:24.513257,64,True,0.3,512,1e-05,L2,1,COMPLETE
