number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.2512655971479501,2025-06-11 02:34:00.351776,2025-06-11 02:34:27.614113,0 days 00:00:27.262337,64,False,0.5,256,0.0001,L2,1,COMPLETE
1,0.23529411764705882,2025-06-11 02:34:00.362575,2025-06-11 02:34:29.032302,0 days 00:00:28.669727,128,True,0.2,128,0.0001,L2,3,COMPLETE
2,0.21228758169934642,2025-06-11 02:34:00.367365,2025-06-11 02:34:29.317898,0 days 00:00:28.950533,128,False,0.0,128,1e-05,minmax,3,COMPLETE
3,0.23529411764705882,2025-06-11 02:34:00.372276,2025-06-11 02:34:28.966422,0 days 00:00:28.594146,64,False,0.2,64,0.001,minmax,3,COMPLETE
4,0.24537815126050422,2025-06-11 02:34:27.629737,2025-06-11 02:35:05.125376,0 days 00:00:37.495639,32,True,0.4,256,0.0001,L2,1,COMPLETE
5,0.239144385026738,2025-06-11 02:34:28.982046,2025-06-11 02:35:07.515478,0 days 00:00:38.533432,32,False,0.2,128,1e-05,L2,2,COMPLETE
6,0.23529411764705882,2025-06-11 02:34:29.037973,2025-06-11 02:34:52.702018,0 days 00:00:23.664045,64,False,0.0,256,0.0001,minmax,3,COMPLETE
7,0.270873440285205,2025-06-11 02:34:29.319898,2025-06-11 02:35:12.691209,0 days 00:00:43.371311,32,False,0.5,256,1e-05,minmax,1,COMPLETE
8,0.242272498743087,2025-06-11 02:34:52.704019,2025-06-11 02:35:36.078764,0 days 00:00:43.374745,32,True,0.3,64,1e-05,minmax,2,COMPLETE
9,0.28372549019607846,2025-06-11 02:35:05.127376,2025-06-11 02:35:32.676788,0 days 00:00:27.549412,128,True,0.5,128,1e-05,L2,1,COMPLETE
10,0.2974509803921569,2025-06-11 02:35:07.515478,2025-06-11 02:36:06.890181,0 days 00:00:59.374703,32,True,0.2,256,0.0001,minmax,3,COMPLETE
11,0.36174825174825176,2025-06-11 02:35:12.691209,2025-06-11 02:35:44.178682,0 days 00:00:31.487473,64,True,0.4,256,0.001,minmax,1,COMPLETE
12,0.2442644936762584,2025-06-11 02:35:32.677101,2025-06-11 02:36:14.495429,0 days 00:00:41.818328,32,False,0.5,256,1e-05,L2,1,COMPLETE
13,0.4362348762348763,2025-06-11 02:35:36.078764,2025-06-11 02:36:01.938066,0 days 00:00:25.859302,128,True,0.1,128,0.001,L2,1,COMPLETE
14,0.4015750915750916,2025-06-11 02:35:44.178682,2025-06-11 02:36:15.393062,0 days 00:00:31.214380,128,True,0.1,128,0.001,L2,1,COMPLETE
15,0.3174358974358974,2025-06-11 02:36:01.946861,2025-06-11 02:36:34.255151,0 days 00:00:32.308290,128,True,0.1,256,0.001,minmax,2,COMPLETE
16,0.39168831168831175,2025-06-11 02:36:06.890181,2025-06-11 02:36:41.913322,0 days 00:00:35.023141,128,True,0.1,128,0.001,L2,2,COMPLETE
17,0.37476190476190474,2025-06-11 02:36:14.495429,2025-06-11 02:36:46.935469,0 days 00:00:32.440040,128,True,0.1,128,0.001,minmax,2,COMPLETE
18,0.36294483294483293,2025-06-11 02:36:15.395062,2025-06-11 02:36:48.333462,0 days 00:00:32.938400,128,True,0.1,128,0.001,L2,2,COMPLETE
19,0.38141636141636137,2025-06-11 02:36:34.255151,2025-06-11 02:36:53.938491,0 days 00:00:19.683340,128,True,0.1,128,0.001,L2,2,COMPLETE
