number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_dim,params_lr,params_norm,params_num_layers,state
0,0.4864563398074166,2025-06-11 02:04:37.072310,2025-06-11 02:07:25.342561,0 days 00:02:48.270251,64,True,0.0,256,0.001,L2,2,COMPLETE
1,0.4458959181459231,2025-06-11 02:04:37.072310,2025-06-11 02:07:18.836985,0 days 00:02:41.764675,64,True,0.5,256,0.001,minmax,2,COMPLETE
2,0.24466238095938744,2025-06-11 02:04:37.072310,2025-06-11 02:06:50.055482,0 days 00:02:12.983172,64,False,0.5,64,1e-05,L2,2,COMPLETE
3,0.4712892299427421,2025-06-11 02:04:37.072310,2025-06-11 02:06:57.263765,0 days 00:02:20.191455,64,False,0.3,256,0.001,minmax,1,COMPLETE
4,0.43844067457553654,2025-06-11 02:06:50.062370,2025-06-11 02:11:21.175951,0 days 00:04:31.113581,32,False,0.0,256,0.001,minmax,3,COMPLETE
5,0.3670082186921782,2025-06-11 02:06:57.271080,2025-06-11 02:08:36.910076,0 days 00:01:39.638996,128,False,0.3,64,0.0001,minmax,1,COMPLETE
6,0.21736632484892876,2025-06-11 02:07:18.839010,2025-06-11 02:09:32.979234,0 days 00:02:14.140224,128,True,0.3,256,1e-05,L2,3,COMPLETE
7,0.21736632484892876,2025-06-11 02:07:25.342561,2025-06-11 02:09:32.170547,0 days 00:02:06.827986,128,False,0.5,128,0.0001,L2,3,COMPLETE
8,0.4425897121308859,2025-06-11 02:08:36.913074,2025-06-11 02:11:25.905654,0 days 00:02:48.992580,64,True,0.3,256,0.001,minmax,2,COMPLETE
9,0.4820628346615141,2025-06-11 02:09:32.174816,2025-06-11 02:11:43.952822,0 days 00:02:11.778006,64,False,0.1,64,0.001,L2,1,COMPLETE
10,0.4752265613382047,2025-06-11 02:09:32.982521,2025-06-11 02:10:48.957868,0 days 00:01:15.975347,128,False,0.3,64,0.001,L2,3,COMPLETE
11,0.37467067124467707,2025-06-11 02:10:48.957868,2025-06-11 02:14:36.650633,0 days 00:03:47.692765,32,True,0.2,256,1e-05,minmax,2,COMPLETE
12,0.4791908385354205,2025-06-11 02:11:21.177949,2025-06-11 02:14:22.569406,0 days 00:03:01.391457,32,False,0.5,256,0.001,L2,3,COMPLETE
13,0.22624305383509688,2025-06-11 02:11:25.908224,2025-06-11 02:14:27.122964,0 days 00:03:01.214740,32,True,0.0,128,1e-05,L2,1,COMPLETE
14,0.4710064856595997,2025-06-11 02:11:43.955461,2025-06-11 02:13:47.647990,0 days 00:02:03.692529,64,True,0.1,128,0.001,L2,1,COMPLETE
15,0.4881076388907105,2025-06-11 02:13:47.647990,2025-06-11 02:16:29.961842,0 days 00:02:42.313852,32,True,0.2,64,0.001,L2,1,COMPLETE
16,0.4934072568662734,2025-06-11 02:14:22.569406,2025-06-11 02:15:42.302901,0 days 00:01:19.733495,64,True,0.2,64,0.001,L2,1,COMPLETE
17,0.4845818097880275,2025-06-11 02:14:27.139375,2025-06-11 02:16:04.236486,0 days 00:01:37.097111,64,True,0.1,64,0.001,L2,2,COMPLETE
18,0.49069963922532817,2025-06-11 02:14:36.653068,2025-06-11 02:16:06.843908,0 days 00:01:30.190840,64,True,0.1,64,0.001,L2,1,COMPLETE
19,0.2303768285571069,2025-06-11 02:15:42.302901,2025-06-11 02:16:49.486044,0 days 00:01:07.183143,64,True,0.2,64,0.0001,L2,2,COMPLETE
