extractor,model,epochs,batch_size,normalization,num_layers,hidden_dim,bidirectional,dropout,lr,train_loss,accuracy,f1_macro
baseline_CASIAB.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00586,0.49425,0.43371
baseline_OUMVLP.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00505,0.43678,0.34837
gaitgl.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00054,0.49425,0.44163
gaitgl_GREW.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00089,0.45977,0.40921
gaitgl_GREW_BNNeck.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.48159,0.54023,0.3893
gaitgl_OUMVLP.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00587,0.29885,0.24332
gaitpart.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00069,0.36364,0.24074
gaitpart_GREW.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.0032,0.43678,0.39788
gaitpart_OUMVLP.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.7724,0.50575,0.33616
gaitset.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00087,0.3908,0.31192
gaitset_GREW.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00039,0.4023,0.34303
gaitset_OUMVLP.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.02435,0.47126,0.37461
gln_phase1.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.00341,0.54023,0.48042
gln_phase2.csv,LSTM,1000,64,minmax,1,256,True,0.2,0.001,0.02524,0.42529,0.36497
