extractor,model,epochs,batch_size,normalization,num_layers,hidden_dim,bidirectional,dropout,lr,train_loss,accuracy,f1_macro,best_f1_score,best_epoch
baseline_CASIAB.csv,LSTM,353,64,L2,1,128,True,0.2,0.001,0.0002,0.51724,0.43419,0.46704,167
baseline_OUMVLP.csv,LSTM,279,64,L2,1,128,True,0.2,0.001,6e-05,0.48276,0.40594,0.49091,111
gaitgl.csv,LSTM,251,64,L2,1,128,True,0.2,0.001,2e-05,0.45977,0.36046,0.38503,145
gaitgl_GREW.csv,LSTM,251,64,L2,1,128,True,0.2,0.001,1e-05,0.3908,0.29803,0.31009,218
gaitgl_GREW_BNNeck.csv,LSTM,318,64,L2,1,128,True,0.2,0.001,8e-05,0.41379,0.35557,0.39271,139
gaitgl_OUMVLP.csv,LSTM,256,64,L2,1,128,True,0.2,0.001,0.0001,0.48276,0.36334,0.43152,104
gaitpart.csv,LSTM,279,64,L2,1,128,True,0.2,0.001,0.05756,0.45455,0.31481,0.38333,101
gaitpart_GREW.csv,LSTM,270,64,L2,1,128,True,0.2,0.001,3e-05,0.37931,0.30371,0.36797,102
gaitpart_OUMVLP.csv,LSTM,535,64,L2,1,128,True,0.2,0.001,0.00112,0.50575,0.46433,0.53703,285
gaitset.csv,LSTM,251,64,L2,1,128,True,0.2,0.001,0.00013,0.42529,0.31891,0.37854,104
gaitset_GREW.csv,LSTM,251,64,L2,1,128,True,0.2,0.001,3e-05,0.43678,0.35649,0.4026,138
gaitset_OUMVLP.csv,LSTM,568,64,L2,1,128,True,0.2,0.001,0.00025,0.42529,0.35313,0.38842,178
gln_phase1.csv,LSTM,251,64,L2,1,128,True,0.2,0.001,9e-05,0.45977,0.41993,0.44933,108
gln_phase2.csv,LSTM,271,64,L2,1,128,True,0.2,0.001,4e-05,0.49425,0.43711,0.45217,183
